symbol,ts,open,high,low,close,volume,interval
AAPL,2025-04-15T13:30:00Z,201.76,203.24,201.75,202.55,2165417,5min
AAPL,2025-04-15T13:35:00Z,202.5,202.87,201.14,202.86,961163,5min
AAPL,2025-04-15T13:40:00Z,202.88,202.97,202.17,202.46,748245,5min
AAPL,2025-04-15T13:45:00Z,202.44,202.91,201.92,202.82,564827,5min
AAPL,2025-04-15T13:50:00Z,202.85,203.51,202.74,203.31,681495,5min
AAPL,2025-04-15T13:55:00Z,203.31,203.44,202.74,202.94,520847,5min
AAPL,2025-04-15T14:00:00Z,202.94,203.06,202.08,202.09,591783,5min
AAPL,2025-04-15T14:05:00Z,202.1,202.84,202.09,202.41,507004,5min
AAPL,2025-04-15T14:10:00Z,202.38,202.65,201.7,201.75,600023,5min
AAPL,2025-04-15T14:15:00Z,201.78,202.44,200.42,200.46,842997,5min
AAPL,2025-04-15T14:20:00Z,200.45,201.1,199.8,200.4,912620,5min
AAPL,2025-04-15T14:25:00Z,200.4,201.11,200.03,200.8,670006,5min
AAPL,2025-04-15T14:30:00Z,200.79,201.58,200.69,201.57,528211,5min
AAPL,2025-04-15T14:35:00Z,201.57,201.68,201.11,201.18,404414,5min
AAPL,2025-04-15T14:40:00Z,201.22,202.67,201.09,202.44,627254,5min
AAPL,2025-04-15T14:45:00Z,202.43,202.46,201,201.79,466604,5min
AAPL,2025-04-15T14:50:00Z,201.78,202.02,201.38,201.9,292808,5min
AAPL,2025-04-15T14:55:00Z,201.93,202.25,201.75,201.78,348221,5min
AAPL,2025-04-15T15:00:00Z,201.82,202.14,201.57,201.69,269309,5min
AAPL,2025-04-15T15:05:00Z,201.7,201.82,201.25,201.63,330238,5min
AAPL,2025-04-15T15:10:00Z,201.62,202.36,201.52,202.35,432364,5min
AAPL,2025-04-15T15:15:00Z,202.37,202.59,202.25,202.5,294858,5min
AAPL,2025-04-15T15:20:00Z,202.51,203.09,202.5,203.02,371181,5min
AAPL,2025-04-15T15:25:00Z,203,203.02,202.05,202.13,331923,5min
AAPL,2025-04-15T15:30:00Z,202.13,202.71,202.08,202.28,274341,5min
AAPL,2025-04-15T15:35:00Z,202.27,202.52,201.96,202.12,257071,5min
AAPL,2025-04-15T15:40:00Z,202.1,202.39,202.04,202.37,243015,5min
