symbol,ts,open,high,low,close,volume,interval
AMZN,2025-04-14T14:00:00.000Z,183.3,184.19,183.08,184.1,526841,5min
AMZN,2025-04-14T14:05:00.000Z,184.15,184.55,184,184.24,501409,5min
AMZN,2025-04-14T14:10:00.000Z,184.25,184.44,183.82,183.95,384504,5min
AMZN,2025-04-14T14:15:00.000Z,183.94,184.4,183.25,184.37,405291,5min
AMZN,2025-04-14T14:20:00.000Z,184.4,184.91,184.28,184.91,481197,5min
AMZN,2025-04-14T14:25:00.000Z,184.91,185.1,184.44,184.98,429135,5min
AMZN,2025-04-14T14:30:00.000Z,185,185.03,184.54,184.72,351943,5min
AMZN,2025-04-14T14:35:00.000Z,184.73,185.05,184.64,185,269039,5min
AMZN,2025-04-14T14:40:00.000Z,185,185.24,184.73,184.96,357606,5min
AMZN,2025-04-14T14:45:00.000Z,185,185.26,184.89,185.1,286228,5min
AMZN,2025-04-14T14:50:00.000Z,185.11,185.94,185.09,185.89,371316,5min
AMZN,2025-04-14T14:55:00.000Z,185.88,185.9,184.83,185.03,464726,5min
AMZN,2025-04-14T15:00:00.000Z,185.03,185.29,184.78,184.79,263327,5min
AMZN,2025-04-14T15:05:00.000Z,184.8,184.82,183.75,184.03,505030,5min
AMZN,2025-04-14T15:10:00.000Z,184.02,184.21,183.26,183.29,624666,5min
AMZN,2025-04-14T15:15:00.000Z,183.27,183.9,183.03,183.84,477213,5min
AMZN,2025-04-14T15:20:00.000Z,183.84,184.16,183.7,183.72,389404,5min
AMZN,2025-04-14T15:25:00.000Z,183.72,183.72,182.88,182.95,346955,5min
AMZN,2025-04-14T15:30:00.000Z,182.96,183.31,182.77,183.01,305988,5min
AMZN,2025-04-14T15:35:00.000Z,183.02,183.04,182.17,182.28,381341,5min
AMZN,2025-04-14T15:40:00.000Z,182.26,182.5,181.92,182.49,429490,5min
AMZN,2025-04-14T15:45:00.000Z,182.47,182.49,181.08,181.12,404327,5min
AMZN,2025-04-14T15:50:00.000Z,181.09,181.44,180.93,181.07,451215,5min
AMZN,2025-04-14T15:55:00.000Z,181.05,181.55,180.96,181.16,336412,5min
AMZN,2025-04-14T16:00:00.000Z,181.18,181.53,180.95,181.45,322187,5min
AMZN,2025-04-14T16:05:00.000Z,181.44,181.57,180.88,181,255018,5min
AMZN,2025-04-14T16:10:00.000Z,181,181.23,180.22,180.53,443218,5min
AMZN,2025-04-14T16:15:00.000Z,180.55,181.44,180.47,181.19,413373,5min
AMZN,2025-04-14T16:20:00.000Z,181.19,181.34,180.53,180.72,351286,5min
AMZN,2025-04-14T16:25:00.000Z,180.72,180.84,180.32,180.57,289812,5min
AMZN,2025-04-14T16:30:00.000Z,180.55,180.73,180.21,180.7,317581,5min
AMZN,2025-04-14T16:35:00.000Z,180.68,180.87,180.32,180.4,277800,5min
AMZN,2025-04-14T16:40:00.000Z,180.38,180.45,179.96,180.45,447282,5min
AMZN,2025-04-14T16:45:00.000Z,180.44,180.74,180.2,180.26,206043,5min
AMZN,2025-04-14T16:50:00.000Z,180.25,180.3,179.75,180.15,330174,5min
AMZN,2025-04-14T16:55:00.000Z,180.13,180.24,179.32,179.34,288877,5min
AMZN,2025-04-14T17:00:00.000Z,179.35,180.61,179.23,179.95,524996,5min
AMZN,2025-04-14T17:05:00.000Z,179.95,180.25,179.76,180.21,228359,5min
AMZN,2025-04-14T17:10:00.000Z,180.22,180.3,179.83,179.95,300364,5min
AMZN,2025-04-14T17:15:00.000Z,179.97,180.46,179.74,180.41,279219,5min
AMZN,2025-04-14T17:20:00.000Z,180.41,181.15,180.27,181.12,332267,5min
AMZN,2025-04-14T17:25:00.000Z,181.12,181.12,180.3,180.38,219710,5min
AMZN,2025-04-14T17:30:00.000Z,180.37,180.5,179.92,180.36,190404,5min
AMZN,2025-04-14T17:35:00.000Z,180.36,180.87,180.31,180.69,136298,5min
AMZN,2025-04-14T17:40:00.000Z,180.67,181,180.45,180.64,142724,5min
AMZN,2025-04-14T17:45:00.000Z,180.67,181.15,180.61,180.98,280488,5min
AMZN,2025-04-14T17:50:00.000Z,180.99,181.83,180.82,181.62,313283,5min
AMZN,2025-04-14T17:55:00.000Z,181.61,181.93,181.44,181.78,223448,5min
AMZN,2025-04-14T18:00:00.000Z,181.8,182.08,181.78,181.94,216339,5min
AMZN,2025-04-14T18:05:00.000Z,181.97,182.02,181.69,181.97,215159,5min
AMZN,2025-04-14T18:10:00.000Z,181.97,181.99,181.5,181.68,181792,5min
AMZN,2025-04-14T18:15:00.000Z,181.67,181.85,181.51,181.75,146170,5min
AMZN,2025-04-14T18:20:00.000Z,181.78,181.96,181.67,181.68,188652,5min
AMZN,2025-04-14T18:25:00.000Z,181.71,181.82,181.64,181.68,204270,5min
AMZN,2025-04-14T18:30:00.000Z,181.66,181.79,181.56,181.69,147402,5min
AMZN,2025-04-14T18:35:00.000Z,181.69,182,181.61,181.95,239233,5min
AMZN,2025-04-14T18:40:00.000Z,181.98,182.28,181.86,182.23,372592,5min
AMZN,2025-04-14T18:45:00.000Z,182.21,182.26,181.84,182,147872,5min
AMZN,2025-04-14T18:50:00.000Z,182.01,182.12,181.91,181.97,124195,5min
AMZN,2025-04-14T18:55:00.000Z,181.97,182.12,181.85,182.07,173995,5min
AMZN,2025-04-14T19:00:00.000Z,182.05,182.39,182.04,182.37,233014,5min
AMZN,2025-04-14T19:05:00.000Z,182.38,182.75,182.33,182.74,303775,5min
AMZN,2025-04-14T19:10:00.000Z,182.74,182.92,182.47,182.88,283894,5min
AMZN,2025-04-14T19:15:00.000Z,182.88,182.9,182.48,182.56,228149,5min
AMZN,2025-04-14T19:20:00.000Z,182.58,182.85,182.4,182.64,238199,5min
AMZN,2025-04-14T19:25:00.000Z,182.62,182.67,182.26,182.41,349132,5min
AMZN,2025-04-14T19:30:00.000Z,182.43,182.76,182.2,182.69,285430,5min
AMZN,2025-04-14T19:35:00.000Z,182.68,182.83,182.49,182.81,314447,5min
AMZN,2025-04-14T19:40:00.000Z,182.79,183.17,182.79,182.9,387644,5min
AMZN,2025-04-14T19:45:00.000Z,182.91,182.92,182.07,182.47,384568,5min
AMZN,2025-04-14T19:50:00.000Z,182.43,182.63,182.04,182.35,690764,5min
AMZN,2025-04-14T19:55:00.000Z,182.36,182.44,181.55,182.06,1341826,5min
AMZN,2025-04-15T13:30:00.000Z,181.31,181.8,179.51,181.16,1684584,5min
AMZN,2025-04-15T13:35:00.000Z,181.16,182.05,180.82,181.94,646386,5min
AMZN,2025-04-15T13:40:00.000Z,181.97,182.09,181.43,181.74,518330,5min
AMZN,2025-04-15T13:45:00.000Z,181.74,182.25,181.36,181.94,579765,5min
AMZN,2025-04-15T13:50:00.000Z,181.97,182.35,181.75,182.14,481838,5min
AMZN,2025-04-15T13:55:00.000Z,182.11,182.19,181.29,181.38,566713,5min
AMZN,2025-04-15T14:00:00.000Z,181.39,181.55,181.03,181.13,387967,5min
AMZN,2025-04-15T14:05:00.000Z,181.13,181.56,180.96,181.34,346282,5min
AMZN,2025-04-15T14:10:00.000Z,181.32,182.05,181.27,181.62,590282,5min
AMZN,2025-04-15T14:15:00.000Z,181.62,181.66,179.85,180.03,730364,5min
AMZN,2025-04-15T14:20:00.000Z,179.98,180.65,179.59,180.09,600239,5min
AMZN,2025-04-15T14:25:00.000Z,180.09,180.2,179.45,179.79,574465,5min
AMZN,2025-04-15T14:30:00.000Z,179.81,180.75,179.79,180.54,409442,5min
AMZN,2025-04-15T14:35:00.000Z,180.54,180.68,180.08,180.19,414396,5min
AMZN,2025-04-15T14:40:00.000Z,180.21,181,179.96,180.94,347964,5min
AMZN,2025-04-15T14:45:00.000Z,180.94,181,179.99,180.61,358411,5min
AMZN,2025-04-15T14:50:00.000Z,180.62,180.68,180.15,180.54,283515,5min
AMZN,2025-04-15T14:55:00.000Z,180.55,180.94,180.31,180.54,324717,5min
AMZN,2025-04-15T15:00:00.000Z,180.59,181.17,180.49,181.02,421002,5min
AMZN,2025-04-15T15:05:00.000Z,181.07,181.16,180.69,181.02,271262,5min
AMZN,2025-04-15T15:10:00.000Z,181.03,181.27,180.63,181.12,255616,5min
AMZN,2025-04-15T15:15:00.000Z,181.14,181.35,181,181.26,223651,5min
