symbol,ts,open,high,low,close,volume,interval
META,2025-04-15T13:30:00Z,531.58,532.5,529.11,531.06,266398,5min
META,2025-04-15T13:35:00Z,531.2,535.94,529.99,535.69,219551,5min
META,2025-04-15T13:40:00Z,535.77,537.88,535.41,537.25,242459,5min
META,2025-04-15T13:45:00Z,537.28,537.94,535.59,536.28,121582,5min
META,2025-04-15T13:50:00Z,536.38,537.34,534.5,534.78,138136,5min
META,2025-04-15T13:55:00Z,535.13,535.21,532.65,532.65,172004,5min
META,2025-04-15T14:00:00Z,532.67,533.04,531.39,531.76,238056,5min
META,2025-04-15T14:05:00Z,531.76,533.4,531.21,531.76,166259,5min
META,2025-04-15T14:10:00Z,531.55,534.64,531.32,532.93,157092,5min
META,2025-04-15T14:15:00Z,533.11,533.55,527.6,528.18,237580,5min
META,2025-04-15T14:20:00Z,528.17,530.8,526.76,528.68,161239,5min
META,2025-04-15T14:25:00Z,528.53,528.83,527.07,527.75,97585,5min
META,2025-04-15T14:30:00Z,527.77,530.8,527.77,530.2,162792,5min
META,2025-04-15T14:35:00Z,530.12,530.53,528.75,528.98,77404,5min
META,2025-04-15T14:40:00Z,528.95,533.11,528.02,532.89,129464,5min
META,2025-04-15T14:45:00Z,532.89,533.44,530.19,531.68,159724,5min
META,2025-04-15T14:50:00Z,531.61,531.75,530,530.78,100638,5min
META,2025-04-15T14:55:00Z,531.02,531.55,529.5,529.56,90701,5min
META,2025-04-15T15:00:00Z,529.56,531.03,529.38,530.85,83127,5min
META,2025-04-15T15:05:00Z,530.98,531.4,529.7,530.98,35167,5min
META,2025-04-15T15:10:00Z,530.99,532.37,530.34,531.79,52425,5min
META,2025-04-15T15:15:00Z,531.59,532,531.32,531.79,55044,5min
META,2025-04-15T15:20:00Z,531.69,532.29,530.77,531.29,100671,5min
META,2025-04-15T15:25:00Z,531.21,531.21,529.5,529.98,67901,5min
META,2025-04-15T15:30:00Z,529.87,531,529.41,529.76,60054,5min
META,2025-04-15T15:35:00Z,529.75,530.24,528.86,529.81,59830,5min
META,2025-04-15T15:40:00Z,529.83,530.51,528.55,529.07,91288,5min
META,2025-04-15T15:45:00Z,529.2,530.03,528.51,529.5,74044,5min
META,2025-04-15T15:50:00Z,529.43,531.55,529.09,530.83,75966,5min
META,2025-04-15T15:55:00Z,530.98,530.98,529.68,530.52,31698,5min
META,2025-04-15T16:00:00Z,530.55,531,530.08,530.5,38695,5min
META,2025-04-15T16:05:00Z,530.48,530.7,529.53,530.07,62440,5min
META,2025-04-15T16:10:00Z,529.73,530.63,529.55,530.01,56111,5min
META,2025-04-15T16:15:00Z,529.95,531,529.89,530.14,65298,5min
META,2025-04-15T16:20:00Z,530.15,530.36,529.4,530.36,64251,5min
META,2025-04-15T16:25:00Z,530.34,531.7,530.02,531.19,115236,5min
META,2025-04-15T16:30:00Z,530.98,531,529.76,529.79,52432,5min
META,2025-04-15T16:35:00Z,529.81,530.37,528.75,528.85,53301,5min
META,2025-04-15T16:40:00Z,528.78,529.09,528.13,528.96,73499,5min
META,2025-04-15T16:45:00Z,528.83,529.12,527.29,527.63,102720,5min
META,2025-04-15T16:50:00Z,527.75,527.75,525.17,525.56,156059,5min
META,2025-04-15T16:55:00Z,525.46,525.82,524.48,524.63,163928,5min
META,2025-04-15T17:00:00Z,524.61,525.16,523.98,524.98,134774,5min
META,2025-04-15T17:05:00Z,525.07,525.15,523.1,523.3,115440,5min
META,2025-04-15T17:10:00Z,523.32,523.51,522.03,522.59,129998,5min
META,2025-04-15T17:15:00Z,522.63,522.63,520.95,521.41,146696,5min
META,2025-04-15T17:20:00Z,521.33,521.85,519.76,520.45,123280,5min
META,2025-04-15T17:25:00Z,520.47,521.62,519.55,520.38,111744,5min
META,2025-04-15T17:30:00Z,520.38,522.79,520.38,521.53,114176,5min
META,2025-04-15T17:35:00Z,521.76,522.28,521.07,521.43,79496,5min
META,2025-04-15T17:40:00Z,521.25,522.74,521.25,521.95,68738,5min
META,2025-04-15T17:45:00Z,521.96,522.59,521.3,521.93,52309,5min
META,2025-04-15T17:50:00Z,522.06,522.08,519.92,519.98,120430,5min
META,2025-04-15T17:55:00Z,519.94,521.29,519.7,520.97,103712,5min
META,2025-04-15T18:00:00Z,520.84,521.66,519.78,520.44,93001,5min
META,2025-04-15T18:05:00Z,520.38,520.66,519.31,520.07,103618,5min
META,2025-04-15T18:10:00Z,520.07,520.31,517.86,518.33,116515,5min
META,2025-04-15T18:15:00Z,518.24,518.84,517.5,517.9,96720,5min
META,2025-04-15T18:20:00Z,517.85,518.25,517.5,517.87,115951,5min
META,2025-04-15T18:25:00Z,518,519.38,517.89,519,95415,5min
META,2025-04-15T18:30:00Z,518.83,519.79,518.61,519.67,59786,5min
META,2025-04-15T18:35:00Z,519.66,520.26,519.15,519.66,74107,5min
META,2025-04-15T18:40:00Z,519.66,520.8,519.52,520.79,53121,5min
META,2025-04-15T18:45:00Z,520.79,521.43,519.86,519.99,89334,5min
