symbol,ts,open,high,low,close,volume,interval
MGNI,2025-04-14T14:50:00.000Z,9.9,9.92,9.88,9.88,7746,5min
MGNI,2025-04-14T14:55:00.000Z,9.87,9.88,9.85,9.88,5722,5min
MGNI,2025-04-14T15:00:00.000Z,9.86,9.86,9.83,9.83,8077,5min
MGNI,2025-04-14T15:05:00.000Z,9.82,9.82,9.76,9.78,13612,5min
MGNI,2025-04-14T15:10:00.000Z,9.79,9.81,9.77,9.77,9706,5min
MGNI,2025-04-14T15:15:00.000Z,9.76,9.77,9.74,9.76,7956,5min
MGNI,2025-04-14T15:20:00.000Z,9.77,9.78,9.76,9.77,4801,5min
MGNI,2025-04-14T15:25:00.000Z,9.77,9.77,9.71,9.71,9933,5min
MGNI,2025-04-14T15:30:00.000Z,9.71,9.75,9.71,9.73,6228,5min
MGNI,2025-04-14T15:35:00.000Z,9.73,9.73,9.66,9.67,11970,5min
MGNI,2025-04-14T15:40:00.000Z,9.67,9.68,9.64,9.68,7312,5min
MGNI,2025-04-14T15:45:00.000Z,9.68,9.68,9.61,9.61,10359,5min
MGNI,2025-04-14T15:50:00.000Z,9.61,9.61,9.55,9.58,19561,5min
MGNI,2025-04-14T15:55:00.000Z,9.59,9.61,9.59,9.6,8788,5min
MGNI,2025-04-14T16:00:00.000Z,9.6,9.66,9.59,9.63,12554,5min
MGNI,2025-04-14T16:05:00.000Z,9.64,9.64,9.6,9.61,8977,5min
MGNI,2025-04-14T16:10:00.000Z,9.61,9.63,9.55,9.63,23091,5min
MGNI,2025-04-14T16:15:00.000Z,9.64,9.66,9.6,9.6,12904,5min
MGNI,2025-04-14T16:20:00.000Z,9.6,9.62,9.59,9.61,9975,5min
MGNI,2025-04-14T16:25:00.000Z,9.61,9.61,9.57,9.57,6831,5min
MGNI,2025-04-14T16:30:00.000Z,9.57,9.6,9.55,9.6,18916,5min
MGNI,2025-04-14T16:35:00.000Z,9.61,9.61,9.59,9.59,6987,5min
MGNI,2025-04-14T16:40:00.000Z,9.6,9.61,9.59,9.61,12209,5min
MGNI,2025-04-14T16:45:00.000Z,9.62,9.65,9.62,9.65,8560,5min
MGNI,2025-04-14T16:50:00.000Z,9.64,9.64,9.58,9.61,11147,5min
MGNI,2025-04-14T16:55:00.000Z,9.61,9.61,9.54,9.56,29416,5min
MGNI,2025-04-14T17:00:00.000Z,9.58,9.72,9.58,9.59,24200,5min
MGNI,2025-04-14T17:05:00.000Z,9.59,9.61,9.58,9.59,10241,5min
MGNI,2025-04-14T17:10:00.000Z,9.6,9.62,9.59,9.6,4625,5min
MGNI,2025-04-14T17:15:00.000Z,9.59,9.62,9.58,9.62,4775,5min
MGNI,2025-04-14T17:20:00.000Z,9.62,9.67,9.62,9.65,8573,5min
MGNI,2025-04-14T17:25:00.000Z,9.65,9.65,9.63,9.64,7618,5min
MGNI,2025-04-14T17:30:00.000Z,9.65,9.66,9.63,9.63,6095,5min
MGNI,2025-04-14T17:35:00.000Z,9.64,9.66,9.64,9.64,5830,5min
