symbol,ts,open,high,low,close,volume,interval
MSFT,2025-04-14T13:55:00.000Z,391.86,392.32,390.54,390.89,167135,5min
MSFT,2025-04-14T14:00:00.000Z,390.92,392.56,390.52,392.44,216278,5min
MSFT,2025-04-14T14:05:00.000Z,392.56,393.18,392.18,392.47,165003,5min
MSFT,2025-04-14T14:10:00.000Z,392.4,392.92,391.89,392.58,99648,5min
MSFT,2025-04-14T14:15:00.000Z,392.51,392.87,391.36,392.18,85490,5min
MSFT,2025-04-14T14:20:00.000Z,392.24,393,392.13,392.65,85670,5min
MSFT,2025-04-14T14:25:00.000Z,392.6,393.2,392.22,392.91,84935,5min
MSFT,2025-04-14T14:30:00.000Z,392.96,393.44,392.17,393.11,101957,5min
MSFT,2025-04-14T14:35:00.000Z,393.07,393.54,392.77,393.44,55121,5min
MSFT,2025-04-14T14:40:00.000Z,393.44,393.89,393.07,393.54,63023,5min
MSFT,2025-04-14T14:45:00.000Z,393.54,393.92,392.74,393.81,108423,5min
MSFT,2025-04-14T14:50:00.000Z,393.78,394.65,393.7,393.9,139278,5min
MSFT,2025-04-14T14:55:00.000Z,393.93,393.95,392.63,392.86,107280,5min
MSFT,2025-04-14T15:00:00.000Z,392.88,393.25,391.7,391.87,152215,5min
MSFT,2025-04-14T15:05:00.000Z,391.9,392.06,390.54,390.64,108774,5min
MSFT,2025-04-14T15:10:00.000Z,390.6,391,389.93,390.2,114067,5min
MSFT,2025-04-14T15:15:00.000Z,390.1,390.47,389.89,390.37,88448,5min
MSFT,2025-04-14T15:20:00.000Z,390.37,390.59,389.6,389.66,87490,5min
MSFT,2025-04-14T15:25:00.000Z,389.66,389.89,388.61,388.68,81586,5min
MSFT,2025-04-14T15:30:00.000Z,388.71,389.74,388.39,389.69,85528,5min
MSFT,2025-04-14T15:35:00.000Z,389.71,389.79,388.27,388.47,59028,5min
MSFT,2025-04-14T15:40:00.000Z,388.38,388.7,387.9,388.63,166666,5min
MSFT,2025-04-14T15:45:00.000Z,388.71,388.71,386.85,387.15,111978,5min
MSFT,2025-04-14T15:50:00.000Z,387.18,387.25,386.4,386.83,132902,5min
MSFT,2025-04-14T15:55:00.000Z,386.77,387.18,386.4,386.45,69037,5min
MSFT,2025-04-14T16:00:00.000Z,386.41,387.23,386.16,386.84,96457,5min
MSFT,2025-04-14T16:05:00.000Z,386.82,387.11,385.79,386.01,170973,5min
MSFT,2025-04-14T16:10:00.000Z,385.95,386.35,384.56,385.6,267116,5min
MSFT,2025-04-14T16:15:00.000Z,385.55,386.94,385.4,386.55,157809,5min
MSFT,2025-04-14T16:20:00.000Z,386.39,386.9,385.97,386.34,101812,5min
MSFT,2025-04-14T16:25:00.000Z,386.3,386.35,385.32,385.81,53969,5min
MSFT,2025-04-14T16:30:00.000Z,385.85,386.5,385.39,386.44,76860,5min
MSFT,2025-04-14T16:35:00.000Z,386.34,386.54,385.55,385.63,71341,5min
MSFT,2025-04-14T16:40:00.000Z,385.61,385.86,385,385.81,83299,5min
MSFT,2025-04-14T16:45:00.000Z,385.79,386.25,385.57,385.63,43490,5min
MSFT,2025-04-14T16:50:00.000Z,385.61,385.67,384.53,385.38,96668,5min
MSFT,2025-04-14T16:55:00.000Z,385.38,385.62,384.33,384.44,42888,5min
MSFT,2025-04-14T17:00:00.000Z,384.44,386.44,384.21,385.18,137562,5min
MSFT,2025-04-14T17:05:00.000Z,385.26,385.86,384.95,385.66,90837,5min
MSFT,2025-04-14T17:10:00.000Z,385.76,386.28,385.37,386.01,49235,5min
MSFT,2025-04-14T17:15:00.000Z,386,386.68,385.53,386.68,42768,5min
