symbol,ts,open,high,low,close,volume,interval
NVDA,2025-04-14T14:00:00.000Z,111.69,112.93,111.69,112.84,4149284,5min
NVDA,2025-04-14T14:05:00.000Z,112.83,113.04,112.33,112.39,3931027,5min
NVDA,2025-04-14T14:10:00.000Z,112.41,112.61,112.03,112.34,3295820,5min
NVDA,2025-04-14T14:15:00.000Z,112.35,112.57,111.76,112.29,3201764,5min
NVDA,2025-04-14T14:20:00.000Z,112.3,112.43,111.95,112.43,2409578,5min
NVDA,2025-04-14T14:25:00.000Z,112.43,112.78,112.41,112.57,2781023,5min
NVDA,2025-04-14T14:30:00.000Z,112.56,112.85,112.36,112.71,2486505,5min
NVDA,2025-04-14T14:35:00.000Z,112.7,112.99,112.62,112.91,2415714,5min
NVDA,2025-04-14T14:40:00.000Z,112.91,112.99,112.46,112.57,2497942,5min
NVDA,2025-04-14T14:45:00.000Z,112.56,112.69,112.4,112.54,1892463,5min
NVDA,2025-04-14T14:50:00.000Z,112.56,112.77,112.39,112.67,2205977,5min
NVDA,2025-04-14T14:55:00.000Z,112.67,112.71,112.17,112.19,2335244,5min
NVDA,2025-04-14T15:00:00.000Z,112.19,112.38,111.91,112.13,2620686,5min
NVDA,2025-04-14T15:05:00.000Z,112.14,112.43,111.97,112.4,1954570,5min
NVDA,2025-04-14T15:10:00.000Z,112.39,112.6,111.94,112.01,2267723,5min
NVDA,2025-04-14T15:15:00.000Z,112.02,112.17,111.85,112.13,1718422,5min
NVDA,2025-04-14T15:20:00.000Z,112.14,112.25,111.91,112.19,1927036,5min
NVDA,2025-04-14T15:25:00.000Z,112.19,112.25,111.3,111.33,3299543,5min
NVDA,2025-04-14T15:30:00.000Z,111.35,111.66,111.13,111.48,2664441,5min
NVDA,2025-04-14T15:35:00.000Z,111.49,111.55,110.34,110.56,4160672,5min
NVDA,2025-04-14T15:40:00.000Z,110.56,110.74,110.23,110.66,2823108,5min
NVDA,2025-04-14T15:45:00.000Z,110.66,110.68,109.5,109.61,4664701,5min
NVDA,2025-04-14T15:50:00.000Z,109.59,109.88,109.2,109.86,3531386,5min
NVDA,2025-04-14T15:55:00.000Z,109.87,110.37,109.64,109.64,3180555,5min
NVDA,2025-04-14T16:00:00.000Z,109.65,110.1,109.46,110.08,2226276,5min
NVDA,2025-04-14T16:05:00.000Z,110.08,110.23,109.73,109.85,1765762,5min
