symbol,ts,open,high,low,close,volume,interval
SPY,2025-04-14T14:10:00.000Z,542.1,542.11,540.9,541.41,526450,5min
SPY,2025-04-14T14:15:00.000Z,541.5,541.99,539.71,540.95,661168,5min
SPY,2025-04-14T14:20:00.000Z,541,541.53,540.1,541.22,343100,5min
SPY,2025-04-14T14:25:00.000Z,541.25,542.4,540.67,542.12,535865,5min
SPY,2025-04-14T14:30:00.000Z,542.14,542.67,541.63,542.11,476551,5min
SPY,2025-04-14T14:35:00.000Z,542.11,542.83,541.76,542.59,275361,5min
SPY,2025-04-14T14:40:00.000Z,542.63,543.02,542,542.35,313207,5min
SPY,2025-04-14T14:45:00.000Z,542.36,543.2,541.94,542.98,381208,5min
SPY,2025-04-14T14:50:00.000Z,542.99,543.85,542.92,543.8,503258,5min
SPY,2025-04-14T14:55:00.000Z,543.79,543.82,542.15,542.42,571876,5min
SPY,2025-04-14T15:00:00.000Z,542.43,543.09,541.4,541.78,756135,5min
SPY,2025-04-14T15:05:00.000Z,541.82,542,540.7,541.19,551867,5min
SPY,2025-04-14T15:10:00.000Z,541.17,541.74,540.43,540.65,417565,5min
SPY,2025-04-14T15:15:00.000Z,540.67,541.03,540.12,540.95,427031,5min
SPY,2025-04-14T15:20:00.000Z,540.96,541.23,540.28,540.33,334714,5min
SPY,2025-04-14T15:25:00.000Z,540.27,540.37,538.43,538.52,705915,5min
SPY,2025-04-14T15:30:00.000Z,538.64,539.78,538.11,539.73,579836,5min
SPY,2025-04-14T15:35:00.000Z,539.75,539.93,537.5,537.6,677214,5min
SPY,2025-04-14T15:40:00.000Z,537.57,538.33,536.88,538.23,827978,5min
SPY,2025-04-14T15:45:00.000Z,538.18,538.29,535.67,535.9,789482,5min
SPY,2025-04-14T15:50:00.000Z,535.88,536.3,535.23,536.2,801198,5min
SPY,2025-04-14T15:55:00.000Z,536.15,537.13,535.73,535.74,714015,5min
SPY,2025-04-14T16:00:00.000Z,535.73,536.85,535.36,536.53,617537,5min
SPY,2025-04-14T16:05:00.000Z,536.53,536.79,535.46,535.74,648930,5min
SPY,2025-04-14T16:10:00.000Z,535.75,536.09,533.86,535.43,1207105,5min
SPY,2025-04-14T16:15:00.000Z,535.47,537.53,535.37,536.91,864981,5min
SPY,2025-04-14T16:20:00.000Z,536.9,537.85,535.98,536.6,879320,5min
SPY,2025-04-14T16:25:00.000Z,536.64,536.78,535.16,535.85,346544,5min
SPY,2025-04-14T16:30:00.000Z,535.82,537.64,535.44,537.48,448906,5min
SPY,2025-04-14T16:35:00.000Z,537.51,537.86,536.94,537.11,321677,5min
SPY,2025-04-14T16:40:00.000Z,537.05,537.62,536.6,537.58,222835,5min
SPY,2025-04-14T16:45:00.000Z,537.54,537.92,536.96,537.05,267363,5min
SPY,2025-04-14T16:50:00.000Z,537.03,537.05,535.65,536.94,565756,5min
SPY,2025-04-14T16:55:00.000Z,536.94,537.09,535.37,535.52,362643,5min
SPY,2025-04-14T17:00:00.000Z,535.6,539.23,535.29,536.44,1206319,5min
SPY,2025-04-14T17:05:00.000Z,536.5,537,535.71,536.73,334376,5min
SPY,2025-04-14T17:10:00.000Z,536.73,537.19,536.15,536.81,221451,5min
SPY,2025-04-14T17:15:00.000Z,536.81,537.53,536.01,537.49,300671,5min
SPY,2025-04-14T17:20:00.000Z,537.51,538.55,537.21,538.55,289662,5min
SPY,2025-04-14T17:25:00.000Z,538.51,538.51,537.04,537.3,304553,5min
SPY,2025-04-14T17:30:00.000Z,537.26,537.92,536.49,537.51,361781,5min
SPY,2025-04-14T17:35:00.000Z,537.44,538.16,537.16,537.69,239997,5min
SPY,2025-04-14T17:40:00.000Z,537.7,538.18,536.96,537.04,302092,5min
SPY,2025-04-14T17:45:00.000Z,537.13,537.94,536.64,537.69,276726,5min
SPY,2025-04-14T17:50:00.000Z,537.75,539.45,537.49,538.81,448617,5min
SPY,2025-04-14T17:55:00.000Z,538.83,539.28,538.42,538.97,262990,5min
SPY,2025-04-14T18:00:00.000Z,538.95,539.69,538.87,539.43,325166,5min
SPY,2025-04-14T18:05:00.000Z,539.51,539.85,538.96,539.64,384578,5min
SPY,2025-04-14T18:10:00.000Z,539.59,539.78,538.81,539.32,264133,5min
SPY,2025-04-14T18:15:00.000Z,539.3,539.77,538.99,539.68,337202,5min
SPY,2025-04-14T18:20:00.000Z,539.71,540.45,539.6,540.39,416757,5min
SPY,2025-04-14T18:25:00.000Z,540.39,540.51,539.91,540.38,236800,5min
SPY,2025-04-14T18:30:00.000Z,540.38,540.79,540.05,540.6,405876,5min
SPY,2025-04-14T18:35:00.000Z,540.6,540.89,540.38,540.62,248099,5min
SPY,2025-04-14T18:40:00.000Z,540.66,541.31,540.62,541.19,315706,5min
SPY,2025-04-14T18:45:00.000Z,541.19,541.3,540.4,540.91,471275,5min
SPY,2025-04-14T18:50:00.000Z,540.94,541.12,540.47,540.78,387979,5min
SPY,2025-04-14T18:55:00.000Z,540.79,541.03,540.47,540.73,409156,5min
SPY,2025-04-14T19:00:00.000Z,540.77,541.43,540.64,541.4,450828,5min
SPY,2025-04-14T19:05:00.000Z,541.4,542.18,541.28,542.09,527784,5min
SPY,2025-04-14T19:10:00.000Z,542.1,542.58,541.74,542.35,654382,5min
SPY,2025-04-14T19:15:00.000Z,542.36,542.36,541.34,541.53,685863,5min
SPY,2025-04-14T19:20:00.000Z,541.59,542.08,541.27,541.85,425028,5min
SPY,2025-04-14T19:25:00.000Z,541.87,541.95,541.02,541.33,398554,5min
SPY,2025-04-14T19:30:00.000Z,541.32,541.59,540.66,541.48,525236,5min
SPY,2025-04-14T19:35:00.000Z,541.49,541.66,540.87,541.24,916153,5min
SPY,2025-04-14T19:40:00.000Z,541.22,542.15,541.15,541.65,763960,5min
SPY,2025-04-14T19:45:00.000Z,541.66,541.8,540.37,540.88,809561,5min
SPY,2025-04-14T19:50:00.000Z,540.87,540.87,539.13,539.69,2479060,5min
SPY,2025-04-14T19:55:00.000Z,539.69,539.83,538.36,538.97,2457896,5min
SPY,2025-04-15T13:30:00.000Z,539.68,540.84,539.25,540.26,1201139,5min
SPY,2025-04-15T13:35:00.000Z,540.26,541.62,539.5,541.44,647332,5min
SPY,2025-04-15T13:40:00.000Z,541.45,542.22,541.22,541.78,622669,5min
SPY,2025-04-15T13:45:00.000Z,541.8,542.41,541.01,542.11,574159,5min
SPY,2025-04-15T13:50:00.000Z,542.14,542.95,541.89,542.45,651697,5min
SPY,2025-04-15T13:55:00.000Z,542.47,542.64,541.42,541.48,539295,5min
SPY,2025-04-15T14:00:00.000Z,541.52,542.35,541.23,541.9,431219,5min
SPY,2025-04-15T14:05:00.000Z,541.93,542.49,541.63,541.92,450248,5min
SPY,2025-04-15T14:10:00.000Z,541.9,543.23,541.53,541.74,488656,5min
SPY,2025-04-15T14:15:00.000Z,541.75,542.56,539.1,539.41,1558902,5min
SPY,2025-04-15T14:20:00.000Z,539.39,540.9,538.14,539.46,1188125,5min
