symbol,ts,open,high,low,close,volume,interval
TSLA,2025-04-14T14:25:00.000Z,256.2,257.5,254.96,257.26,1133107,5min
TSLA,2025-04-14T14:30:00.000Z,257.26,257.96,256.43,257.23,1001406,5min
TSLA,2025-04-14T14:35:00.000Z,257.23,258.39,256.9,258.2,853584,5min
TSLA,2025-04-14T14:40:00.000Z,258.24,258.57,256.4,256.59,901461,5min
TSLA,2025-04-14T14:45:00.000Z,256.58,256.85,255.45,256.57,905868,5min
TSLA,2025-04-14T14:50:00.000Z,256.58,257.5,256.49,257.21,675641,5min
TSLA,2025-04-14T14:55:00.000Z,257.2,257.31,255.31,255.45,810411,5min
TSLA,2025-04-14T15:00:00.000Z,255.43,255.7,254.3,254.47,989433,5min
TSLA,2025-04-14T15:05:00.000Z,254.52,254.7,253.18,253.44,933789,5min
TSLA,2025-04-14T15:10:00.000Z,253.41,254.18,251.7,251.91,1439958,5min
TSLA,2025-04-14T15:15:00.000Z,251.91,252.15,251.04,251.71,1118016,5min
TSLA,2025-04-14T15:20:00.000Z,251.72,251.83,250.8,251.01,1032261,5min
TSLA,2025-04-14T15:25:00.000Z,251.02,251.33,248.59,248.94,1695453,5min
TSLA,2025-04-14T15:30:00.000Z,248.95,250.28,248.84,249.83,1117709,5min
TSLA,2025-04-14T15:35:00.000Z,249.9,250.03,247.68,248.59,1162886,5min
TSLA,2025-04-14T15:40:00.000Z,248.6,249.41,247.84,249.32,922265,5min
TSLA,2025-04-14T15:45:00.000Z,249.3,249.34,247.75,249.01,952581,5min
TSLA,2025-04-14T15:50:00.000Z,248.97,249.86,248.1,249.68,921534,5min
TSLA,2025-04-14T15:55:00.000Z,249.7,250.47,248.92,249.09,950479,5min
TSLA,2025-04-14T16:00:00.000Z,249.1,249.77,248.34,249.32,622770,5min
TSLA,2025-04-14T16:05:00.000Z,249.33,249.6,247.96,248.3,670040,5min
TSLA,2025-04-14T16:10:00.000Z,248.3,248.75,246.28,247.54,1238654,5min
TSLA,2025-04-14T16:15:00.000Z,247.59,248.69,246.52,248.03,1202614,5min
TSLA,2025-04-14T16:20:00.000Z,247.97,249.47,247.59,248.35,1162824,5min
TSLA,2025-04-14T16:25:00.000Z,248.39,248.64,246.92,247,617845,5min
TSLA,2025-04-14T16:30:00.000Z,246.98,248.95,246.62,248.88,764036,5min
TSLA,2025-04-14T16:35:00.000Z,248.91,249.68,248.45,248.68,780367,5min
TSLA,2025-04-14T16:40:00.000Z,248.69,249.14,248.13,248.81,564205,5min
TSLA,2025-04-14T16:45:00.000Z,248.78,248.97,248.13,248.36,373146,5min
TSLA,2025-04-14T16:50:00.000Z,248.35,248.41,246.57,247.46,720301,5min
TSLA,2025-04-14T16:55:00.000Z,247.44,247.65,245.93,246.26,794365,5min
TSLA,2025-04-14T17:00:00.000Z,246.26,249,246.05,247.68,1021313,5min
TSLA,2025-04-14T17:05:00.000Z,247.69,248.75,247.39,248.46,589312,5min
TSLA,2025-04-14T17:10:00.000Z,248.43,248.75,247.32,247.7,500222,5min
TSLA,2025-04-14T17:15:00.000Z,247.76,248.47,247.22,248.45,499861,5min
TSLA,2025-04-14T17:20:00.000Z,248.45,249.24,248.04,249,591516,5min
TSLA,2025-04-14T17:25:00.000Z,248.95,248.96,247.67,247.99,508690,5min
TSLA,2025-04-14T17:30:00.000Z,247.97,248.35,247.2,247.98,462178,5min
TSLA,2025-04-14T17:35:00.000Z,247.93,248.49,247.69,248.08,459039,5min
TSLA,2025-04-14T17:40:00.000Z,248.03,248.45,247.39,247.69,437222,5min
TSLA,2025-04-14T17:45:00.000Z,247.73,248.2,247.2,248.07,442909,5min
TSLA,2025-04-14T17:50:00.000Z,248.05,249.21,247.94,248.8,638382,5min
TSLA,2025-04-14T17:55:00.000Z,248.75,249.37,248.57,249.05,489146,5min
TSLA,2025-04-14T18:00:00.000Z,248.99,249.73,248.92,249.5,605936,5min
TSLA,2025-04-14T18:05:00.000Z,249.52,249.9,249.07,249.4,461127,5min
TSLA,2025-04-14T18:10:00.000Z,249.32,249.37,248.3,248.64,472810,5min
TSLA,2025-04-14T18:15:00.000Z,248.64,249.3,248.22,249.13,420546,5min
TSLA,2025-04-14T18:20:00.000Z,249.1,249.73,249.05,249.49,436303,5min
TSLA,2025-04-14T18:25:00.000Z,249.51,249.7,249.14,249.17,298835,5min
TSLA,2025-04-14T18:30:00.000Z,249.23,249.7,248.85,249.31,391747,5min
TSLA,2025-04-14T18:35:00.000Z,249.33,250.4,249.21,250.33,773826,5min
TSLA,2025-04-14T18:40:00.000Z,250.35,251.92,250.13,251.41,1115464,5min
TSLA,2025-04-14T18:45:00.000Z,251.38,252.18,251,251.95,985777,5min
TSLA,2025-04-14T18:50:00.000Z,252,252.29,251.38,251.58,665966,5min
TSLA,2025-04-14T18:55:00.000Z,251.5,251.68,250.89,251.26,665087,5min
TSLA,2025-04-14T19:00:00.000Z,251.25,252.05,250.82,252,751486,5min
TSLA,2025-04-14T19:05:00.000Z,252.03,253.38,251.9,253.29,1007674,5min
TSLA,2025-04-14T19:10:00.000Z,253.31,254.09,252.77,253.65,879695,5min
TSLA,2025-04-14T19:15:00.000Z,253.7,253.74,252.78,253.11,637510,5min
TSLA,2025-04-14T19:20:00.000Z,253.13,254,252.85,253.79,609900,5min
TSLA,2025-04-14T19:25:00.000Z,253.81,254.15,253.2,253.48,604908,5min
