"Date", "Open", "High", "Low", "Close", "Volume"
2026-05-08T13:40:00Z,270.39,271.47,270.15,271.41,352631
2026-05-08T13:45:00Z,271.45,272.76,271.37,272.73,658180
2026-05-08T13:50:00Z,272.73,273.04,271.93,273.02,611384
2026-05-08T13:55:00Z,273.03,273.37,272.36,273.14,531761
2026-05-08T14:05:00Z,272.87,273.25,272.17,272.98,292586
2026-05-08T14:10:00Z,272.98,273.37,272.77,273.27,373599
2026-05-08T14:15:00Z,273.24,273.38,272.47,272.56,225395
2026-05-08T14:20:00Z,272.54,272.98,272.47,272.75,191249
2026-05-08T14:25:00Z,272.75,272.76,272.30,272.42,180955
2026-05-08T14:30:00Z,272.42,272.64,272.10,272.48,259744
2026-05-08T15:20:00Z,272.51,272.65,272.37,272.37,175907
2026-05-08T15:25:00Z,272.38,272.90,272.36,272.90,215536
2026-05-08T15:30:00Z,272.91,272.95,272.35,272.47,200081
2026-05-08T15:35:00Z,272.46,272.95,272.40,272.84,278330
2026-05-08T15:40:00Z,272.82,273.10,272.51,273.01,266048
2026-05-08T15:45:00Z,273.01,273.31,272.86,273.16,242410
2026-05-08T15:50:00Z,273.15,273.49,273.10,273.33,279526
2026-05-08T15:55:00Z,273.34,273.38,272.59,272.64,180592
2026-05-08T16:00:00Z,272.64,272.99,272.59,272.93,150740
2026-05-08T16:05:00Z,272.93,273.01,272.78,272.88,116256
2026-05-08T16:10:00Z,272.89,273.31,272.84,273.25,131827
2026-05-08T16:15:00Z,273.25,273.36,273.09,273.24,153757
2026-05-08T16:20:00Z,273.25,273.29,273.08,273.10,109798
2026-05-08T16:25:00Z,273.11,273.30,272.95,272.96,241510
2026-05-08T16:30:00Z,272.95,273.19,272.66,272.86,141415
2026-05-08T16:35:00Z,272.85,273.00,272.76,272.89,121406
2026-05-08T16:40:00Z,272.89,272.91,272.32,272.44,112108
2026-05-08T16:45:00Z,272.45,272.94,272.44,272.94,147498
2026-05-08T16:50:00Z,272.96,272.96,272.48,272.69,140868
2026-05-08T16:55:00Z,272.66,272.70,272.39,272.48,121319
2026-05-08T17:00:00Z,272.49,273.14,272.48,273.07,142045
2026-05-08T17:05:00Z,273.09,273.30,273.02,273.20,179002
2026-05-08T17:10:00Z,273.21,273.25,273.00,273.06,109692
2026-05-08T17:15:00Z,273.05,273.19,272.88,273.09,201119
2026-05-08T17:20:00Z,273.05,273.13,272.64,272.72,447713
2026-05-08T17:25:00Z,272.73,272.77,272.15,272.34,250518
2026-05-08T17:30:00Z,272.38,272.63,272.33,272.50,140691
2026-05-08T17:35:00Z,272.51,272.65,272.39,272.44,138692
2026-05-08T17:40:00Z,272.44,272.55,272.33,272.33,120539
2026-05-08T17:45:00Z,272.33,272.60,272.33,272.45,119743
2026-05-08T17:50:00Z,272.45,272.86,272.45,272.82,122050
2026-05-08T17:55:00Z,272.82,272.84,272.56,272.57,109218
2026-05-08T18:00:00Z,272.57,273.00,272.48,272.77,136378
2026-05-08T18:05:00Z,272.75,272.82,272.27,272.31,122209
2026-05-08T18:10:00Z,272.31,272.54,272.16,272.46,117215
2026-05-08T18:15:00Z,272.48,272.53,272.34,272.44,110870
2026-05-08T18:20:00Z,272.43,272.51,272.36,272.46,83914
2026-05-08T18:25:00Z,272.47,272.65,272.46,272.50,130420
2026-05-08T18:30:00Z,272.52,272.63,272.45,272.60,113078
2026-05-08T18:35:00Z,272.60,272.66,272.31,272.37,104097
2026-05-08T18:40:00Z,272.37,272.37,271.96,272.02,243934
2026-05-08T18:45:00Z,272.03,272.13,271.91,272.06,180965
2026-05-08T18:50:00Z,272.08,272.33,271.99,272.23,138525
2026-05-08T18:55:00Z,272.23,272.47,272.12,272.43,156603
2026-05-08T19:00:00Z,272.44,272.57,272.23,272.56,148594
2026-05-08T19:05:00Z,272.57,272.83,272.57,272.59,217272
2026-05-08T19:10:00Z,272.62,272.76,272.47,272.76,184875
2026-05-08T19:15:00Z,272.78,273.00,272.75,272.98,225860
2026-05-08T19:20:00Z,272.97,273.50,272.77,273.00,300656
2026-05-08T19:25:00Z,272.95,273.16,272.91,273.08,188964
2026-05-08T19:30:00Z,273.07,273.32,273.04,273.24,223417
2026-05-08T19:35:00Z,273.23,273.27,272.85,272.97,209676
2026-05-08T19:40:00Z,272.97,273.21,272.94,273.05,268779
2026-05-08T19:45:00Z,273.05,273.62,273.03,273.54,453268
2026-05-08T19:50:00Z,273.53,274.00,273.32,273.83,617795
2026-05-08T19:55:00Z,273.79,273.90,272.50,272.64,1671364
2026-05-11T13:30:00Z,269.83,271.88,269.16,271.86,996605
2026-05-11T13:35:00Z,271.80,272.37,270.62,272.18,639653
2026-05-11T13:40:00Z,272.18,272.96,272.01,272.45,419524
2026-05-11T13:45:00Z,272.41,273.43,272.20,272.87,512127
2026-05-11T13:50:00Z,272.89,273.63,272.79,273.00,491068
2026-05-11T13:55:00Z,273.00,273.26,272.33,273.17,349268
2026-05-11T14:00:00Z,273.16,273.44,272.71,272.72,398634
2026-05-11T14:05:00Z,272.74,273.03,272.29,272.38,413452
2026-05-11T14:10:00Z,272.37,272.43,271.39,271.72,305105
2026-05-11T14:15:00Z,271.71,272.15,271.54,271.67,303212
2026-05-11T14:20:00Z,271.67,272.04,271.62,271.76,249917
2026-05-11T14:25:00Z,271.75,272.23,271.73,271.96,364665
2026-05-11T14:30:00Z,271.96,272.21,271.60,272.02,325030
2026-05-11T14:35:00Z,272.01,272.08,271.58,271.70,324723
2026-05-11T14:40:00Z,271.69,271.71,271.41,271.43,243003
2026-05-11T14:45:00Z,271.42,271.55,271.23,271.24,255462
2026-05-11T14:50:00Z,271.24,271.31,271.03,271.23,209381
2026-05-11T14:55:00Z,271.21,271.87,271.18,271.78,255802
2026-05-11T15:00:00Z,271.78,272.00,271.61,271.90,269893
2026-05-11T15:05:00Z,271.90,272.30,271.80,272.10,154673
2026-05-11T15:10:00Z,272.11,272.15,271.70,271.70,118442
2026-05-11T15:15:00Z,271.73,272.00,271.67,271.91,123830
2026-05-11T15:20:00Z,271.89,272.10,271.81,272.02,161523
2026-05-11T15:25:00Z,272.05,272.64,271.98,272.56,193687
2026-05-11T15:30:00Z,272.56,272.79,272.33,272.50,213451
2026-05-11T15:35:00Z,272.49,272.61,272.24,272.41,250212
2026-05-11T15:40:00Z,272.42,272.76,272.27,272.44,142463
2026-05-11T15:45:00Z,272.41,272.56,272.14,272.18,128354
2026-05-11T15:50:00Z,272.18,272.48,272.09,272.30,109094
2026-05-11T15:55:00Z,272.29,272.45,272.11,272.26,84608
2026-05-11T16:00:00Z,272.25,273.07,272.13,272.78,400654
2026-05-11T16:05:00Z,272.78,272.90,272.20,272.27,153994
2026-05-11T16:10:00Z,272.27,272.49,272.18,272.30,107400
2026-05-11T16:15:00Z,272.31,272.34,271.91,272.24,252081
2026-05-11T16:20:00Z,272.25,272.56,272.21,272.52,142168
2026-05-11T16:25:00Z,272.52,272.56,272.24,272.27,94356
2026-05-11T16:30:00Z,272.27,272.43,272.22,272.31,88208
2026-05-11T16:35:00Z,272.30,272.31,271.95,272.00,206674
2026-05-11T16:40:00Z,272.00,272.08,271.39,272.06,244899
2026-05-11T16:45:00Z,272.07,272.21,271.93,271.96,105648
2026-05-11T16:50:00Z,271.96,272.17,271.80,272.06,246873
2026-05-11T16:55:00Z,272.06,272.06,271.52,271.61,186313
2026-05-11T17:00:00Z,271.61,271.76,271.48,271.59,152138
2026-05-11T17:05:00Z,271.59,271.67,271.51,271.58,88276
2026-05-11T17:10:00Z,271.57,271.60,271.17,271.37,188794
2026-05-11T17:15:00Z,271.35,271.44,271.21,271.25,133504
2026-05-11T17:20:00Z,271.25,271.47,271.14,271.14,144334
2026-05-11T17:25:00Z,271.12,271.29,270.85,270.86,199126
2026-05-11T17:30:00Z,270.85,270.95,270.59,270.90,153951
2026-05-11T17:35:00Z,270.90,271.22,270.78,270.78,202702
2026-05-11T17:40:00Z,270.77,271.14,270.76,271.11,92648
2026-05-11T17:45:00Z,271.11,271.23,270.96,271.03,116236
2026-05-11T17:50:00Z,271.01,271.13,270.91,270.96,95026
2026-05-11T17:55:00Z,270.94,271.01,270.77,270.79,90246
2026-05-11T18:00:00Z,270.80,271.07,270.74,271.02,138515
2026-05-11T18:05:00Z,271.02,271.12,270.69,270.86,116784
2026-05-11T18:10:00Z,270.85,271.06,270.75,270.80,151836
2026-05-11T18:15:00Z,270.79,270.79,270.36,270.37,169879
2026-05-11T18:20:00Z,270.37,270.49,270.23,270.37,144788
2026-05-11T18:25:00Z,270.38,270.39,270.05,270.11,154209
2026-05-11T18:30:00Z,270.10,270.11,269.81,269.86,172328
2026-05-11T18:35:00Z,269.87,270.03,269.74,269.75,132457
2026-05-11T18:40:00Z,269.76,269.99,269.71,269.94,183534
