"Date", "Open", "High", "Low", "Close", "Volume"
2026-05-08T13:40:00Z,734.93,735.31,734.57,735.29,352022
2026-05-08T13:45:00Z,735.29,736.30,735.29,736.05,976615
2026-05-08T13:50:00Z,736.05,736.37,735.85,735.97,678174
2026-05-08T13:55:00Z,735.97,736.66,735.85,736.64,475054
2026-05-08T14:00:00Z,736.62,736.89,736.24,736.71,609173
2026-05-08T14:05:00Z,736.74,736.82,736.29,736.54,496314
2026-05-08T14:10:00Z,736.56,736.89,736.24,736.80,432671
2026-05-08T14:15:00Z,736.81,736.98,736.55,736.89,439944
2026-05-08T14:20:00Z,736.90,737.32,736.84,737.24,323248
2026-05-08T14:25:00Z,737.24,737.55,736.71,736.80,448200
2026-05-08T14:35:00Z,736.51,736.95,736.11,736.95,333474
2026-05-08T15:20:00Z,736.39,736.97,736.29,736.55,315920
2026-05-08T15:25:00Z,736.57,736.92,736.45,736.91,193043
2026-05-08T15:30:00Z,736.89,736.97,736.31,736.95,307773
2026-05-08T15:35:00Z,736.95,737.37,736.89,737.28,276361
2026-05-08T15:40:00Z,737.29,737.34,736.54,736.75,252904
2026-05-08T15:45:00Z,736.76,737.32,736.64,737.09,358602
2026-05-08T15:50:00Z,737.10,737.18,736.76,737.03,202688
2026-05-08T15:55:00Z,737.01,737.12,736.70,736.89,242417
2026-05-08T16:00:00Z,736.88,737.28,736.88,737.13,299325
2026-05-08T16:05:00Z,737.13,737.51,737.11,737.25,186680
2026-05-08T16:10:00Z,737.26,737.45,737.10,737.38,119281
2026-05-08T16:15:00Z,737.37,737.53,737.25,737.27,138787
2026-05-08T16:20:00Z,737.26,737.44,737.22,737.40,141157
2026-05-08T16:25:00Z,737.40,737.75,737.16,737.55,328883
2026-05-08T16:30:00Z,737.56,737.63,737.29,737.48,143674
2026-05-08T16:35:00Z,737.46,737.57,737.14,737.37,231556
2026-05-08T16:40:00Z,737.37,737.44,736.81,736.81,354127
2026-05-08T16:45:00Z,736.82,737.30,736.82,737.30,209119
2026-05-08T16:50:00Z,737.31,737.31,736.97,737.04,224968
2026-05-08T16:55:00Z,737.04,737.09,736.85,736.92,228091
2026-05-08T17:00:00Z,736.89,737.51,736.82,737.47,341442
2026-05-08T17:05:00Z,737.47,737.59,737.16,737.35,266995
2026-05-08T17:10:00Z,737.34,737.36,737.12,737.17,204555
2026-05-08T17:15:00Z,737.17,737.54,737.15,737.52,238456
2026-05-08T17:20:00Z,737.51,737.73,737.41,737.64,236386
2026-05-08T17:25:00Z,737.65,737.84,737.65,737.69,331672
2026-05-08T17:30:00Z,737.68,737.80,737.60,737.70,176269
2026-05-08T17:35:00Z,737.70,737.91,737.44,737.46,252009
2026-05-08T17:40:00Z,737.46,737.53,737.25,737.28,240795
2026-05-08T17:45:00Z,737.26,737.59,737.21,737.26,147445
2026-05-08T17:55:00Z,737.38,737.48,737.18,737.19,192997
2026-05-08T18:00:00Z,737.17,738.08,737.15,737.57,670337
2026-05-08T18:05:00Z,737.57,737.72,737.33,737.40,349689
2026-05-08T18:10:00Z,737.39,737.83,737.35,737.78,265503
2026-05-08T18:15:00Z,737.81,737.93,737.68,737.75,304688
2026-05-08T18:20:00Z,737.73,737.90,737.70,737.78,262332
2026-05-08T18:25:00Z,737.79,737.82,737.64,737.73,279330
2026-05-08T18:30:00Z,737.73,737.95,737.60,737.60,271695
2026-05-08T18:35:00Z,737.59,737.66,737.43,737.49,227008
2026-05-08T18:40:00Z,737.49,737.58,737.24,737.25,226590
2026-05-08T18:45:00Z,737.25,737.26,736.86,736.95,382869
2026-05-08T18:50:00Z,736.96,737.03,736.43,736.58,417370
2026-05-08T18:55:00Z,736.59,736.73,736.11,736.38,447141
2026-05-08T19:00:00Z,736.38,736.82,736.35,736.61,388013
2026-05-08T19:05:00Z,736.60,737.07,736.48,736.84,381933
2026-05-08T19:10:00Z,736.85,737.01,736.73,736.83,288448
2026-05-08T19:15:00Z,736.82,737.18,736.78,737.14,400552
2026-05-08T19:20:00Z,737.14,737.26,736.93,737.00,520539
2026-05-08T19:25:00Z,736.99,737.11,736.62,736.64,557740
2026-05-08T19:30:00Z,736.64,737.05,736.52,737.04,431437
2026-05-08T19:35:00Z,737.03,737.21,736.88,737.12,563786
2026-05-08T19:40:00Z,737.10,737.42,737.10,737.35,781177
2026-05-08T19:45:00Z,737.35,737.50,737.19,737.20,958315
2026-05-08T19:50:00Z,737.21,737.51,737.10,737.46,903726
2026-05-08T19:55:00Z,737.46,737.59,737.13,737.53,2865064
2026-05-11T13:30:00Z,736.46,737.95,736.45,737.94,1480819
2026-05-11T13:35:00Z,737.94,737.94,737.42,737.61,628066
2026-05-11T13:40:00Z,737.61,738.40,737.52,738.39,557094
2026-05-11T13:45:00Z,738.40,739.14,738.35,738.78,704175
2026-05-11T13:50:00Z,738.80,739.12,738.42,738.51,637347
2026-05-11T13:55:00Z,738.54,738.78,738.32,738.67,451454
2026-05-11T14:00:00Z,738.67,738.81,738.51,738.60,313826
2026-05-11T14:05:00Z,738.57,738.86,738.51,738.78,356832
2026-05-11T14:10:00Z,738.77,739.06,738.55,739.04,352790
2026-05-11T14:15:00Z,739.04,739.52,738.99,739.49,633147
2026-05-11T14:20:00Z,739.48,739.58,739.37,739.52,393466
2026-05-11T14:25:00Z,739.52,739.59,738.40,738.47,529580
2026-05-11T14:30:00Z,738.46,738.72,737.59,738.43,946588
2026-05-11T14:35:00Z,738.43,738.81,738.24,738.61,288785
2026-05-11T14:40:00Z,738.62,739.09,738.59,738.94,350443
2026-05-11T14:45:00Z,738.97,739.18,738.63,739.05,440647
2026-05-11T14:50:00Z,739.04,739.83,739.03,739.79,469439
2026-05-11T14:55:00Z,739.77,739.94,739.38,739.65,456463
2026-05-11T15:00:00Z,739.65,739.76,739.42,739.61,268818
2026-05-11T15:05:00Z,739.61,739.68,739.41,739.61,461315
2026-05-11T15:10:00Z,739.63,739.63,739.03,739.12,426705
2026-05-11T15:15:00Z,739.12,739.52,738.95,739.47,421821
2026-05-11T15:20:00Z,739.47,739.80,739.35,739.77,353113
2026-05-11T15:25:00Z,739.78,740.11,739.70,740.07,553179
2026-05-11T15:30:00Z,740.08,740.19,739.85,739.90,421674
2026-05-11T15:35:00Z,739.93,740.08,739.74,740.07,317346
2026-05-11T15:40:00Z,740.10,740.19,739.67,739.85,401573
2026-05-11T15:45:00Z,739.86,740.05,739.73,739.93,320501
2026-05-11T15:50:00Z,739.91,740.26,739.72,740.17,342297
2026-05-11T15:55:00Z,740.18,740.34,740.07,740.22,370265
2026-05-11T16:00:00Z,740.23,740.32,740.04,740.09,278228
2026-05-11T16:05:00Z,740.10,740.21,740.03,740.09,228844
2026-05-11T16:10:00Z,740.08,740.22,740.00,740.13,169809
2026-05-11T16:15:00Z,740.14,740.22,740.01,740.08,231697
2026-05-11T16:20:00Z,740.08,740.33,739.95,740.30,239178
2026-05-11T16:25:00Z,740.30,740.44,740.30,740.34,229995
2026-05-11T16:30:00Z,740.32,740.43,740.19,740.29,267237
2026-05-11T16:35:00Z,740.29,740.36,740.08,740.09,220332
2026-05-11T16:40:00Z,740.09,740.13,738.84,739.66,911374
2026-05-11T16:45:00Z,739.66,739.93,739.52,739.53,332447
2026-05-11T16:50:00Z,739.53,739.66,739.25,739.33,487391
2026-05-11T16:55:00Z,739.32,739.50,739.07,739.33,360864
2026-05-11T17:00:00Z,739.34,739.63,739.34,739.52,247132
2026-05-11T17:05:00Z,739.53,739.69,739.35,739.45,213725
2026-05-11T17:10:00Z,739.44,739.46,739.00,739.06,283218
2026-05-11T17:15:00Z,739.05,739.15,738.88,738.96,262878
2026-05-11T17:20:00Z,738.97,739.66,738.91,739.61,333856
2026-05-11T17:25:00Z,739.61,739.91,739.56,739.81,309042
2026-05-11T17:30:00Z,739.79,740.21,739.78,740.15,269757
2026-05-11T17:35:00Z,740.12,740.42,740.08,740.30,250156
2026-05-11T17:40:00Z,740.30,740.67,740.22,740.63,313107
2026-05-11T17:45:00Z,740.64,740.79,740.32,740.35,410667
2026-05-11T17:50:00Z,740.34,740.45,740.19,740.23,275346
2026-05-11T17:55:00Z,740.23,740.38,740.14,740.20,284713
2026-05-11T18:00:00Z,740.20,740.62,740.18,740.61,390843
2026-05-11T18:05:00Z,740.60,740.65,740.49,740.56,353612
2026-05-11T18:10:00Z,740.57,740.58,740.26,740.34,370520
2026-05-11T18:15:00Z,740.33,740.41,740.24,740.31,205231
2026-05-11T18:20:00Z,740.31,740.53,740.05,740.29,319681
2026-05-11T18:25:00Z,740.28,740.36,740.22,740.34,231419
2026-05-11T18:30:00Z,740.34,740.35,740.04,740.08,371450
2026-05-11T18:35:00Z,740.08,740.16,739.76,739.79,264530
2026-05-11T18:40:00Z,739.79,739.89,739.61,739.77,429708
2026-05-11T18:45:00Z,739.76,739.78,739.49,739.51,366360
2026-05-11T18:50:00Z,739.53,739.55,739.23,739.34,477706
2026-05-11T18:55:00Z,739.33,739.39,738.50,738.52,489047
2026-05-11T19:00:00Z,738.56,738.84,738.25,738.29,445634
2026-05-11T19:05:00Z,738.28,739.00,738.20,738.96,653750
2026-05-11T19:10:00Z,738.97,739.19,738.66,738.78,428827
2026-05-11T19:15:00Z,738.78,738.81,738.38,738.59,459510
2026-05-11T19:20:00Z,738.56,738.65,738.16,738.40,479932
2026-05-11T19:25:00Z,738.41,738.64,738.29,738.49,652060
2026-05-11T19:30:00Z,738.49,738.89,738.31,738.61,492295
2026-05-11T19:35:00Z,738.60,738.65,738.37,738.62,723626
2026-05-11T19:40:00Z,738.62,738.74,738.18,738.19,474026
2026-05-11T19:45:00Z,738.19,738.69,738.13,738.52,549168
2026-05-11T19:50:00Z,738.60,738.83,738.46,738.79,616832
2026-05-11T19:55:00Z,738.89,739.15,738.84,739.11,1582035
2026-05-12T13:30:00Z,736.90,737.22,736.16,736.43,795840
2026-05-12T13:35:00Z,736.36,736.36,735.66,735.74,424433
2026-05-12T13:40:00Z,736.08,736.45,736.01,736.19,699673
2026-05-12T13:45:00Z,736.72,736.90,736.54,736.89,71058
2026-05-12T13:50:00Z,735.75,735.82,735.48,735.74,702039
2026-05-12T13:55:00Z,735.91,735.93,735.32,735.57,753164
2026-05-12T14:00:00Z,735.15,735.23,734.65,734.87,216052
2026-05-12T14:05:00Z,735.11,735.48,735.10,735.27,516040
2026-05-12T14:10:00Z,735.35,735.45,735.08,735.23,358686
2026-05-12T14:15:00Z,736.12,736.21,736.00,736.13,57931
2026-05-12T14:20:00Z,736.19,736.29,736.00,736.00,627207
2026-05-12T14:25:00Z,735.60,735.84,735.47,735.53,433520
2026-05-12T14:30:00Z,734.92,734.97,734.29,734.33,158780
2026-05-12T14:35:00Z,734.03,734.24,733.54,733.64,1269452
2026-05-12T14:40:00Z,734.63,734.70,734.42,734.46,98046
2026-05-12T14:45:00Z,734.61,734.64,734.20,734.33,72441
2026-05-12T14:50:00Z,734.07,734.20,733.88,733.88,557319
2026-05-12T14:55:00Z,734.00,734.16,733.93,733.98,406332
2026-05-12T15:00:00Z,733.78,733.94,733.68,733.75,124124
2026-05-12T15:05:00Z,733.47,733.48,733.24,733.43,916239
2026-05-12T15:10:00Z,734.04,734.05,733.67,733.79,554657
2026-05-12T15:15:00Z,733.24,733.27,732.99,733.00,91796
2026-05-12T15:20:00Z,732.96,733.06,732.76,733.00,761399
2026-05-12T15:25:00Z,732.13,732.20,731.84,731.94,845167
2026-05-12T15:30:00Z,732.34,732.69,732.12,732.20,125732
2026-05-12T15:35:00Z,732.86,732.90,732.52,732.70,604681
2026-05-12T15:40:00Z,733.10,733.28,733.04,733.13,496528
2026-05-12T15:45:00Z,733.53,733.73,733.50,733.68,64982
2026-05-12T15:50:00Z,733.33,733.49,733.13,733.18,657710
2026-05-12T15:55:00Z,733.09,733.23,732.91,733.13,355621
2026-05-12T16:00:00Z,732.49,732.55,732.11,732.32,140051
2026-05-12T16:05:00Z,733.25,733.31,733.05,733.05,496378
2026-05-12T16:10:00Z,732.78,732.92,732.70,732.89,310066
2026-05-12T16:15:00Z,733.33,733.43,733.04,733.07,29127
2026-05-12T16:20:00Z,733.02,733.24,732.92,733.24,671003
2026-05-12T16:25:00Z,732.84,732.93,732.71,732.83,472209
2026-05-12T16:30:00Z,732.73,732.81,732.55,732.69,41903
2026-05-12T16:35:00Z,732.54,732.78,732.54,732.72,595115
2026-05-12T16:40:00Z,732.79,732.97,732.71,732.71,430885
2026-05-12T16:45:00Z,732.42,732.59,732.10,732.16,124539
2026-05-12T16:50:00Z,732.10,732.17,732.02,732.07,526733
2026-05-12T16:55:00Z,732.00,732.08,731.83,732.02,522891
2026-05-12T17:00:00Z,732.12,732.39,732.01,732.16,84332
2026-05-12T17:05:00Z,732.86,733.06,732.85,733.01,543073
2026-05-12T17:10:00Z,733.01,733.31,732.94,733.22,494112
2026-05-12T17:15:00Z,733.29,733.43,733.29,733.43,76489
2026-05-12T17:20:00Z,734.10,734.40,734.07,734.26,770870
2026-05-12T17:25:00Z,734.52,734.56,734.34,734.37,709979
2026-05-12T17:30:00Z,734.34,734.48,734.13,734.36,67501
2026-05-12T17:35:00Z,734.92,734.94,734.48,734.58,540828
2026-05-12T17:40:00Z,734.63,734.78,734.61,734.73,385282
2026-05-12T17:45:00Z,734.77,734.89,734.72,734.77,54744
2026-05-12T17:50:00Z,734.67,734.74,734.50,734.50,444702
2026-05-12T17:55:00Z,735.11,735.20,734.76,734.79,555689
2026-05-12T18:00:00Z,735.06,735.23,735.01,735.13,100013
2026-05-12T18:05:00Z,735.19,735.21,734.99,735.05,1029972
2026-05-12T18:10:00Z,734.94,735.14,734.87,734.94,321871
2026-05-12T18:15:00Z,735.09,735.33,735.09,735.30,79148
2026-05-12T18:20:00Z,735.21,735.38,735.18,735.32,345943
2026-05-12T18:25:00Z,735.78,736.22,735.78,736.22,681602
2026-05-12T18:30:00Z,736.19,736.30,736.10,736.25,100004
2026-05-12T18:35:00Z,736.12,736.12,735.88,736.10,448058
2026-05-12T18:40:00Z,736.10,736.26,736.06,736.18,331040
2026-05-12T18:45:00Z,736.26,736.30,735.91,735.95,102163
2026-05-12T18:50:00Z,736.08,736.09,735.93,735.99,309051
2026-05-12T18:55:00Z,736.19,736.43,736.18,736.43,340693
2026-05-12T19:00:00Z,736.02,736.23,735.99,736.22,37223
2026-05-12T19:05:00Z,736.25,736.29,736.18,736.18,351258
2026-05-12T19:10:00Z,736.47,736.61,736.47,736.53,164073
2026-05-12T19:15:00Z,737.12,737.42,737.12,737.30,571856
2026-05-12T19:20:00Z,737.02,737.05,736.78,736.83,75437
2026-05-12T19:25:00Z,736.97,737.06,736.92,736.97,432592
