Date,Open,High,Low,Close,Volume
2026-05-14T13:30:00Z,299.82,300.44,299.00,299.58,820013
2026-05-14T13:35:00Z,297.71,297.78,297.56,297.78,799833
2026-05-14T13:40:00Z,297.58,297.59,297.33,297.35,659949
2026-05-14T13:45:00Z,297.64,297.76,297.60,297.74,8182
2026-05-14T13:50:00Z,298.49,298.52,298.49,298.52,548102
2026-05-14T13:55:00Z,297.98,297.99,297.78,297.95,394087
2026-05-14T14:00:00Z,297.35,297.35,297.31,297.31,653
2026-05-14T14:05:00Z,297.22,297.44,297.22,297.44,332032
2026-05-14T14:10:00Z,297.73,297.81,297.66,297.76,402285
2026-05-14T14:15:00Z,298.36,298.48,298.32,298.48,12692
2026-05-14T14:20:00Z,298.72,298.75,298.57,298.57,509846
2026-05-14T14:25:00Z,298.05,298.20,298.00,298.15,299102
2026-05-14T14:30:00Z,297.95,297.96,297.92,297.94,2583
2026-05-14T14:35:00Z,297.89,297.93,297.87,297.93,312930
2026-05-14T14:40:00Z,297.99,298.06,297.99,298.06,261980
2026-05-14T14:45:00Z,298.44,298.44,298.38,298.40,4389
2026-05-14T14:50:00Z,298.35,298.46,298.35,298.44,314609
2026-05-14T14:55:00Z,298.70,298.77,298.44,298.50,391550
2026-05-14T15:00:00Z,298.63,298.70,298.63,298.63,5895
2026-05-14T15:05:00Z,298.39,298.43,298.34,298.40,262614
2026-05-14T15:10:00Z,298.76,298.96,298.76,298.93,388104
2026-05-14T15:15:00Z,299.03,299.47,298.99,299.09,267168
2026-05-14T15:20:00Z,299.07,299.12,299.05,299.10,312574
2026-05-14T15:25:00Z,299.14,299.24,299.10,299.18,237001
2026-05-14T15:30:00Z,299.07,299.35,298.99,299.06,278898
2026-05-14T15:35:00Z,299.07,299.10,298.75,299.04,176501
2026-05-14T15:40:00Z,299.05,299.36,299.00,299.15,251628
2026-05-14T15:45:00Z,299.15,299.33,299.11,299.12,127568
2026-05-14T15:50:00Z,299.12,299.14,298.76,298.78,202950
2026-05-14T15:55:00Z,298.77,299.15,298.76,299.15,159879
2026-05-14T16:00:00Z,299.16,299.20,298.76,298.95,155554
2026-05-14T16:05:00Z,298.95,299.09,298.88,298.88,100927
2026-05-14T16:10:00Z,298.88,298.94,298.59,298.65,143658
2026-05-14T16:15:00Z,298.65,299.03,298.64,298.76,125109
2026-05-14T16:20:00Z,298.75,298.84,298.55,298.60,163077
2026-05-14T16:25:00Z,298.61,298.76,298.28,298.31,209845
2026-05-14T16:30:00Z,298.31,298.51,298.22,298.28,159097
2026-05-14T16:35:00Z,298.29,298.30,298.00,298.12,198875
2026-05-14T16:40:00Z,298.13,298.36,298.02,298.13,143913
2026-05-14T16:45:00Z,298.11,298.12,295.97,296.45,1094946
2026-05-14T16:50:00Z,296.48,297.77,295.38,297.76,725099
2026-05-14T16:55:00Z,297.72,297.87,297.46,297.60,303029
2026-05-14T17:00:00Z,297.57,297.97,297.44,297.65,238494
2026-05-14T17:05:00Z,297.64,297.88,297.46,297.54,119889
2026-05-14T17:10:00Z,297.54,298.00,297.47,297.63,194346
2026-05-14T17:15:00Z,297.61,297.87,297.35,297.66,159433
2026-05-14T17:20:00Z,297.64,297.96,297.51,297.89,128416
2026-05-14T17:25:00Z,297.91,298.42,297.83,298.38,197587
2026-05-14T17:30:00Z,298.41,298.63,298.32,298.48,193876
2026-05-14T17:35:00Z,298.48,298.54,297.92,298.18,211221
2026-05-14T17:40:00Z,298.16,298.25,298.00,298.21,146374
2026-05-14T17:45:00Z,298.20,298.38,298.10,298.17,145919
2026-05-14T17:50:00Z,298.17,298.30,298.12,298.23,107403
2026-05-14T17:55:00Z,298.23,298.52,298.11,298.19,125421
2026-05-14T18:00:00Z,298.18,298.19,297.55,297.74,188185
2026-05-14T18:05:00Z,297.74,298.15,297.72,298.12,124340
2026-05-14T18:10:00Z,298.12,298.36,298.06,298.34,134665
2026-05-14T18:15:00Z,298.35,298.50,298.24,298.43,125323
2026-05-14T18:20:00Z,298.44,298.48,298.37,298.38,95669
2026-05-14T18:25:00Z,298.40,298.44,298.26,298.37,125763
2026-05-14T18:30:00Z,298.37,298.37,298.34,298.37,198027
2026-05-14T18:35:00Z,298.42,298.44,298.41,298.43,423559
2026-05-14T18:40:00Z,298.26,298.50,298.25,298.27,98037
2026-05-14T18:45:00Z,298.26,298.33,298.26,298.29,219548
2026-05-14T18:50:00Z,298.43,298.44,298.32,298.32,193661
2026-05-14T18:55:00Z,298.69,298.74,298.69,298.74,5919
2026-05-14T19:00:00Z,298.60,298.61,298.52,298.59,214333
2026-05-14T19:05:00Z,298.83,298.85,298.82,298.84,171786
2026-05-14T19:10:00Z,298.91,298.91,298.89,298.89,7606
2026-05-14T19:15:00Z,298.86,298.87,298.81,298.87,195978
2026-05-14T19:20:00Z,298.94,298.95,298.92,298.93,256791
2026-05-14T19:25:00Z,299.02,299.03,298.97,298.98,12001
2026-05-14T19:30:00Z,299.08,299.09,298.66,298.72,180323
2026-05-14T19:35:00Z,298.71,298.73,298.71,298.73,496830
2026-05-14T19:40:00Z,298.84,298.89,298.82,298.82,19516
2026-05-14T19:45:00Z,298.69,298.69,298.67,298.67,298556
2026-05-14T19:50:00Z,298.33,298.41,298.27,298.40,356516
2026-05-14T19:55:00Z,298.27,298.27,298.06,298.07,17069
