Date,Open,High,Low,Close,Volume
2026-05-15T13:30:00Z,262.50,262.75,261.12,261.68,2708728
2026-05-15T13:35:00Z,261.50,261.50,261.14,261.47,1114710
2026-05-15T13:40:00Z,261.15,261.76,261.14,261.76,1116794
2026-05-15T13:45:00Z,262.04,262.16,261.69,261.81,111181
2026-05-15T13:50:00Z,262.57,262.87,262.50,262.71,881346
2026-05-15T13:55:00Z,262.42,262.57,262.34,262.34,624640
2026-05-15T14:00:00Z,262.47,262.56,262.14,262.35,48874
2026-05-15T14:05:00Z,262.94,263.14,262.90,263.01,638417
2026-05-15T14:10:00Z,263.38,263.62,263.38,263.50,51712
2026-05-15T14:15:00Z,263.93,264.05,263.00,263.65,131462
2026-05-15T14:20:00Z,263.58,263.71,263.45,263.60,528602
2026-05-15T14:25:00Z,263.30,263.38,263.05,263.05,563610
2026-05-15T14:30:00Z,262.98,263.22,262.79,263.17,54497
2026-05-15T14:35:00Z,263.38,263.38,263.17,263.17,443326
2026-05-15T14:40:00Z,263.24,263.28,263.12,263.22,381078
2026-05-15T14:45:00Z,262.88,263.10,262.88,262.97,27774
2026-05-15T14:50:00Z,262.60,262.60,262.32,262.40,430502
2026-05-15T14:55:00Z,262.96,263.07,262.05,262.87,432238
2026-05-15T15:00:00Z,262.81,262.91,262.71,262.83,19505
2026-05-15T15:05:00Z,263.21,263.24,263.04,263.08,328727
2026-05-15T15:10:00Z,263.41,263.46,262.50,263.31,571279
2026-05-15T15:15:00Z,263.17,263.21,263.10,263.13,19964
2026-05-15T15:20:00Z,263.29,263.45,263.25,263.31,349817
2026-05-15T15:25:00Z,263.45,263.46,262.50,262.99,927276
2026-05-15T15:30:00Z,263.62,263.94,263.62,263.67,44883
2026-05-15T15:35:00Z,263.10,263.13,262.98,263.00,277492
2026-05-15T15:40:00Z,262.60,262.62,262.46,262.51,297196
2026-05-15T15:45:00Z,262.05,262.16,261.97,262.14,19205
2026-05-15T15:50:00Z,262.06,262.08,261.86,262.02,310020
2026-05-15T15:55:00Z,261.83,261.92,261.72,261.92,528874
2026-05-15T16:00:00Z,262.32,262.43,262.29,262.43,23278
2026-05-15T16:05:00Z,262.03,262.10,261.97,262.08,213985
2026-05-15T16:10:00Z,262.10,262.19,261.78,262.14,184122
2026-05-15T16:15:00Z,262.14,262.21,262.08,262.21,17044
2026-05-15T16:20:00Z,261.94,261.94,261.85,261.87,243926
2026-05-15T16:25:00Z,262.47,262.53,262.31,262.39,346450
2026-05-15T16:30:00Z,262.73,262.75,262.68,262.73,22192
2026-05-15T16:35:00Z,263.02,263.06,262.90,263.00,1468493
2026-05-15T16:40:00Z,263.19,263.23,263.01,263.06,352753
2026-05-15T16:45:00Z,262.72,262.72,262.61,262.67,16239
2026-05-15T16:50:00Z,262.34,262.51,262.33,262.47,286371
2026-05-15T16:55:00Z,262.07,262.22,262.07,262.20,451689
2026-05-15T17:00:00Z,261.90,261.90,261.25,261.86,128513
2026-05-15T17:05:00Z,262.00,262.13,261.95,262.08,231185
2026-05-15T17:10:00Z,262.36,262.50,262.34,262.50,192839
2026-05-15T17:15:00Z,262.38,262.41,262.35,262.38,11197
2026-05-15T17:20:00Z,262.96,263.08,262.95,263.06,493748
2026-05-15T17:25:00Z,263.02,263.17,263.01,263.17,169243
2026-05-15T17:30:00Z,263.30,263.39,263.28,263.38,21429
2026-05-15T17:35:00Z,263.86,263.89,263.65,263.70,302833
2026-05-15T17:40:00Z,263.88,263.94,263.86,263.88,234565
2026-05-15T17:45:00Z,263.62,263.80,263.61,263.73,36061
2026-05-15T17:50:00Z,263.36,263.42,263.29,263.30,250544
2026-05-15T17:55:00Z,263.22,263.29,263.18,263.23,219082
2026-05-15T18:00:00Z,263.21,263.36,263.21,263.33,20218
2026-05-15T18:05:00Z,263.16,263.20,263.09,263.14,233354
2026-05-15T18:10:00Z,263.38,263.38,263.24,263.32,240765
2026-05-15T18:15:00Z,263.15,263.17,263.11,263.12,15286
2026-05-15T18:20:00Z,263.19,263.40,263.10,263.39,296026
2026-05-15T18:25:00Z,263.67,263.75,263.64,263.69,272818
2026-05-15T18:30:00Z,263.74,263.75,263.64,263.66,13657
2026-05-15T18:35:00Z,263.25,263.43,263.25,263.37,242476
2026-05-15T18:40:00Z,263.93,263.95,263.57,263.66,105547
2026-05-15T18:45:00Z,263.65,263.75,263.64,263.64,13104
2026-05-15T18:50:00Z,263.68,263.77,263.68,263.68,158855
2026-05-15T18:55:00Z,263.51,263.66,263.49,263.60,216664
2026-05-15T19:00:00Z,263.48,263.50,263.38,263.39,13790
2026-05-15T19:05:00Z,262.86,262.93,262.85,262.90,304779
2026-05-15T19:10:00Z,263.14,263.18,263.07,263.12,218973
2026-05-15T19:15:00Z,263.10,263.11,263.03,263.10,17392
2026-05-15T19:20:00Z,263.43,263.44,263.19,263.24,204212
2026-05-15T19:25:00Z,263.33,263.33,263.26,263.31,228869
2026-05-15T19:30:00Z,263.30,263.40,263.29,263.38,10702
2026-05-15T19:35:00Z,263.72,263.74,263.64,263.71,315188
2026-05-15T19:40:00Z,263.85,263.89,263.82,263.83,250202
2026-05-15T19:45:00Z,263.56,263.67,263.52,263.63,37297
2026-05-15T19:50:00Z,263.65,263.67,263.36,263.45,577511
2026-05-15T19:55:00Z,263.58,263.95,263.52,263.95,892136
