Date,Open,High,Low,Close,Volume
2026-05-19T13:30:00Z,429.90,432.01,429.73,431.87,970635
2026-05-19T13:35:00Z,425.76,425.83,424.21,424.36,1541115
2026-05-19T13:40:00Z,425.35,425.91,425.00,425.54,870608
2026-05-19T13:45:00Z,425.31,426.26,425.01,426.22,63680
2026-05-19T13:50:00Z,429.35,429.63,428.90,429.31,827677
2026-05-19T13:55:00Z,430.39,430.66,429.81,429.81,988684
2026-05-19T14:00:00Z,429.15,429.50,428.83,429.00,22778
2026-05-19T14:05:00Z,428.24,428.36,427.99,428.21,618118
2026-05-19T14:10:00Z,427.31,427.31,426.51,426.58,576968
2026-05-19T14:15:00Z,425.43,425.75,425.27,425.62,23439
2026-05-19T14:20:00Z,425.76,426.25,425.76,425.98,485541
2026-05-19T14:25:00Z,426.09,426.15,424.71,425.04,306498
2026-05-19T14:30:00Z,425.03,425.99,424.93,425.32,214772
2026-05-19T14:35:00Z,425.38,425.75,425.29,425.64,28768
2026-05-19T14:40:00Z,423.95,425.10,423.75,423.80,253446
2026-05-19T14:45:00Z,423.80,424.00,423.73,423.85,22915
2026-05-19T14:50:00Z,423.21,423.23,423.00,423.12,364281
2026-05-19T14:55:00Z,422.70,423.46,422.67,423.45,242875
2026-05-19T15:00:00Z,423.55,423.85,423.50,423.72,17047
2026-05-19T15:05:00Z,422.74,422.83,422.56,422.67,339901
2026-05-19T15:10:00Z,422.78,422.90,422.54,422.70,299193
2026-05-19T15:15:00Z,423.61,423.70,423.51,423.61,14220
2026-05-19T15:20:00Z,422.54,422.60,422.29,422.39,254390
2026-05-19T15:25:00Z,421.72,421.73,421.36,421.52,219646
2026-05-19T15:30:00Z,421.03,421.20,420.81,421.19,18611
2026-05-19T15:35:00Z,420.81,420.90,420.72,420.81,290775
2026-05-19T15:40:00Z,420.97,420.97,420.64,420.71,193140
2026-05-19T15:45:00Z,420.16,420.30,419.49,420.23,288139
2026-05-19T15:50:00Z,420.21,420.32,420.02,420.31,10895
2026-05-19T15:55:00Z,419.54,419.54,419.31,419.36,274494
2026-05-19T16:00:00Z,419.30,419.46,419.24,419.33,7272
2026-05-19T16:05:00Z,419.35,419.66,419.31,419.41,190122
2026-05-19T16:10:00Z,418.16,418.24,418.05,418.17,261872
2026-05-19T16:15:00Z,418.91,419.27,418.91,419.17,13221
2026-05-19T16:20:00Z,419.54,419.55,419.44,419.50,167108
2026-05-19T16:25:00Z,418.71,419.02,418.71,418.82,204447
2026-05-19T16:30:00Z,417.72,417.76,417.51,417.57,21793
2026-05-19T16:35:00Z,417.62,417.76,417.45,417.55,17641
2026-05-19T16:40:00Z,417.85,417.90,417.62,417.69,16949
2026-05-19T16:45:00Z,417.78,417.81,417.62,417.63,9154
2026-05-19T16:50:00Z,418.27,418.32,418.07,418.24,270762
2026-05-19T16:55:00Z,418.90,419.12,418.83,418.94,225020
2026-05-19T17:00:00Z,418.37,418.48,418.32,418.42,9420
2026-05-19T17:05:00Z,419.26,419.32,419.17,419.28,217458
2026-05-19T17:10:00Z,418.66,418.72,418.60,418.68,169383
2026-05-19T17:15:00Z,418.27,418.47,418.27,418.45,5499
2026-05-19T17:20:00Z,417.30,417.68,417.25,417.68,179712
2026-05-19T17:25:00Z,417.85,417.92,417.82,417.86,183711
2026-05-19T17:30:00Z,418.78,418.87,418.64,418.72,9065
2026-05-19T17:35:00Z,418.85,419.08,418.85,419.04,214811
2026-05-19T17:40:00Z,419.50,419.68,419.34,419.48,169907
2026-05-19T17:45:00Z,419.69,419.74,419.46,419.47,7074
2026-05-19T17:50:00Z,419.26,419.30,419.16,419.30,147024
2026-05-19T17:55:00Z,419.08,419.31,418.99,419.09,117872
2026-05-19T18:00:00Z,419.14,419.17,419.00,419.12,8699
2026-05-19T18:05:00Z,419.06,419.19,419.06,419.15,100656
2026-05-19T18:10:00Z,419.00,419.03,418.88,418.98,99769
2026-05-19T18:15:00Z,418.32,418.39,418.23,418.26,11399
2026-05-19T18:20:00Z,419.02,419.14,418.99,419.03,90631
2026-05-19T18:25:00Z,419.37,419.44,419.23,419.33,158965
2026-05-19T18:30:00Z,419.15,419.15,418.97,419.09,5658
2026-05-19T18:35:00Z,419.57,419.58,419.48,419.56,401166
2026-05-19T18:40:00Z,419.40,419.40,419.28,419.30,16463
2026-05-19T18:45:00Z,419.24,419.26,419.09,419.09,4243
2026-05-19T18:50:00Z,418.85,418.85,418.72,418.76,106385
2026-05-19T18:55:00Z,418.31,418.31,418.03,418.27,144603
2026-05-19T19:00:00Z,418.50,418.65,418.50,418.58,5153
2026-05-19T19:05:00Z,418.51,418.53,418.31,418.33,121795
2026-05-19T19:10:00Z,418.69,418.91,418.68,418.90,133972
2026-05-19T19:15:00Z,418.67,418.86,418.61,418.81,20425
2026-05-19T19:20:00Z,418.51,418.70,418.51,418.58,151918
2026-05-19T19:25:00Z,418.04,418.05,417.86,417.86,212698
2026-05-19T19:30:00Z,418.23,418.25,417.93,417.93,10327
2026-05-19T19:35:00Z,418.08,418.15,417.92,417.92,141661
2026-05-19T19:40:00Z,417.92,417.93,417.72,417.82,215082
2026-05-19T19:45:00Z,417.75,417.78,417.51,417.56,9531
2026-05-19T19:50:00Z,417.43,417.60,417.35,417.52,312578
2026-05-19T19:55:00Z,417.20,417.21,416.59,416.66,649821
