Date,Open,High,Low,Close,Volume
2026-05-20T13:30:00Z,22.06,22.06,21.97,21.98,29832
2026-05-20T13:35:00Z,21.91,21.97,21.90,21.97,143762
2026-05-20T13:40:00Z,22.07,22.10,22.06,22.09,70799
2026-05-20T13:45:00Z,22.16,22.32,22.15,22.32,20685
2026-05-20T13:50:00Z,22.29,22.30,22.24,22.27,76026
2026-05-20T13:55:00Z,22.25,22.27,22.20,22.20,60959
2026-05-20T14:00:00Z,22.16,22.17,22.16,22.16,2100
2026-05-20T14:05:00Z,22.25,22.25,22.22,22.22,61204
2026-05-20T14:10:00Z,22.24,22.25,22.17,22.17,75763
2026-05-20T14:15:00Z,22.20,22.21,22.18,22.20,4957
2026-05-20T14:20:00Z,22.27,22.30,22.21,22.22,62279
2026-05-20T14:25:00Z,22.22,22.29,22.22,22.29,20583
2026-05-20T14:30:00Z,22.30,22.33,22.29,22.29,7489
2026-05-20T14:35:00Z,22.36,22.39,22.34,22.39,52757
2026-05-20T14:40:00Z,22.39,22.42,22.39,22.42,96876
2026-05-20T14:45:00Z,22.41,22.42,22.39,22.42,5731
2026-05-20T14:50:00Z,22.52,22.53,22.49,22.49,35776
2026-05-20T14:55:00Z,22.50,22.51,22.50,22.50,52356
2026-05-20T15:00:00Z,22.49,22.49,22.46,22.48,8299
2026-05-20T15:05:00Z,22.46,22.46,22.44,22.46,44351
2026-05-20T15:10:00Z,22.47,22.47,22.46,22.47,31671
2026-05-20T15:15:00Z,22.40,22.54,22.39,22.52,17253
2026-05-20T15:20:00Z,22.48,22.48,22.45,22.45,38037
2026-05-20T15:25:00Z,22.48,22.50,22.45,22.45,47526
2026-05-20T15:30:00Z,22.46,22.47,22.46,22.46,3429
2026-05-20T15:35:00Z,22.43,22.44,22.43,22.43,28095
2026-05-20T15:40:00Z,22.43,22.43,22.41,22.43,52033
2026-05-20T15:45:00Z,22.43,22.44,22.42,22.43,2642
2026-05-20T15:50:00Z,22.48,22.48,22.46,22.48,23725
2026-05-20T15:55:00Z,22.41,22.43,22.40,22.41,40334
2026-05-20T16:00:00Z,22.44,22.45,22.43,22.45,2254
2026-05-20T16:05:00Z,22.37,22.39,22.37,22.39,82574
2026-05-20T16:10:00Z,22.46,22.50,22.46,22.50,44524
2026-05-20T16:15:00Z,22.52,22.52,22.50,22.50,2939
2026-05-20T16:20:00Z,22.48,22.48,22.48,22.48,22399
2026-05-20T16:25:00Z,22.46,22.48,22.45,22.46,20843
2026-05-20T16:30:00Z,22.61,22.62,22.59,22.62,8696
2026-05-20T16:35:00Z,22.70,22.70,22.65,22.66,118892
2026-05-20T16:40:00Z,22.62,22.62,22.59,22.59,44283
2026-05-20T16:45:00Z,22.62,22.64,22.62,22.64,3400
2026-05-20T16:50:00Z,22.65,22.66,22.65,22.65,37212
2026-05-20T16:55:00Z,22.64,22.64,22.60,22.61,47500
2026-05-20T17:00:00Z,22.64,22.64,22.61,22.61,15833
2026-05-20T17:05:00Z,22.60,22.60,22.58,22.59,29211
2026-05-20T17:10:00Z,22.64,22.68,22.64,22.68,37693
2026-05-20T17:15:00Z,22.70,22.71,22.70,22.71,2915
2026-05-20T17:20:00Z,22.70,22.70,22.69,22.70,27965
2026-05-20T17:25:00Z,22.68,22.68,22.68,22.68,24288
2026-05-20T17:30:00Z,22.70,22.71,22.69,22.70,9583
2026-05-20T17:35:00Z,22.68,22.70,22.68,22.69,20027
2026-05-20T17:40:00Z,22.70,22.70,22.69,22.69,73954
2026-05-20T17:45:00Z,22.69,22.69,22.68,22.68,1457
2026-05-20T17:50:00Z,22.70,22.70,22.69,22.69,13968
2026-05-20T17:55:00Z,22.68,22.68,22.68,22.68,17866
2026-05-20T18:00:00Z,22.68,22.68,22.67,22.67,4874
2026-05-20T18:05:00Z,22.66,22.68,22.66,22.68,23979
2026-05-20T18:10:00Z,22.64,22.64,22.63,22.63,22437
2026-05-20T18:15:00Z,22.66,22.67,22.66,22.66,2872
2026-05-20T18:20:00Z,22.64,22.64,22.63,22.64,104429
2026-05-20T18:25:00Z,22.66,22.68,22.64,22.68,27653
2026-05-20T18:30:00Z,22.68,22.70,22.68,22.70,3473
2026-05-20T18:35:00Z,22.70,22.70,22.69,22.70,33737
2026-05-20T18:40:00Z,22.68,22.68,22.66,22.66,41996
2026-05-20T18:45:00Z,22.67,22.67,22.64,22.65,2945
2026-05-20T18:50:00Z,22.65,22.66,22.65,22.66,19586
2026-05-20T18:55:00Z,22.64,22.65,22.63,22.64,29324
2026-05-20T19:00:00Z,22.68,22.68,22.66,22.67,7800
2026-05-20T19:05:00Z,22.69,22.70,22.69,22.70,38238
2026-05-20T19:10:00Z,22.68,22.70,22.68,22.70,38634
2026-05-20T19:15:00Z,22.68,22.68,22.66,22.68,3032
2026-05-20T19:20:00Z,22.66,22.67,22.66,22.67,19793
2026-05-20T19:25:00Z,22.66,22.66,22.65,22.66,38574
2026-05-20T19:30:00Z,22.66,22.68,22.66,22.66,4914
2026-05-20T19:35:00Z,22.68,22.70,22.68,22.70,44667
2026-05-20T19:40:00Z,22.70,22.70,22.68,22.68,1188148
2026-05-20T19:45:00Z,22.71,22.71,22.67,22.67,11612
2026-05-20T19:50:00Z,22.65,22.66,22.64,22.64,1062729
2026-05-20T19:55:00Z,22.59,22.59,22.55,22.57,144133
