Date,Open,High,Low,Close,Volume
2026-05-20T13:30:00Z,735.70,736.10,735.47,735.60,494940
2026-05-20T13:35:00Z,735.65,735.65,734.34,734.36,1032158
2026-05-20T13:40:00Z,734.89,735.65,734.68,735.49,935593
2026-05-20T13:45:00Z,736.03,736.63,736.00,736.56,198741
2026-05-20T13:50:00Z,736.03,736.55,735.88,735.88,821855
2026-05-20T13:55:00Z,736.00,736.27,735.67,735.78,593852
2026-05-20T14:00:00Z,736.14,736.25,735.89,736.12,37175
2026-05-20T14:05:00Z,735.17,735.17,734.74,734.74,432636
2026-05-20T14:10:00Z,734.74,734.99,734.43,734.53,436272
2026-05-20T14:15:00Z,735.35,736.03,735.21,735.72,83691
2026-05-20T14:20:00Z,737.30,737.88,737.29,737.65,1524536
2026-05-20T14:25:00Z,736.88,737.89,736.47,737.89,475065
2026-05-20T14:30:00Z,737.90,738.46,737.90,738.42,123677
2026-05-20T14:35:00Z,738.19,738.41,737.60,737.87,128349
2026-05-20T14:40:00Z,737.94,738.12,737.65,737.85,519754
2026-05-20T14:45:00Z,738.31,738.48,738.18,738.48,33716
2026-05-20T14:50:00Z,738.03,738.22,737.88,737.98,389023
2026-05-20T14:55:00Z,738.71,739.26,738.57,739.26,440830
2026-05-20T15:00:00Z,739.19,739.44,739.10,739.38,79187
2026-05-20T15:05:00Z,738.81,738.96,738.73,738.96,535497
2026-05-20T15:10:00Z,738.87,738.91,738.78,738.86,288335
2026-05-20T15:15:00Z,738.80,740.82,738.80,740.67,319121
2026-05-20T15:20:00Z,740.37,740.73,740.34,740.65,1856165
2026-05-20T15:25:00Z,740.18,740.24,739.94,739.99,457112
2026-05-20T15:30:00Z,412.39,412.80,412.36,412.57,57771
2026-05-20T15:35:00Z,739.92,740.04,739.84,740.01,445755
2026-05-20T15:40:00Z,739.91,740.07,739.73,739.94,396203
2026-05-20T15:45:00Z,740.33,740.43,740.19,740.36,27924
2026-05-20T15:50:00Z,740.73,740.80,740.61,740.73,352432
2026-05-20T15:55:00Z,740.70,740.76,740.52,740.54,328741
2026-05-20T16:00:00Z,740.26,740.37,740.15,740.25,51796
2026-05-20T16:05:00Z,740.25,740.44,740.21,740.41,359893
2026-05-20T16:10:00Z,740.17,740.27,740.10,740.14,210921
2026-05-20T16:15:00Z,740.07,740.14,739.81,739.86,27183
2026-05-20T16:20:00Z,739.71,739.76,739.00,739.00,391026
2026-05-20T16:25:00Z,739.20,739.20,738.78,739.06,472920
2026-05-20T16:30:00Z,738.95,738.97,738.61,738.84,55961
2026-05-20T16:35:00Z,738.69,738.76,738.58,738.58,429946
2026-05-20T16:40:00Z,738.86,739.17,738.78,739.13,262490
2026-05-20T16:45:00Z,739.91,740.00,739.74,739.74,44633
2026-05-20T16:50:00Z,739.13,739.39,739.13,739.23,35958
2026-05-20T16:55:00Z,739.47,739.48,739.16,739.20,412158
2026-05-20T17:00:00Z,739.40,739.47,739.14,739.47,25772
2026-05-20T17:05:00Z,739.10,739.20,738.93,739.06,339980
2026-05-20T17:10:00Z,739.03,739.25,738.74,739.19,257116
2026-05-20T17:15:00Z,739.64,739.77,739.58,739.68,32699
2026-05-20T17:20:00Z,739.70,739.93,739.61,739.93,248167
2026-05-20T17:25:00Z,739.64,739.81,739.59,739.65,190000
2026-05-20T17:30:00Z,740.16,740.43,740.15,740.17,42634
2026-05-20T17:35:00Z,739.98,740.31,739.91,740.31,263265
2026-05-20T17:40:00Z,740.43,740.48,740.27,740.34,328040
2026-05-20T17:45:00Z,740.27,740.36,740.21,740.22,35416
2026-05-20T17:50:00Z,740.15,740.22,739.96,739.97,369319
2026-05-20T17:55:00Z,739.66,739.88,739.61,739.85,246873
2026-05-20T18:00:00Z,739.86,739.89,739.30,739.79,133736
2026-05-20T18:05:00Z,740.10,740.19,739.96,740.04,579518
2026-05-20T18:10:00Z,740.07,740.16,739.91,740.11,599552
2026-05-20T18:15:00Z,740.08,740.25,740.02,740.14,42548
2026-05-20T18:20:00Z,740.10,740.23,739.68,739.73,221800
2026-05-20T18:25:00Z,739.72,740.00,739.64,739.77,95971
2026-05-20T18:30:00Z,740.13,740.30,740.11,740.26,56676
2026-05-20T18:35:00Z,740.39,740.46,740.26,740.42,325032
2026-05-20T18:40:00Z,740.72,740.78,740.57,740.63,381075
2026-05-20T18:45:00Z,739.79,740.09,739.68,739.96,50229
2026-05-20T18:50:00Z,740.09,740.27,739.98,740.03,222668
2026-05-20T18:55:00Z,740.06,740.30,740.05,740.30,240426
2026-05-20T19:00:00Z,740.16,740.46,740.12,740.45,48601
2026-05-20T19:05:00Z,740.23,740.30,740.10,740.12,491873
2026-05-20T19:10:00Z,740.19,740.35,740.02,740.35,387529
2026-05-20T19:15:00Z,740.55,740.70,740.51,740.58,35966
2026-05-20T19:20:00Z,740.69,740.72,740.58,740.67,384659
2026-05-20T19:25:00Z,740.74,740.87,740.67,740.76,740194
2026-05-20T19:30:00Z,740.83,740.94,740.68,740.69,98312
2026-05-20T19:35:00Z,740.88,741.06,740.86,741.04,703293
2026-05-20T19:40:00Z,741.40,741.42,741.20,741.29,775542
2026-05-20T19:45:00Z,741.22,741.23,741.00,741.20,225164
2026-05-20T19:50:00Z,741.09,741.09,740.55,740.64,2056893
2026-05-20T19:55:00Z,740.97,741.18,740.80,740.88,1431365
