Date,Open,High,Low,Close,Volume
2026-05-21T13:30:00Z,12.98,13.00,12.87,12.88,15013
2026-05-21T13:35:00Z,12.83,12.89,12.78,12.89,12831
2026-05-21T13:40:00Z,12.90,12.90,12.86,12.90,16553
2026-05-21T13:45:00Z,12.87,12.90,12.87,12.90,6948
2026-05-21T13:50:00Z,12.91,12.97,12.91,12.94,5252
2026-05-21T13:55:00Z,12.98,12.98,12.95,12.97,6566
2026-05-21T14:00:00Z,12.91,12.91,12.86,12.87,5818
2026-05-21T14:05:00Z,13.01,13.01,12.99,13.00,2175
2026-05-21T14:10:00Z,13.11,13.11,13.09,13.10,9449
2026-05-21T14:15:00Z,13.08,13.08,13.05,13.06,5415
2026-05-21T14:20:00Z,13.04,13.07,13.04,13.05,3900
2026-05-21T14:25:00Z,13.09,13.09,13.07,13.07,2149
2026-05-21T14:30:00Z,13.09,13.09,13.08,13.08,1708
2026-05-21T14:35:00Z,13.05,13.06,13.05,13.05,2145
2026-05-21T14:40:00Z,13.01,13.01,13.01,13.01,1349
2026-05-21T14:45:00Z,13.02,13.03,13.01,13.02,2923
2026-05-21T14:50:00Z,13.04,13.05,13.04,13.04,1661
2026-05-21T14:55:00Z,13.08,13.08,13.07,13.07,852
2026-05-21T15:00:00Z,13.07,13.07,13.07,13.07,4344
2026-05-21T15:05:00Z,13.06,13.06,13.04,13.04,2633
2026-05-21T15:10:00Z,13.04,13.05,13.04,13.05,4194
2026-05-21T15:15:00Z,13.06,13.06,13.05,13.05,881
2026-05-21T15:20:00Z,13.07,13.07,13.06,13.06,1185
2026-05-21T15:25:00Z,13.04,13.04,13.04,13.04,3082
2026-05-21T15:30:00Z,13.07,13.07,13.07,13.07,605
2026-05-21T15:35:00Z,13.06,13.07,13.06,13.06,1871
2026-05-21T15:40:00Z,13.05,13.05,13.05,13.05,1811
2026-05-21T15:45:00Z,13.06,13.06,13.06,13.06,673
2026-05-21T15:50:00Z,13.08,13.17,13.08,13.16,24726
2026-05-21T15:55:00Z,13.20,13.20,13.20,13.20,3604
2026-05-21T16:00:00Z,13.26,13.26,13.25,13.26,5961
2026-05-21T16:05:00Z,13.19,13.19,13.18,13.18,1397
2026-05-21T16:10:00Z,13.21,13.21,13.19,13.19,10868
2026-05-21T16:15:00Z,13.17,13.17,13.16,13.16,1038
2026-05-21T16:20:00Z,13.18,13.18,13.17,13.18,2732
2026-05-21T16:25:00Z,13.13,13.13,13.13,13.13,3072
2026-05-21T16:30:00Z,13.12,13.12,13.12,13.12,925
2026-05-21T16:35:00Z,13.13,13.13,13.12,13.12,575
2026-05-21T16:40:00Z,13.11,13.11,13.10,13.10,1318
2026-05-21T16:45:00Z,13.10,13.11,13.10,13.11,1244
2026-05-21T16:50:00Z,13.11,13.11,13.10,13.11,2060
2026-05-21T16:55:00Z,13.12,13.13,13.12,13.13,2357
2026-05-21T17:00:00Z,13.12,13.12,13.12,13.12,200
2026-05-21T17:05:00Z,13.11,13.12,13.11,13.11,3695
2026-05-21T17:10:00Z,13.11,13.18,13.11,13.17,10632
2026-05-21T17:15:00Z,13.16,13.19,13.15,13.19,8434
2026-05-21T17:20:00Z,13.21,13.23,13.21,13.23,5385
2026-05-21T17:25:00Z,13.23,13.23,13.22,13.22,6543
2026-05-21T17:30:00Z,13.21,13.22,13.21,13.22,1945
2026-05-21T17:35:00Z,13.23,13.23,13.21,13.21,7451
2026-05-21T17:40:00Z,13.21,13.23,13.21,13.23,1904
2026-05-21T17:45:00Z,13.26,13.27,13.26,13.27,12022
2026-05-21T17:50:00Z,13.30,13.30,13.30,13.30,1787
2026-05-21T17:55:00Z,13.30,13.31,13.29,13.29,1698
2026-05-21T18:00:00Z,13.30,13.31,13.30,13.31,936
2026-05-21T18:05:00Z,13.29,13.29,13.29,13.29,2776
2026-05-21T18:10:00Z,13.30,13.30,13.29,13.30,2609
2026-05-21T18:15:00Z,13.30,13.30,13.29,13.29,9518
2026-05-21T18:20:00Z,13.30,13.32,13.30,13.30,6940
2026-05-21T18:25:00Z,13.30,13.31,13.30,13.31,1939
2026-05-21T18:30:00Z,13.31,13.34,13.31,13.33,2331
2026-05-21T18:35:00Z,13.33,13.33,13.33,13.33,3026
2026-05-21T18:40:00Z,13.32,13.32,13.32,13.32,1566
2026-05-21T18:45:00Z,13.33,13.33,13.32,13.33,2829
2026-05-21T18:50:00Z,13.30,13.32,13.30,13.32,5085
2026-05-21T18:55:00Z,13.26,13.27,13.26,13.27,7560
2026-05-21T19:00:00Z,13.27,13.27,13.26,13.27,2157
2026-05-21T19:05:00Z,13.27,13.28,13.27,13.28,3453
2026-05-21T19:10:00Z,13.26,13.29,13.26,13.28,11212
2026-05-21T19:15:00Z,13.26,13.28,13.26,13.27,8337
2026-05-21T19:20:00Z,13.26,13.27,13.23,13.23,9807
2026-05-21T19:25:00Z,13.23,13.23,13.22,13.22,8186
2026-05-21T19:30:00Z,13.23,13.24,13.23,13.23,10325
2026-05-21T19:35:00Z,13.19,13.19,13.13,13.13,12759
2026-05-21T19:40:00Z,13.14,13.14,13.12,13.12,18189
2026-05-21T19:45:00Z,13.19,13.19,13.17,13.17,4852
2026-05-21T19:50:00Z,13.17,13.18,13.15,13.15,14287
2026-05-21T19:55:00Z,13.13,13.19,13.12,13.18,74332
