Date,Open,High,Low,Close,Volume
2026-05-21T13:30:00Z,422.35,423.44,420.60,422.18,663971
2026-05-21T13:35:00Z,426.14,426.44,425.07,425.23,2007464
2026-05-21T13:40:00Z,423.80,424.73,423.28,424.44,1575390
2026-05-21T13:45:00Z,423.05,423.12,421.13,421.25,135578
2026-05-21T13:50:00Z,419.61,420.28,419.35,419.37,1072125
2026-05-21T13:55:00Z,420.88,420.98,419.27,419.30,1271803
2026-05-21T14:00:00Z,418.75,418.75,417.83,418.09,85555
2026-05-21T14:05:00Z,417.12,418.45,416.90,418.42,191977
2026-05-21T14:10:00Z,419.09,419.14,418.45,418.79,680609
2026-05-21T14:15:00Z,418.60,418.81,418.25,418.63,76097
2026-05-21T14:20:00Z,416.88,416.94,415.50,415.50,965029
2026-05-21T14:25:00Z,413.76,413.94,413.03,413.36,1217858
2026-05-21T14:30:00Z,414.26,414.83,414.24,414.68,119622
2026-05-21T14:35:00Z,414.04,414.42,413.92,414.30,618086
2026-05-21T14:40:00Z,414.80,414.96,413.91,414.12,703745
2026-05-21T14:45:00Z,415.17,415.39,414.77,415.10,55532
2026-05-21T14:50:00Z,414.35,414.50,413.85,413.94,449838
2026-05-21T14:55:00Z,415.36,415.54,415.00,415.19,492977
2026-05-21T15:00:00Z,416.00,416.18,415.79,415.96,108181
2026-05-21T15:05:00Z,415.78,415.79,414.98,415.07,576401
2026-05-21T15:10:00Z,415.05,415.25,414.29,415.14,497627
2026-05-21T15:15:00Z,416.31,416.60,416.15,416.50,74890
2026-05-21T15:20:00Z,416.98,417.25,416.91,417.05,505994
2026-05-21T15:25:00Z,417.08,417.45,416.81,417.06,603550
2026-05-21T15:30:00Z,417.50,417.59,417.12,417.23,45940
2026-05-21T15:35:00Z,415.78,416.41,415.61,416.20,471128
2026-05-21T15:40:00Z,417.08,417.46,416.97,416.98,411149
2026-05-21T15:45:00Z,416.94,417.20,416.81,417.13,32193
2026-05-21T15:50:00Z,417.54,417.71,416.98,416.98,365819
2026-05-21T15:55:00Z,417.11,417.20,416.81,417.06,305046
2026-05-21T16:00:00Z,417.35,417.88,417.28,417.71,38633
2026-05-21T16:05:00Z,417.75,418.00,417.61,417.61,407246
2026-05-21T16:10:00Z,417.74,417.85,417.02,417.09,357885
2026-05-21T16:15:00Z,417.36,417.69,417.00,417.00,51539
2026-05-21T16:20:00Z,417.38,417.67,417.15,417.20,243180
2026-05-21T16:25:00Z,416.69,416.93,416.55,416.67,391924
2026-05-21T16:30:00Z,416.85,417.35,416.28,417.35,52845
2026-05-21T16:35:00Z,417.61,417.69,417.34,417.53,275733
2026-05-21T16:40:00Z,417.62,417.75,417.41,417.65,226391
2026-05-21T16:45:00Z,418.32,418.84,418.32,418.56,68602
2026-05-21T16:50:00Z,417.56,417.59,416.80,416.89,377555
2026-05-21T16:55:00Z,417.30,417.45,417.20,417.45,209050
2026-05-21T17:00:00Z,417.69,418.19,417.66,418.07,56192
2026-05-21T17:05:00Z,418.23,418.40,418.19,418.19,233585
2026-05-21T17:10:00Z,417.92,419.79,417.80,419.68,500769
2026-05-21T17:15:00Z,419.50,420.20,419.38,420.20,66956
2026-05-21T17:20:00Z,421.10,421.93,421.05,421.86,1494588
2026-05-21T17:25:00Z,421.05,421.57,421.00,421.32,801411
2026-05-21T17:30:00Z,421.33,421.61,421.23,421.39,44709
2026-05-21T17:35:00Z,421.07,421.45,421.00,421.38,350277
2026-05-21T17:40:00Z,421.62,421.76,421.46,421.50,260418
2026-05-21T17:45:00Z,421.71,421.90,421.32,421.49,100856
2026-05-21T17:50:00Z,421.54,421.99,421.37,421.95,242555
2026-05-21T17:55:00Z,422.87,423.33,422.58,422.61,729874
2026-05-21T18:00:00Z,422.38,423.30,422.30,423.25,88956
2026-05-21T18:05:00Z,422.15,422.53,421.91,422.52,484929
2026-05-21T18:10:00Z,422.16,422.29,421.61,421.61,324752
2026-05-21T18:15:00Z,421.44,421.50,421.16,421.22,34999
2026-05-21T18:20:00Z,421.50,421.86,421.42,421.61,390629
2026-05-21T18:25:00Z,421.17,421.25,420.61,420.90,315834
2026-05-21T18:30:00Z,420.41,421.06,420.38,420.94,46091
2026-05-21T18:35:00Z,420.80,421.00,420.71,420.88,237856
2026-05-21T18:40:00Z,420.60,420.94,420.57,420.92,199240
2026-05-21T18:45:00Z,420.57,420.71,420.26,420.38,50421
2026-05-21T18:50:00Z,419.00,419.30,418.80,419.14,528632
2026-05-21T18:55:00Z,417.16,417.50,416.92,417.39,635909
2026-05-21T19:00:00Z,417.87,418.13,417.82,418.02,45577
2026-05-21T19:05:00Z,418.04,418.12,417.84,418.06,316738
2026-05-21T19:10:00Z,417.74,418.13,417.69,417.88,409633
2026-05-21T19:15:00Z,417.45,418.44,417.33,418.38,276452
2026-05-21T19:20:00Z,418.37,418.60,418.08,418.25,223169
2026-05-21T19:25:00Z,418.26,418.35,418.19,418.29,17493
2026-05-21T19:30:00Z,418.21,418.63,418.14,418.44,38736
2026-05-21T19:35:00Z,418.77,419.65,418.77,419.56,504326
2026-05-21T19:40:00Z,419.49,420.00,419.49,419.53,369430
2026-05-21T19:45:00Z,419.60,419.66,419.27,419.30,78226
2026-05-21T19:50:00Z,418.75,419.01,418.40,418.78,582492
2026-05-21T19:55:00Z,418.70,418.76,417.55,417.81,668592
