Date,Open,High,Low,Close,Volume
2026-05-22T13:30:00Z,121.34,121.95,120.81,121.25,1362429
2026-05-22T13:35:00Z,121.22,121.44,120.67,120.91,517086
2026-05-22T13:40:00Z,120.91,121.25,120.60,120.70,526041
2026-05-22T13:45:00Z,120.71,120.86,120.10,120.11,545649
2026-05-22T13:50:00Z,120.11,120.25,119.72,119.86,825711
2026-05-22T13:55:00Z,119.84,120.04,119.72,119.86,439918
2026-05-22T14:00:00Z,119.84,119.97,119.35,119.48,701790
2026-05-22T14:05:00Z,119.47,119.51,119.10,119.44,427124
2026-05-22T14:10:00Z,119.44,119.46,118.91,118.93,572962
2026-05-22T14:15:00Z,118.96,119.24,118.93,119.15,351191
2026-05-22T14:20:00Z,119.16,119.44,119.15,119.35,308235
2026-05-22T14:25:00Z,119.36,119.68,119.30,119.45,407030
2026-05-22T14:30:00Z,119.45,119.72,119.38,119.45,297471
2026-05-22T14:35:00Z,119.46,119.87,119.45,119.56,215311
2026-05-22T14:40:00Z,119.56,119.59,119.35,119.50,172538
2026-05-22T14:45:00Z,119.50,119.60,119.48,119.59,132082
2026-05-22T14:50:00Z,119.57,119.62,119.46,119.54,214591
2026-05-22T14:55:00Z,119.53,119.64,119.46,119.50,129614
2026-05-22T15:00:00Z,119.52,119.91,119.52,119.89,230517
2026-05-22T15:05:00Z,119.89,119.98,119.85,119.86,178463
2026-05-22T15:10:00Z,119.86,119.90,119.82,119.85,121305
2026-05-22T15:15:00Z,119.84,119.96,119.76,119.89,123050
2026-05-22T15:20:00Z,119.91,120.07,119.87,119.99,173305
2026-05-22T15:25:00Z,120.00,120.39,119.94,120.37,275514
2026-05-22T15:30:00Z,120.38,120.58,120.31,120.53,178338
2026-05-22T15:35:00Z,120.55,120.61,120.28,120.33,231262
2026-05-22T15:40:00Z,120.33,120.44,120.29,120.44,121844
2026-05-22T15:45:00Z,120.44,120.46,120.17,120.21,106163
2026-05-22T15:50:00Z,120.22,120.25,120.01,120.09,133004
2026-05-22T15:55:00Z,120.09,120.16,120.00,120.13,130811
2026-05-22T16:00:00Z,120.13,120.16,119.99,120.12,133572
2026-05-22T16:05:00Z,120.12,120.17,120.06,120.11,117731
2026-05-22T16:10:00Z,120.10,120.30,120.06,120.13,114909
2026-05-22T16:15:00Z,120.12,120.14,120.03,120.05,89578
2026-05-22T16:20:00Z,120.04,120.30,120.01,120.30,111412
2026-05-22T16:25:00Z,120.29,120.41,120.27,120.40,79944
2026-05-22T16:30:00Z,120.40,120.52,120.35,120.39,107002
2026-05-22T16:35:00Z,120.39,120.46,120.36,120.38,98209
2026-05-22T16:40:00Z,120.38,120.40,120.17,120.28,108570
2026-05-22T16:45:00Z,120.27,120.31,120.18,120.18,63035
2026-05-22T16:50:00Z,120.20,120.39,120.16,120.33,86094
2026-05-22T16:55:00Z,120.34,120.35,120.18,120.20,79137
2026-05-22T17:00:00Z,120.19,120.28,120.18,120.25,82649
2026-05-22T17:05:00Z,120.25,120.26,120.06,120.18,104676
2026-05-22T17:10:00Z,120.19,120.30,120.07,120.08,88338
2026-05-22T17:15:00Z,120.08,120.10,119.97,119.98,141889
2026-05-22T17:20:00Z,120.00,120.11,119.94,119.97,94146
2026-05-22T17:25:00Z,119.97,120.08,119.84,119.89,180612
2026-05-22T17:30:00Z,119.90,120.00,119.76,119.97,141624
2026-05-22T17:35:00Z,119.98,120.01,119.86,120.01,171667
2026-05-22T17:40:00Z,120.01,120.24,119.96,120.18,142431
2026-05-22T17:45:00Z,120.17,120.22,120.02,120.06,97145
2026-05-22T17:50:00Z,120.06,120.15,120.02,120.04,91080
2026-05-22T17:55:00Z,120.05,120.16,120.01,120.09,98117
2026-05-22T18:00:00Z,120.10,120.36,120.09,120.30,141000
2026-05-22T18:05:00Z,120.30,120.35,120.16,120.18,82162
2026-05-22T18:10:00Z,120.18,120.21,120.02,120.04,124901
2026-05-22T18:15:00Z,120.03,120.05,119.92,119.99,134189
2026-05-22T18:20:00Z,119.99,120.00,119.94,119.98,79483
2026-05-22T18:25:00Z,119.97,120.01,119.77,119.83,137775
2026-05-22T18:30:00Z,119.82,119.90,119.76,119.76,91090
2026-05-22T18:35:00Z,119.78,119.84,119.75,119.79,84619
2026-05-22T18:40:00Z,119.79,119.89,119.79,119.88,79464
2026-05-22T18:45:00Z,119.88,119.98,119.86,119.93,112069
2026-05-22T18:50:00Z,119.94,119.96,119.85,119.95,75413
2026-05-22T18:55:00Z,119.95,119.97,119.90,119.94,76953
2026-05-22T19:00:00Z,119.93,120.08,119.92,120.06,113876
2026-05-22T19:05:00Z,120.05,120.12,119.96,120.09,172701
2026-05-22T19:10:00Z,120.09,120.23,120.05,120.11,145536
2026-05-22T19:15:00Z,120.11,120.17,120.00,120.04,210470
2026-05-22T19:20:00Z,120.03,120.20,120.01,120.07,185855
2026-05-22T19:25:00Z,120.07,120.08,120.00,120.03,132321
2026-05-22T19:30:00Z,120.03,120.05,119.92,119.97,144690
2026-05-22T19:35:00Z,119.96,120.01,119.91,119.96,140637
2026-05-22T19:40:00Z,119.95,120.06,119.94,120.04,218069
2026-05-22T19:45:00Z,120.03,120.08,119.95,120.03,218476
2026-05-22T19:50:00Z,120.02,120.45,120.00,120.44,624790
2026-05-22T19:55:00Z,120.44,120.56,120.24,120.25,1298446
