"Date","Open","High","Low","Close","Volume"
"2025-04-14T14:00:00.000Z","183.30","184.19","183.08","184.10","526,841"
"2025-04-14T14:05:00.000Z","184.15","184.55","184.00","184.24","501,409"
"2025-04-14T14:10:00.000Z","184.25","184.44","183.82","183.95","384,504"
"2025-04-14T14:15:00.000Z","183.94","184.40","183.25","184.37","405,291"
"2025-04-14T14:20:00.000Z","184.40","184.91","184.28","184.91","481,197"
"2025-04-14T14:25:00.000Z","184.91","185.10","184.44","184.98","429,135"
"2025-04-14T14:30:00.000Z","185.00","185.03","184.54","184.72","351,943"
"2025-04-14T14:35:00.000Z","184.73","185.05","184.64","185.00","269,039"
"2025-04-14T14:40:00.000Z","185.00","185.24","184.73","184.96","357,606"
"2025-04-14T14:45:00.000Z","185.00","185.26","184.89","185.10","286,228"
"2025-04-14T14:50:00.000Z","185.11","185.94","185.09","185.89","371,316"
"2025-04-14T14:55:00.000Z","185.88","185.90","184.83","185.03","464,726"
"2025-04-14T15:00:00.000Z","185.03","185.29","184.78","184.79","263,327"
"2025-04-14T15:05:00.000Z","184.80","184.82","183.75","184.03","505,030"
"2025-04-14T15:10:00.000Z","184.02","184.21","183.26","183.29","624,666"
"2025-04-14T15:15:00.000Z","183.27","183.90","183.03","183.84","477,213"
"2025-04-14T15:20:00.000Z","183.84","184.16","183.70","183.72","389,404"
"2025-04-14T15:25:00.000Z","183.72","183.72","182.88","182.95","346,955"
"2025-04-14T15:30:00.000Z","182.96","183.31","182.77","183.01","305,988"
"2025-04-14T15:35:00.000Z","183.02","183.04","182.17","182.28","381,341"
"2025-04-14T15:40:00.000Z","182.26","182.50","181.92","182.49","429,490"
"2025-04-14T15:45:00.000Z","182.47","182.49","181.08","181.12","404,327"
"2025-04-14T15:50:00.000Z","181.09","181.44","180.93","181.07","451,215"
"2025-04-14T15:55:00.000Z","181.05","181.55","180.96","181.16","336,412"
"2025-04-14T16:00:00.000Z","181.18","181.53","180.95","181.45","322,187"
"2025-04-14T16:05:00.000Z","181.44","181.57","180.88","181.00","255,018"
"2025-04-14T16:10:00.000Z","181.00","181.23","180.22","180.53","443,218"
"2025-04-14T16:15:00.000Z","180.55","181.44","180.47","181.19","413,373"
"2025-04-14T16:20:00.000Z","181.19","181.34","180.53","180.72","351,286"
"2025-04-14T16:25:00.000Z","180.72","180.84","180.32","180.57","289,812"
"2025-04-14T16:30:00.000Z","180.55","180.73","180.21","180.70","317,581"
"2025-04-14T16:35:00.000Z","180.68","180.87","180.32","180.40","277,800"
"2025-04-14T16:40:00.000Z","180.38","180.45","179.96","180.45","447,282"
