"Date","Open","High","Low","Close","Volume"
"2025-04-14T14:15:00.000Z","546.40","547.23","543.85","546.24","98,382"
"2025-04-14T14:20:00.000Z","546.34","546.80","545.00","546.07","70,006"
"2025-04-14T14:25:00.000Z","546.24","546.69","545.36","545.83","49,221"
"2025-04-14T14:30:00.000Z","545.83","546.61","545.00","545.93","58,996"
"2025-04-14T14:35:00.000Z","545.93","546.31","545.00","545.32","68,722"
"2025-04-14T14:40:00.000Z","545.30","545.98","544.12","544.91","83,479"
"2025-04-14T14:45:00.000Z","544.91","545.25","543.26","544.81","109,028"
"2025-04-14T14:50:00.000Z","544.84","545.65","544.26","545.36","64,642"
"2025-04-14T14:55:00.000Z","545.33","545.43","542.00","542.26","122,771"
"2025-04-14T15:00:00.000Z","542.13","543.00","540.18","540.49","122,430"
"2025-04-14T15:05:00.000Z","540.59","540.87","538.68","538.97","141,904"
"2025-04-14T15:10:00.000Z","538.86","539.68","537.50","537.79","119,239"
"2025-04-14T15:15:00.000Z","537.97","539.75","537.30","539.68","98,127"
"2025-04-14T15:20:00.000Z","539.59","540.25","538.88","539.18","67,096"
"2025-04-14T15:25:00.000Z","539.19","539.19","536.56","536.66","98,165"
"2025-04-14T15:30:00.000Z","536.66","539.53","536.38","538.97","127,272"
"2025-04-14T15:35:00.000Z","538.98","539.37","536.25","536.90","117,838"
"2025-04-14T15:40:00.000Z","536.75","537.98","535.45","537.86","130,960"
"2025-04-14T15:45:00.000Z","537.90","537.90","533.63","534.00","96,933"
"2025-04-14T15:50:00.000Z","533.79","534.31","532.63","533.98","115,188"
"2025-04-14T15:55:00.000Z","534.00","535.33","533.51","533.60","62,804"
"2025-04-14T16:00:00.000Z","533.40","535.44","533.00","535.11","64,012"
"2025-04-14T16:05:00.000Z","535.10","535.44","533.39","533.52","51,471"
"2025-04-14T16:10:00.000Z","533.52","533.89","530.19","531.77","202,109"
"2025-04-14T16:15:00.000Z","531.53","534.00","531.35","533.41","113,721"
"2025-04-14T16:20:00.000Z","533.17","534.00","531.27","532.15","75,668"
"2025-04-14T16:25:00.000Z","532.44","532.76","530.60","530.93","93,125"
"2025-04-14T16:30:00.000Z","531.32","532.00","529.36","532.00","175,408"
"2025-04-14T16:35:00.000Z","531.91","532.58","530.85","531.39","59,772"
"2025-04-14T16:40:00.000Z","531.30","532.03","530.20","531.37","42,011"
"2025-04-14T16:45:00.000Z","531.37","532.07","531.00","531.07","36,737"
"2025-04-14T16:50:00.000Z","531.02","531.22","529.23","531.12","68,819"
"2025-04-14T16:55:00.000Z","531.09","531.31","528.28","528.83","72,701"
"2025-04-14T17:00:00.000Z","528.89","533.20","528.53","530.75","161,183"
"2025-04-14T17:05:00.000Z","530.72","530.94","528.49","529.89","79,904"
"2025-04-14T17:10:00.000Z","529.74","530.79","528.57","530.19","67,063"
"2025-04-14T17:15:00.000Z","530.08","531.01","529.10","530.90","40,901"
"2025-04-14T17:20:00.000Z","530.91","532.31","530.50","532.31","58,439"
"2025-04-14T17:25:00.000Z","532.16","532.17","529.95","530.10","67,898"
"2025-04-14T17:30:00.000Z","530.10","531.10","529.34","530.36","58,861"
"2025-04-14T17:35:00.000Z","530.40","531.70","530.34","531.22","43,614"
"2025-04-14T17:40:00.000Z","531.00","532.11","530.32","530.64","50,054"
"2025-04-14T17:45:00.000Z","530.72","531.72","529.84","531.15","49,850"
"2025-04-14T17:50:00.000Z","531.50","534.17","531.50","533.53","88,017"
"2025-04-14T17:55:00.000Z","533.55","534.69","532.76","534.00","89,831"
"2025-04-14T18:00:00.000Z","533.99","535.28","533.70","535.00","91,630"
"2025-04-14T18:05:00.000Z","534.87","535.18","533.91","534.27","47,996"
"2025-04-14T18:10:00.000Z","534.27","534.42","532.58","533.67","33,851"
"2025-04-14T18:15:00.000Z","533.20","534.31","532.93","533.97","53,558"
"2025-04-14T18:20:00.000Z","534.03","534.88","533.89","534.49","28,587"
"2025-04-14T18:25:00.000Z","534.21","534.60","533.53","533.79","25,751"
"2025-04-14T18:30:00.000Z","533.68","534.23","533.40","533.75","52,026"
"2025-04-14T18:35:00.000Z","533.82","534.20","533.50","533.73","26,785"
"2025-04-14T18:40:00.000Z","533.50","535.27","533.50","535.27","51,617"
"2025-04-14T18:45:00.000Z","535.09","535.46","533.56","534.35","73,597"
"2025-04-14T18:50:00.000Z","534.49","534.76","533.75","533.89","50,853"
"2025-04-14T18:55:00.000Z","533.87","534.20","533.49","533.79","48,620"
"2025-04-14T19:00:00.000Z","533.83","534.90","533.70","534.57","57,963"
"2025-04-14T19:05:00.000Z","534.59","535.87","534.47","535.72","66,438"
"2025-04-14T19:10:00.000Z","535.85","536.54","535.26","536.44","61,238"
"2025-04-14T19:15:00.000Z","536.29","536.31","534.23","534.78","59,942"
"2025-04-14T19:20:00.000Z","534.69","535.04","534.00","534.68","44,762"
"2025-04-14T19:25:00.000Z","534.60","534.68","533.53","534.06","63,976"
"2025-04-14T19:30:00.000Z","534.03","534.60","533.53","534.45","56,472"
"2025-04-14T19:35:00.000Z","534.39","534.67","533.72","534.18","75,116"
"2025-04-14T19:40:00.000Z","534.12","535.22","534.12","534.39","74,145"
"2025-04-14T19:45:00.000Z","534.36","534.77","532.97","533.75","120,043"
"2025-04-14T19:50:00.000Z","533.56","533.61","531.50","532.00","148,975"
"2025-04-14T19:55:00.000Z","531.89","532.00","530.50","531.71","327,659"
"2025-04-15T13:30:00.000Z","531.58","532.50","529.11","531.06","266,398"
"2025-04-15T13:35:00.000Z","531.20","535.94","529.99","535.69","219,551"
"2025-04-15T13:40:00.000Z","535.77","537.88","535.41","537.25","242,459"
"2025-04-15T13:45:00.000Z","537.28","537.94","535.59","536.28","121,582"
"2025-04-15T13:50:00.000Z","536.38","537.34","534.50","534.78","138,136"
"2025-04-15T13:55:00.000Z","535.13","535.21","532.65","532.65","172,004"
"2025-04-15T14:00:00.000Z","532.67","533.04","531.39","531.76","238,056"
"2025-04-15T14:05:00.000Z","531.76","533.40","531.21","531.76","166,259"
"2025-04-15T14:10:00.000Z","531.55","534.64","531.32","532.93","157,092"
"2025-04-15T14:15:00.000Z","533.11","533.55","527.60","528.18","237,580"
"2025-04-15T14:20:00.000Z","528.17","530.80","526.76","528.68","161,239"
"2025-04-15T14:25:00.000Z","528.53","528.83","527.07","527.75","97,585"
"2025-04-15T14:30:00.000Z","527.77","530.80","527.77","530.20","162,792"
"2025-04-15T14:35:00.000Z","530.12","530.53","528.75","528.98","77,404"
"2025-04-15T14:40:00.000Z","528.95","533.11","528.02","532.89","129,464"
"2025-04-15T14:45:00.000Z","532.89","533.44","530.19","531.68","159,724"
"2025-04-15T14:50:00.000Z","531.61","531.75","530.00","530.78","100,638"
"2025-04-15T14:55:00.000Z","531.02","531.55","529.50","529.56","90,701"
"2025-04-15T15:00:00.000Z","529.56","531.03","529.38","530.85","83,127"
"2025-04-15T15:05:00.000Z","530.98","531.40","529.70","530.98","35,167"
"2025-04-15T15:10:00.000Z","530.99","532.37","530.34","531.79","52,425"
"2025-04-15T15:15:00.000Z","531.59","532.00","531.32","531.79","55,044"
"2025-04-15T15:20:00.000Z","531.69","532.29","530.77","531.29","100,671"
"2025-04-15T15:25:00.000Z","531.21","531.21","529.50","529.98","67,901"
"2025-04-15T15:30:00.000Z","529.87","531.00","529.41","529.76","60,054"
"2025-04-15T15:35:00.000Z","529.75","530.24","528.86","529.81","59,830"
"2025-04-15T15:40:00.000Z","529.83","530.51","528.55","529.07","91,288"
"2025-04-15T15:45:00.000Z","529.20","530.03","528.51","529.50","74,044"
"2025-04-15T15:50:00.000Z","529.43","531.55","529.09","530.83","75,966"
"2025-04-15T15:55:00.000Z","530.98","530.98","529.68","530.52","31,698"
"2025-04-15T16:00:00.000Z","530.55","531.00","530.08","530.50","38,695"
"2025-04-15T16:05:00.000Z","530.48","530.70","529.53","530.07","62,440"
"2025-04-15T16:10:00.000Z","529.73","530.63","529.55","530.01","56,111"
"2025-04-15T16:15:00.000Z","529.95","531.00","529.89","530.14","65,298"
"2025-04-15T16:20:00.000Z","530.15","530.36","529.40","530.36","64,251"
"2025-04-15T16:25:00.000Z","530.34","531.70","530.02","531.19","115,236"
"2025-04-15T16:30:00.000Z","530.98","531.00","529.76","529.79","52,432"
"2025-04-15T16:35:00.000Z","529.81","530.37","528.75","528.85","53,301"
"2025-04-15T16:40:00.000Z","528.78","529.09","528.13","528.96","73,499"
"2025-04-15T16:45:00.000Z","528.83","529.12","527.29","527.63","102,720"
"2025-04-15T16:50:00.000Z","527.75","527.75","525.17","525.56","156,059"
"2025-04-15T16:55:00.000Z","525.46","525.82","524.48","524.63","163,928"
"2025-04-15T17:00:00.000Z","524.61","525.16","523.98","524.98","134,774"
"2025-04-15T17:05:00.000Z","525.07","525.15","523.10","523.30","115,440"
"2025-04-15T17:10:00.000Z","523.32","523.51","522.03","522.59","129,998"
"2025-04-15T17:15:00.000Z","522.63","522.63","520.95","521.41","146,696"
"2025-04-15T17:20:00.000Z","521.33","521.85","519.76","520.45","123,280"
"2025-04-15T17:25:00.000Z","520.47","521.62","519.55","520.38","111,744"
"2025-04-15T17:30:00.000Z","520.38","522.79","520.38","521.53","114,176"
"2025-04-15T17:35:00.000Z","521.76","522.28","521.07","521.43","79,496"
"2025-04-15T17:40:00.000Z","521.25","522.74","521.25","521.95","68,738"
"2025-04-15T17:45:00.000Z","521.96","522.59","521.30","521.93","52,309"
"2025-04-15T17:50:00.000Z","522.06","522.08","519.92","519.98","120,430"
"2025-04-15T17:55:00.000Z","519.94","521.29","519.70","520.97","103,712"
"2025-04-15T18:00:00.000Z","520.84","521.66","519.78","520.44","93,001"
"2025-04-15T18:05:00.000Z","520.38","520.66","519.31","520.07","103,618"
"2025-04-15T18:10:00.000Z","520.07","520.31","517.86","518.33","116,515"
"2025-04-15T18:15:00.000Z","518.24","518.84","517.50","517.90","96,720"
"2025-04-15T18:20:00.000Z","517.85","518.25","517.50","517.87","115,951"
"2025-04-15T18:25:00.000Z","518.00","519.38","517.89","519.00","95,415"
"2025-04-15T18:30:00.000Z","518.83","519.79","518.61","519.67","59,786"
"2025-04-15T18:35:00.000Z","519.66","520.26","519.15","519.66","74,107"
"2025-04-15T18:40:00.000Z","519.66","520.80","519.52","520.79","53,121"
"2025-04-15T18:45:00.000Z","520.79","521.43","519.86","519.99","89,334"
"2025-04-15T18:50:00.000Z","519.99","520.05","518.96","519.51","82,229"
"2025-04-15T18:55:00.000Z","519.51","519.79","519.12","519.41","51,644"
"2025-04-15T19:00:00.000Z","519.30","520.20","519.11","520.09","64,371"
"2025-04-15T19:05:00.000Z","520.06","521.00","519.88","520.82","65,320"
"2025-04-15T19:10:00.000Z","520.82","522.54","520.72","522.04","80,908"
"2025-04-15T19:15:00.000Z","522.03","522.35","521.18","521.95","92,312"
"2025-04-15T19:20:00.000Z","521.77","522.38","521.16","521.48","62,815"
"2025-04-15T19:25:00.000Z","521.36","521.50","520.30","520.94","95,520"
"2025-04-15T19:30:00.000Z","520.94","521.60","520.41","520.82","85,031"
"2025-04-15T19:35:00.000Z","520.80","521.49","520.41","520.75","71,642"
"2025-04-15T19:40:00.000Z","520.62","521.46","520.30","521.25","95,813"
"2025-04-15T19:45:00.000Z","521.25","521.25","519.78","520.80","80,170"
