"Date","Open","High","Low","Close","Volume"
"2025-04-14T13:55:00.000Z","391.86","392.32","390.54","390.89","167,135"
"2025-04-14T14:00:00.000Z","390.92","392.56","390.52","392.44","216,278"
"2025-04-14T14:05:00.000Z","392.56","393.18","392.18","392.47","165,003"
"2025-04-14T14:10:00.000Z","392.40","392.92","391.89","392.58","99,648"
"2025-04-14T14:15:00.000Z","392.51","392.87","391.36","392.18","85,490"
"2025-04-14T14:20:00.000Z","392.24","393.00","392.13","392.65","85,670"
"2025-04-14T14:25:00.000Z","392.60","393.20","392.22","392.91","84,935"
"2025-04-14T14:30:00.000Z","392.96","393.44","392.17","393.11","101,957"
"2025-04-14T14:35:00.000Z","393.07","393.54","392.77","393.44","55,121"
"2025-04-14T14:40:00.000Z","393.44","393.89","393.07","393.54","63,023"
"2025-04-14T14:45:00.000Z","393.54","393.92","392.74","393.81","108,423"
"2025-04-14T14:50:00.000Z","393.78","394.65","393.70","393.90","139,278"
"2025-04-14T14:55:00.000Z","393.93","393.95","392.63","392.86","107,280"
"2025-04-14T15:00:00.000Z","392.88","393.25","391.70","391.87","152,215"
"2025-04-14T15:05:00.000Z","391.90","392.06","390.54","390.64","108,774"
"2025-04-14T15:10:00.000Z","390.60","391.00","389.93","390.20","114,067"
"2025-04-14T15:15:00.000Z","390.10","390.47","389.89","390.37","88,448"
"2025-04-14T15:20:00.000Z","390.37","390.59","389.60","389.66","87,490"
"2025-04-14T15:25:00.000Z","389.66","389.89","388.61","388.68","81,586"
"2025-04-14T15:30:00.000Z","388.71","389.74","388.39","389.69","85,528"
"2025-04-14T15:35:00.000Z","389.71","389.79","388.27","388.47","59,028"
"2025-04-14T15:40:00.000Z","388.38","388.70","387.90","388.63","166,666"
"2025-04-14T15:45:00.000Z","388.71","388.71","386.85","387.15","111,978"
"2025-04-14T15:50:00.000Z","387.18","387.25","386.40","386.83","132,902"
"2025-04-14T15:55:00.000Z","386.77","387.18","386.40","386.45","69,037"
"2025-04-14T16:00:00.000Z","386.41","387.23","386.16","386.84","96,457"
"2025-04-14T16:05:00.000Z","386.82","387.11","385.79","386.01","170,973"
"2025-04-14T16:10:00.000Z","385.95","386.35","384.56","385.60","267,116"
"2025-04-14T16:15:00.000Z","385.55","386.94","385.40","386.55","157,809"
"2025-04-14T16:20:00.000Z","386.39","386.90","385.97","386.34","101,812"
"2025-04-14T16:25:00.000Z","386.30","386.35","385.32","385.81","53,969"
"2025-04-14T16:30:00.000Z","385.85","386.50","385.39","386.44","76,860"
"2025-04-14T16:35:00.000Z","386.34","386.54","385.55","385.63","71,341"
"2025-04-14T16:40:00.000Z","385.61","385.86","385.00","385.81","83,299"
"2025-04-14T16:45:00.000Z","385.79","386.25","385.57","385.63","43,490"
"2025-04-14T16:50:00.000Z","385.61","385.67","384.53","385.38","96,668"
"2025-04-14T16:55:00.000Z","385.38","385.62","384.33","384.44","42,888"
"2025-04-14T17:00:00.000Z","384.44","386.44","384.21","385.18","137,562"
"2025-04-14T17:05:00.000Z","385.26","385.86","384.95","385.66","90,837"
"2025-04-14T17:10:00.000Z","385.76","386.28","385.37","386.01","49,235"
"2025-04-14T17:15:00.000Z","386.00","386.68","385.53","386.68","42,768"
"2025-04-14T17:20:00.000Z","386.68","387.28","386.54","387.10","115,717"
"2025-04-14T17:25:00.000Z","387.09","387.15","386.06","386.31","64,239"
"2025-04-14T17:30:00.000Z","386.28","386.70","385.53","386.19","68,361"
"2025-04-14T17:35:00.000Z","386.20","386.81","386.04","386.36","51,001"
"2025-04-14T17:40:00.000Z","386.35","386.85","385.91","386.20","33,749"
"2025-04-14T17:45:00.000Z","386.23","386.75","385.93","386.67","55,176"
"2025-04-14T17:50:00.000Z","386.71","387.95","386.52","387.66","78,735"
"2025-04-14T17:55:00.000Z","387.58","388.11","387.32","387.88","61,396"
"2025-04-14T18:00:00.000Z","387.88","388.46","387.83","388.35","50,400"
"2025-04-14T18:05:00.000Z","388.37","388.65","387.98","388.59","76,799"
"2025-04-14T18:10:00.000Z","388.58","388.75","388.05","388.38","65,394"
"2025-04-14T18:15:00.000Z","388.40","388.51","387.96","388.48","100,161"
"2025-04-14T18:20:00.000Z","388.48","388.74","388.27","388.47","69,079"
"2025-04-14T18:25:00.000Z","388.47","388.59","388.07","388.48","73,698"
"2025-04-14T18:30:00.000Z","388.43","388.80","388.30","388.45","59,557"
"2025-04-14T18:35:00.000Z","388.50","388.59","388.24","388.32","69,181"
"2025-04-14T18:40:00.000Z","388.32","388.69","388.28","388.60","74,852"
"2025-04-14T18:45:00.000Z","388.57","388.88","388.10","388.39","82,920"
"2025-04-14T18:50:00.000Z","388.39","388.46","388.09","388.30","55,487"
"2025-04-14T18:55:00.000Z","388.28","388.45","388.06","388.23","53,427"
"2025-04-14T19:00:00.000Z","388.21","389.10","388.20","389.10","66,708"
"2025-04-14T19:05:00.000Z","389.01","389.77","389.01","389.70","127,469"
"2025-04-14T19:10:00.000Z","389.71","390.31","389.45","390.21","72,341"
"2025-04-14T19:15:00.000Z","390.19","390.20","389.36","389.60","72,589"
"2025-04-14T19:20:00.000Z","389.58","390.17","389.38","389.94","72,867"
"2025-04-14T19:25:00.000Z","389.91","389.95","389.29","389.34","123,539"
"2025-04-14T19:30:00.000Z","389.35","389.62","388.78","389.24","134,579"
"2025-04-14T19:35:00.000Z","389.20","389.48","388.95","389.33","71,246"
"2025-04-14T19:40:00.000Z","389.28","389.72","389.27","389.27","72,064"
"2025-04-14T19:45:00.000Z","389.25","389.39","388.27","388.47","89,153"
"2025-04-14T19:50:00.000Z","388.47","388.55","387.53","387.71","174,736"
"2025-04-14T19:55:00.000Z","387.66","388.22","387.20","388.05","655,322"
"2025-04-15T13:30:00.000Z","388.16","390.41","388.06","390.02","631,044"
"2025-04-15T13:35:00.000Z","390.01","390.75","388.95","390.64","117,544"
"2025-04-15T13:40:00.000Z","390.57","391.89","390.45","391.00","166,378"
"2025-04-15T13:45:00.000Z","391.00","391.06","390.22","390.53","118,682"
"2025-04-15T13:50:00.000Z","390.61","391.32","390.53","391.10","117,460"
"2025-04-15T13:55:00.000Z","391.14","391.16","389.57","389.69","185,951"
"2025-04-15T14:00:00.000Z","389.70","389.99","388.99","389.19","95,027"
"2025-04-15T14:05:00.000Z","389.25","389.43","388.38","388.48","156,615"
"2025-04-15T14:10:00.000Z","388.48","389.85","388.39","388.64","228,148"
"2025-04-15T14:15:00.000Z","388.69","388.89","386.56","387.04","261,675"
"2025-04-15T14:20:00.000Z","386.90","387.87","386.05","387.25","239,637"
"2025-04-15T14:25:00.000Z","387.29","387.40","385.90","386.88","328,897"
"2025-04-15T14:30:00.000Z","387.00","387.88","386.82","387.81","133,281"
"2025-04-15T14:35:00.000Z","387.81","388.37","387.30","387.54","215,535"
"2025-04-15T14:40:00.000Z","387.58","388.93","387.17","388.80","124,492"
"2025-04-15T14:45:00.000Z","388.80","389.04","387.20","388.57","179,697"
"2025-04-15T14:50:00.000Z","388.52","388.75","387.93","388.69","91,661"
"2025-04-15T14:55:00.000Z","388.69","389.37","388.45","388.73","112,934"
"2025-04-15T15:00:00.000Z","388.80","389.41","388.62","389.32","101,680"
"2025-04-15T15:05:00.000Z","389.31","389.57","388.68","389.07","102,772"
"2025-04-15T15:10:00.000Z","389.03","389.37","388.66","389.14","118,492"
"2025-04-15T15:15:00.000Z","389.16","389.37","388.83","388.94","80,606"
"2025-04-15T15:20:00.000Z","388.94","389.30","388.77","389.04","94,482"
"2025-04-15T15:25:00.000Z","389.04","389.04","387.80","387.82","105,236"
"2025-04-15T15:30:00.000Z","387.82","388.79","387.65","387.94","92,088"
"2025-04-15T15:35:00.000Z","388.01","388.20","387.25","387.67","50,177"
"2025-04-15T15:40:00.000Z","387.69","387.94","387.57","387.70","44,064"
"2025-04-15T15:45:00.000Z","387.69","387.81","386.61","386.77","88,484"
"2025-04-15T15:50:00.000Z","386.81","387.96","386.35","387.67","182,499"
"2025-04-15T15:55:00.000Z","387.68","387.70","387.14","387.49","77,522"
"2025-04-15T16:00:00.000Z","387.50","387.96","387.35","387.70","91,943"
"2025-04-15T16:05:00.000Z","387.69","387.92","387.14","387.31","42,044"
"2025-04-15T16:10:00.000Z","387.31","387.71","387.18","387.53","47,833"
"2025-04-15T16:15:00.000Z","387.51","387.87","387.31","387.80","59,829"
"2025-04-15T16:20:00.000Z","387.77","388.40","387.59","388.32","52,325"
"2025-04-15T16:25:00.000Z","388.32","388.60","388.23","388.39","76,697"
"2025-04-15T16:30:00.000Z","388.35","388.56","388.04","388.08","33,903"
"2025-04-15T16:35:00.000Z","388.08","388.20","387.35","387.42","48,961"
"2025-04-15T16:40:00.000Z","387.39","387.48","386.89","387.23","105,622"
"2025-04-15T16:45:00.000Z","387.23","387.47","386.86","386.90","71,029"
"2025-04-15T16:50:00.000Z","386.90","386.95","385.85","385.85","92,322"
"2025-04-15T16:55:00.000Z","385.88","385.93","385.34","385.68","71,865"
"2025-04-15T17:00:00.000Z","385.67","386.32","385.52","386.21","130,176"
"2025-04-15T17:05:00.000Z","386.26","386.60","385.80","385.81","84,710"
"2025-04-15T17:10:00.000Z","385.81","386.60","385.72","386.46","51,464"
"2025-04-15T17:15:00.000Z","386.45","386.50","385.50","385.69","71,093"
"2025-04-15T17:20:00.000Z","385.64","385.71","384.50","384.88","116,634"
"2025-04-15T17:25:00.000Z","384.92","385.04","384.64","384.79","64,666"
"2025-04-15T17:30:00.000Z","384.85","385.42","384.68","384.89","137,098"
"2025-04-15T17:35:00.000Z","384.74","385.42","384.50","385.30","127,400"
"2025-04-15T17:40:00.000Z","385.39","385.80","385.37","385.66","42,571"
"2025-04-15T17:45:00.000Z","385.71","385.93","385.39","385.83","31,765"
"2025-04-15T17:50:00.000Z","385.77","385.84","384.64","384.68","40,194"
