"Date","Open","High","Low","Close","Volume"
"2025-04-14T14:00:00.000Z","111.69","112.93","111.69","112.84","4,149,284"
"2025-04-14T14:05:00.000Z","112.83","113.04","112.33","112.39","3,931,027"
"2025-04-14T14:10:00.000Z","112.41","112.61","112.03","112.34","3,295,820"
"2025-04-14T14:15:00.000Z","112.35","112.57","111.76","112.29","3,201,764"
"2025-04-14T14:20:00.000Z","112.30","112.43","111.95","112.43","2,409,578"
"2025-04-14T14:25:00.000Z","112.43","112.78","112.41","112.57","2,781,023"
"2025-04-14T14:30:00.000Z","112.56","112.85","112.36","112.71","2,486,505"
"2025-04-14T14:35:00.000Z","112.70","112.99","112.62","112.91","2,415,714"
"2025-04-14T14:40:00.000Z","112.91","112.99","112.46","112.57","2,497,942"
"2025-04-14T14:45:00.000Z","112.56","112.69","112.40","112.54","1,892,463"
"2025-04-14T14:50:00.000Z","112.56","112.77","112.39","112.67","2,205,977"
"2025-04-14T14:55:00.000Z","112.67","112.71","112.17","112.19","2,335,244"
"2025-04-14T15:00:00.000Z","112.19","112.38","111.91","112.13","2,620,686"
"2025-04-14T15:05:00.000Z","112.14","112.43","111.97","112.40","1,954,570"
"2025-04-14T15:10:00.000Z","112.39","112.60","111.94","112.01","2,267,723"
"2025-04-14T15:15:00.000Z","112.02","112.17","111.85","112.13","1,718,422"
"2025-04-14T15:20:00.000Z","112.14","112.25","111.91","112.19","1,927,036"
"2025-04-14T15:25:00.000Z","112.19","112.25","111.30","111.33","3,299,543"
"2025-04-14T15:30:00.000Z","111.35","111.66","111.13","111.48","2,664,441"
"2025-04-14T15:35:00.000Z","111.49","111.55","110.34","110.56","4,160,672"
"2025-04-14T15:40:00.000Z","110.56","110.74","110.23","110.66","2,823,108"
"2025-04-14T15:45:00.000Z","110.66","110.68","109.50","109.61","4,664,701"
"2025-04-14T15:50:00.000Z","109.59","109.88","109.20","109.86","3,531,386"
"2025-04-14T15:55:00.000Z","109.87","110.37","109.64","109.64","3,180,555"
"2025-04-14T16:00:00.000Z","109.65","110.10","109.46","110.08","2,226,276"
"2025-04-14T16:05:00.000Z","110.08","110.23","109.73","109.85","1,765,762"
"2025-04-14T16:10:00.000Z","109.86","110.06","109.07","109.75","3,316,206"
"2025-04-14T16:15:00.000Z","109.76","110.27","109.53","110.13","2,592,208"
"2025-04-14T16:20:00.000Z","110.13","110.50","109.95","110.29","2,363,031"
"2025-04-14T16:25:00.000Z","110.29","110.37","109.85","110.03","1,697,297"
"2025-04-14T16:30:00.000Z","110.03","110.76","109.94","110.73","2,156,516"
"2025-04-14T16:35:00.000Z","110.74","111.01","110.72","110.78","2,245,950"
"2025-04-14T16:40:00.000Z","110.78","111.12","110.72","111.07","1,934,892"
"2025-04-14T16:45:00.000Z","111.08","111.08","110.76","110.80","1,392,585"
"2025-04-14T16:50:00.000Z","110.79","110.81","110.30","110.75","1,786,474"
"2025-04-14T16:55:00.000Z","110.77","110.78","110.10","110.12","1,480,141"
"2025-04-14T17:00:00.000Z","110.14","111.19","110.04","110.39","2,469,820"
