"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2026-04-22T19:50:00.000Z","272.89","273.05","272.55","272.71","-0.0605","-0.0684","588,283"
"2026-04-22T19:55:00.000Z","272.70","273.26","272.66","273.19","0.1742","0.1663","1,643,747"
"2026-04-23T13:30:00.000Z","274.90","275.68","274.15","275.09","0.6955","0.6876","1,439,995"
"2026-04-23T13:35:00.000Z","275.09","275.77","274.38","274.46","-0.2290","-0.2369","554,785"
"2026-04-23T13:40:00.000Z","274.44","274.62","273.14","273.53","-0.3388","-0.3467","456,248"
"2026-04-23T13:45:00.000Z","273.50","274.05","273.13","273.57","0.0146","0.0067","287,461"
"2026-04-23T13:50:00.000Z","273.50","273.83","273.36","273.68","0.0402","0.0323","192,666"
"2026-04-23T13:55:00.000Z","273.73","274.15","273.64","273.71","0.0110","0.0031","286,918"
"2026-04-23T14:00:00.000Z","273.69","274.27","273.43","273.97","0.0950","0.0871","328,318"
"2026-04-23T14:05:00.000Z","274.00","274.60","273.90","274.57","0.2190","0.2111","230,972"
"2026-04-23T14:10:00.000Z","274.53","274.53","273.86","273.90","-0.2440","-0.2519","162,385"
"2026-04-23T14:15:00.000Z","273.88","274.54","273.86","274.26","0.1314","0.1235","171,439"
"2026-04-23T14:20:00.000Z","274.27","274.41","273.91","274.23","-0.0109","-0.0188","148,969"
"2026-04-23T14:25:00.000Z","274.21","274.27","273.64","273.94","-0.1058","-0.1136","162,289"
"2026-04-23T14:30:00.000Z","273.97","274.21","273.91","274.04","0.0365","0.0286","114,410"
"2026-04-23T14:35:00.000Z","274.06","274.19","273.64","273.76","-0.1022","-0.1101","166,304"
"2026-04-23T14:40:00.000Z","273.79","273.79","273.34","273.59","-0.0621","-0.0700","175,726"
"2026-04-23T14:45:00.000Z","273.63","274.00","273.59","273.92","0.1206","0.1127","117,994"
"2026-04-23T14:50:00.000Z","273.91","274.29","273.88","274.20","0.1022","0.0943","164,182"
"2026-04-23T14:55:00.000Z","274.18","274.31","273.93","273.93","-0.0985","-0.1064","161,267"
"2026-04-23T15:00:00.000Z","273.94","274.13","273.70","273.75","-0.0675","-0.0754","134,164"
"2026-04-23T15:05:00.000Z","273.73","273.78","273.42","273.64","-0.0384","-0.0463","188,766"
"2026-04-23T15:10:00.000Z","273.63","273.71","273.27","273.37","-0.0987","-0.1066","134,356"
"2026-04-23T15:15:00.000Z","273.38","273.62","273.31","273.48","0.0402","0.0323","121,095"
"2026-04-23T15:20:00.000Z","273.46","273.80","273.45","273.69","0.0768","0.0689","124,551"
"2026-04-23T15:25:00.000Z","273.68","273.84","273.60","273.68","-0.0037","-0.0115","141,121"
"2026-04-23T15:30:00.000Z","273.64","274.41","273.60","274.06","0.1388","0.1310","329,684"
"2026-04-23T15:35:00.000Z","274.07","274.07","273.66","273.81","-0.0912","-0.0991","156,222"
"2026-04-23T15:40:00.000Z","273.80","273.80","273.28","273.32","-0.1790","-0.1869","132,834"
"2026-04-23T15:45:00.000Z","273.30","273.48","273.03","273.43","0.0402","0.0323","166,246"
"2026-04-23T15:50:00.000Z","273.42","273.57","273.21","273.25","-0.0658","-0.0737","114,457"
"2026-04-23T15:55:00.000Z","273.28","273.57","273.21","273.41","0.0586","0.0507","147,104"
"2026-04-23T16:00:00.000Z","273.42","273.44","273.08","273.22","-0.0695","-0.0774","120,123"
"2026-04-23T16:05:00.000Z","273.21","273.36","273.17","273.32","0.0384","0.0305","99,319"
"2026-04-23T16:10:00.000Z","273.33","273.46","273.22","273.36","0.0110","0.0031","67,629"
"2026-04-23T16:15:00.000Z","273.35","273.60","273.32","273.46","0.0384","0.0305","124,498"
"2026-04-23T16:20:00.000Z","273.47","273.60","273.27","273.49","0.0110","0.0031","85,081"
"2026-04-23T16:25:00.000Z","273.50","273.68","273.49","273.60","0.0402","0.0323","80,247"
"2026-04-23T16:30:00.000Z","273.60","273.99","273.44","273.51","-0.0311","-0.0390","89,358"
"2026-04-23T16:35:00.000Z","273.51","273.67","273.34","273.36","-0.0567","-0.0646","105,848"
"2026-04-23T16:40:00.000Z","273.35","273.40","272.96","273.06","-0.1097","-0.1176","190,203"
"2026-04-23T16:45:00.000Z","273.06","273.23","273.02","273.14","0.0293","0.0214","92,770"
"2026-04-23T16:50:00.000Z","273.14","273.20","272.99","273.15","0.0037","-0.0042","95,896"
"2026-04-23T16:55:00.000Z","273.14","273.24","273.00","273.00","-0.0549","-0.0628","111,753"
"2026-04-23T17:00:00.000Z","273.02","273.04","272.52","272.67","-0.1209","-0.1288","158,558"
"2026-04-23T17:05:00.000Z","272.66","272.77","272.43","272.51","-0.0587","-0.0666","247,955"
"2026-04-23T17:10:00.000Z","272.50","272.69","272.30","272.48","-0.0110","-0.0189","131,956"
"2026-04-23T17:15:00.000Z","272.50","272.52","272.10","272.39","-0.0330","-0.0409","171,506"
"2026-04-23T17:20:00.000Z","272.40","272.59","272.09","272.40","0.0037","-0.0042","151,572"
"2026-04-23T17:25:00.000Z","272.43","272.98","272.17","272.24","-0.0587","-0.0666","159,906"
"2026-04-23T17:30:00.000Z","272.25","272.73","272.16","272.69","0.1653","0.1574","103,377"
"2026-04-23T17:35:00.000Z","272.73","272.86","272.14","272.31","-0.1394","-0.1472","103,962"
"2026-04-23T17:40:00.000Z","272.34","272.35","271.78","272.11","-0.0734","-0.0813","217,074"
"2026-04-23T17:45:00.000Z","272.15","272.32","271.65","271.92","-0.0698","-0.0777","263,841"
"2026-04-23T17:50:00.000Z","271.89","273.13","271.73","272.45","0.1949","0.1870","303,765"
"2026-04-23T17:55:00.000Z","272.44","273.00","272.31","272.99","0.1982","0.1903","172,724"
"2026-04-23T18:00:00.000Z","273.00","273.60","272.90","273.27","0.1026","0.0947","239,629"
"2026-04-23T18:05:00.000Z","273.26","273.43","273.12","273.15","-0.0421","-0.0500","172,913"
"2026-04-23T18:10:00.000Z","273.17","273.58","273.11","273.26","0.0403","0.0324","129,443"
"2026-04-23T18:15:00.000Z","273.29","273.59","273.20","273.58","0.1153","0.1074","140,483"
"2026-04-23T18:20:00.000Z","273.59","273.80","273.43","273.51","-0.0238","-0.0317","134,233"
"2026-04-23T18:25:00.000Z","273.50","273.70","273.50","273.67","0.0567","0.0488","108,530"
"2026-04-23T18:30:00.000Z","273.66","273.90","273.65","273.80","0.0475","0.0396","99,971"
"2026-04-23T18:35:00.000Z","273.79","274.12","273.79","273.93","0.0475","0.0396","205,884"
"2026-04-23T18:40:00.000Z","273.94","274.06","273.53","273.86","-0.0256","-0.0335","119,654"
"2026-04-23T18:45:00.000Z","273.87","274.12","273.75","273.95","0.0329","0.0250","203,953"
"2026-04-23T18:50:00.000Z","273.95","274.17","273.92","274.08","0.0493","0.0414","114,500"
"2026-04-23T18:55:00.000Z","274.07","274.23","273.68","273.92","-0.0620","-0.0699","276,408"
"2026-04-23T19:00:00.000Z","273.90","274.08","273.85","273.94","0.0110","0.0031","152,072"
"2026-04-23T19:05:00.000Z","273.96","274.39","273.96","274.30","0.1278","0.1199","148,460"
"2026-04-23T19:10:00.000Z","274.29","274.55","274.29","274.48","0.0656","0.0577","185,524"
"2026-04-23T19:15:00.000Z","274.48","274.54","274.22","274.39","-0.0310","-0.0389","161,833"
"2026-04-23T19:20:00.000Z","274.39","274.46","274.12","274.15","-0.0856","-0.0935","162,858"
"2026-04-23T19:25:00.000Z","274.16","274.30","274.12","274.17","0.0055","-0.0024","147,395"
"2026-04-23T19:30:00.000Z","274.15","274.26","273.83","273.85","-0.1185","-0.1264","114,112"
"2026-04-23T19:35:00.000Z","273.82","273.82","273.48","273.56","-0.1041","-0.1120","208,924"
"2026-04-23T19:40:00.000Z","273.57","273.88","273.56","273.65","0.0329","0.0250","113,420"
"2026-04-23T19:45:00.000Z","273.65","273.86","273.63","273.80","0.0548","0.0469","135,584"
"2026-04-23T19:50:00.000Z","273.74","273.74","273.06","273.49","-0.1150","-0.1229","362,488"
"2026-04-23T19:55:00.000Z","273.47","273.67","273.27","273.44","-0.0165","-0.0244","965,768"
"2026-04-24T13:30:00.000Z","272.79","273.06","270.09","270.44","-1.10","-1.11","1,313,725"
"2026-04-24T13:35:00.000Z","270.42","271.54","270.40","271.18","0.2736","0.2657","456,551"
"2026-04-24T13:40:00.000Z","271.18","271.80","270.79","271.30","0.0433","0.0354","468,239"
"2026-04-24T13:45:00.000Z","271.32","271.75","271.08","271.72","0.1557","0.1478","319,557"
