"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2026-04-22T19:50:00.000Z","25.51","25.63","25.51","25.57","0.2745","0.2791","218,085"
"2026-04-22T19:55:00.000Z","25.58","25.68","25.57","25.66","0.3324","0.3370","526,881"
"2026-04-23T13:30:00.000Z","25.84","25.99","25.71","25.84","0.7210","0.7256","447,362"
"2026-04-23T13:35:00.000Z","25.84","26.02","25.79","25.89","0.1741","0.1788","213,793"
"2026-04-23T13:40:00.000Z","25.88","25.88","25.53","25.55","-1.31","-1.31","233,129"
"2026-04-23T13:45:00.000Z","25.54","25.57","25.42","25.47","-0.3131","-0.3085","146,191"
"2026-04-23T13:50:00.000Z","25.47","25.48","25.36","25.36","-0.4319","-0.4272","115,537"
"2026-04-23T13:55:00.000Z","25.35","25.36","25.23","25.33","-0.1183","-0.1136","164,213"
"2026-04-23T14:00:00.000Z","25.32","25.49","25.31","25.48","0.5922","0.5968","111,060"
"2026-04-23T14:05:00.000Z","25.46","25.46","25.29","25.40","-0.3140","-0.3093","65,517"
"2026-04-23T14:10:00.000Z","25.40","25.43","25.26","25.26","-0.5512","-0.5465","46,781"
"2026-04-23T14:15:00.000Z","25.25","25.31","25.11","25.13","-0.5146","-0.5100","97,116"
"2026-04-23T14:20:00.000Z","25.12","25.24","25.11","25.17","0.1592","0.1638","251,230"
"2026-04-23T14:25:00.000Z","25.16","25.21","25.13","25.20","0.1192","0.1238","120,099"
"2026-04-23T14:30:00.000Z","25.21","25.32","25.21","25.24","0.1587","0.1634","96,723"
"2026-04-23T14:35:00.000Z","25.26","25.26","25.10","25.12","-0.4754","-0.4708","62,743"
"2026-04-23T14:40:00.000Z","25.11","25.28","25.09","25.27","0.5971","0.6018","206,967"
"2026-04-23T14:45:00.000Z","25.27","25.37","25.25","25.27","","0.0046","183,763"
"2026-04-23T14:50:00.000Z","25.26","25.55","25.25","25.55","1.11","1.11","211,826"
"2026-04-23T14:55:00.000Z","25.55","25.58","25.48","25.48","-0.2740","-0.2693","65,916"
"2026-04-23T15:00:00.000Z","25.49","25.55","25.46","25.53","0.1962","0.2009","50,553"
"2026-04-23T15:05:00.000Z","25.52","25.59","25.46","25.59","0.2546","0.2593","54,908"
"2026-04-23T15:10:00.000Z","25.60","25.66","25.55","25.56","-0.1367","-0.1321","40,749"
"2026-04-23T15:15:00.000Z","25.56","25.59","25.49","25.57","0.0391","0.0438","69,995"
"2026-04-23T15:20:00.000Z","25.57","25.59","25.54","25.57","0.0027","0.0074","51,834"
"2026-04-23T15:25:00.000Z","25.57","25.59","25.55","25.56","-0.0418","-0.0372","24,726"
"2026-04-23T15:30:00.000Z","25.55","25.61","25.52","25.52","-0.1565","-0.1518","46,610"
"2026-04-23T15:35:00.000Z","25.52","25.52","25.31","25.34","-0.7053","-0.7007","95,866"
"2026-04-23T15:40:00.000Z","25.34","25.36","25.30","25.34","","0.0046","57,506"
"2026-04-23T15:45:00.000Z","25.33","25.34","25.29","25.30","-0.1579","-0.1532","26,886"
"2026-04-23T15:50:00.000Z","25.30","25.32","25.26","25.26","-0.1581","-0.1535","32,411"
