"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2026-04-22T19:55:00.000Z","675.16","675.40","674.40","674.67","-0.0926","-0.0824","379,457"
"2026-04-23T13:30:00.000Z","663.70","663.98","659.77","663.14","-1.71","-1.70","536,880"
"2026-04-23T13:35:00.000Z","663.14","665.84","662.38","665.67","0.3815","0.3917","172,546"
"2026-04-23T13:40:00.000Z","665.68","665.69","663.89","664.73","-0.1412","-0.1311","118,636"
"2026-04-23T13:45:00.000Z","664.73","665.55","663.37","664.79","0.0098","0.0199","165,396"
"2026-04-23T13:50:00.000Z","664.77","665.03","660.69","660.94","-0.5799","-0.5697","148,219"
"2026-04-23T13:55:00.000Z","660.88","661.69","660.32","660.80","-0.0212","-0.0110","111,989"
"2026-04-23T14:00:00.000Z","660.97","661.48","658.25","660.95","0.0227","0.0329","187,576"
"2026-04-23T14:05:00.000Z","661.06","663.07","660.50","662.81","0.2814","0.2916","119,398"
"2026-04-23T14:10:00.000Z","662.97","663.40","662.08","662.84","0.0045","0.0147","69,416"
"2026-04-23T14:15:00.000Z","662.77","664.50","662.55","662.82","-0.0030","0.0071","75,889"
"2026-04-23T14:20:00.000Z","662.81","664.44","662.39","664.16","0.2022","0.2123","44,333"
"2026-04-23T14:25:00.000Z","664.13","664.57","663.01","663.87","-0.0437","-0.0335","48,977"
"2026-04-23T14:30:00.000Z","664.08","664.24","663.35","663.62","-0.0384","-0.0283","50,388"
"2026-04-23T14:35:00.000Z","663.62","664.50","663.01","663.30","-0.0467","-0.0366","54,190"
"2026-04-23T14:40:00.000Z","663.27","663.88","662.85","663.68","0.0565","0.0667","45,660"
"2026-04-23T14:45:00.000Z","663.79","664.33","663.10","663.10","-0.0874","-0.0772","43,995"
"2026-04-23T14:50:00.000Z","663.17","664.63","663.01","664.52","0.2141","0.2243","78,583"
"2026-04-23T14:55:00.000Z","664.59","665.95","664.49","665.51","0.1497","0.1599","73,157"
"2026-04-23T15:00:00.000Z","665.51","667.59","665.51","666.84","0.1991","0.2092","102,206"
"2026-04-23T15:05:00.000Z","666.83","666.86","665.51","666.25","-0.0885","-0.0783","47,920"
"2026-04-23T15:10:00.000Z","666.32","667.15","666.21","666.69","0.0660","0.0762","47,303"
"2026-04-23T15:15:00.000Z","666.81","669.11","666.67","669.05","0.3540","0.3641","117,116"
"2026-04-23T15:20:00.000Z","669.14","669.56","668.13","668.16","-0.1331","-0.1229","102,246"
"2026-04-23T15:25:00.000Z","668.00","668.49","667.30","668.23","0.0098","0.0199","63,580"
"2026-04-23T15:30:00.000Z","668.23","669.01","668.00","668.27","0.0075","0.0176","58,564"
"2026-04-23T15:35:00.000Z","668.19","668.27","667.22","667.41","-0.1294","-0.1193","71,336"
"2026-04-23T15:40:00.000Z","667.32","668.22","667.22","667.95","0.0809","0.0911","41,688"
"2026-04-23T15:45:00.000Z","667.90","667.96","666.50","666.61","-0.2008","-0.1906","85,150"
"2026-04-23T15:50:00.000Z","666.63","666.71","665.50","665.75","-0.1281","-0.1180","55,183"
"2026-04-23T15:55:00.000Z","665.63","666.79","665.63","666.18","0.0639","0.0740","39,924"
"2026-04-23T16:00:00.000Z","666.17","666.59","664.99","665.01","-0.1756","-0.1655","58,531"
"2026-04-23T16:05:00.000Z","664.93","665.46","664.78","665.30","0.0436","0.0538","35,753"
"2026-04-23T16:10:00.000Z","665.29","666.09","665.19","665.96","0.0985","0.1086","31,844"
"2026-04-23T16:15:00.000Z","665.96","666.10","665.38","665.53","-0.0638","-0.0537","30,043"
"2026-04-23T16:20:00.000Z","665.58","665.84","664.88","665.84","0.0466","0.0567","21,422"
"2026-04-23T16:25:00.000Z","665.77","666.21","664.89","665.17","-0.1006","-0.0905","30,811"
"2026-04-23T16:30:00.000Z","665.12","665.87","665.00","665.76","0.0887","0.0989","19,770"
"2026-04-23T16:35:00.000Z","665.80","665.85","665.03","665.04","-0.1081","-0.0980","22,631"
"2026-04-23T16:40:00.000Z","665.12","665.48","665.00","665.14","0.0158","0.0259","22,458"
"2026-04-23T16:45:00.000Z","665.19","665.88","665.06","665.59","0.0669","0.0771","19,591"
"2026-04-23T16:50:00.000Z","665.45","666.00","665.20","665.63","0.0060","0.0162","21,665"
"2026-04-23T16:55:00.000Z","665.50","665.94","665.08","665.44","-0.0285","-0.0184","18,423"
"2026-04-23T17:00:00.000Z","665.44","666.02","663.67","663.86","-0.2374","-0.2273","58,182"
"2026-04-23T17:05:00.000Z","663.86","664.10","662.10","662.46","-0.2109","-0.2007","76,674"
"2026-04-23T17:10:00.000Z","662.23","662.97","661.80","662.29","-0.0257","-0.0155","55,547"
"2026-04-23T17:15:00.000Z","662.24","662.24","660.13","660.62","-0.2522","-0.2420","71,377"
"2026-04-23T17:20:00.000Z","660.59","660.68","659.10","659.62","-0.1514","-0.1412","130,156"
"2026-04-23T17:25:00.000Z","659.53","660.50","657.99","658.30","-0.1994","-0.1892","165,175"
"2026-04-23T17:30:00.000Z","658.24","659.33","657.74","659.23","0.1405","0.1507","68,415"
"2026-04-23T17:35:00.000Z","659.32","669.00","657.20","658.04","-0.1805","-0.1704","478,130"
"2026-04-23T17:40:00.000Z","658.05","658.11","654.36","655.11","-0.4453","-0.4351","161,706"
"2026-04-23T17:45:00.000Z","655.20","655.70","653.20","654.44","-0.1023","-0.0921","154,504"
"2026-04-23T17:50:00.000Z","654.44","657.87","653.05","656.61","0.3316","0.3417","138,222"
"2026-04-23T17:55:00.000Z","656.31","658.34","656.08","658.13","0.2323","0.2424","93,507"
"2026-04-23T18:00:00.000Z","657.99","659.60","657.15","658.51","0.0570","0.0671","103,120"
"2026-04-23T18:05:00.000Z","658.61","659.99","658.10","659.35","0.1268","0.1370","110,345"
"2026-04-23T18:10:00.000Z","659.41","660.03","658.47","658.92","-0.0645","-0.0543","88,808"
"2026-04-23T18:15:00.000Z","658.96","659.18","658.33","658.78","-0.0205","-0.0103","61,054"
"2026-04-23T18:20:00.000Z","658.78","659.04","658.00","658.51","-0.0417","-0.0316","54,811"
"2026-04-23T18:25:00.000Z","658.49","658.74","658.00","658.41","-0.0152","-0.0050","42,416"
"2026-04-23T18:30:00.000Z","658.65","659.53","658.53","659.18","0.1177","0.1279","87,939"
"2026-04-23T18:35:00.000Z","659.18","659.75","659.01","659.38","0.0296","0.0397","59,554"
"2026-04-23T18:40:00.000Z","659.39","659.55","658.23","658.45","-0.1410","-0.1309","40,300"
"2026-04-23T18:45:00.000Z","658.36","658.76","658.02","658.20","-0.0380","-0.0278","70,963"
"2026-04-23T18:50:00.000Z","658.14","659.00","657.50","658.74","0.0820","0.0922","42,347"
"2026-04-23T18:55:00.000Z","658.66","658.99","657.04","657.58","-0.1761","-0.1659","44,963"
"2026-04-23T19:00:00.000Z","657.58","657.97","657.19","657.53","-0.0076","0.0025","39,459"
"2026-04-23T19:05:00.000Z","657.53","658.47","657.39","658.35","0.1239","0.1341","62,017"
"2026-04-23T19:10:00.000Z","658.33","658.39","657.76","658.26","-0.0129","-0.0028","30,096"
"2026-04-23T19:15:00.000Z","658.26","659.10","658.26","658.69","0.0653","0.0755","63,420"
"2026-04-23T19:20:00.000Z","658.69","658.77","658.28","658.60","-0.0137","-0.0035","39,830"
"2026-04-23T19:25:00.000Z","658.60","659.88","658.41","659.66","0.1609","0.1711","64,349"
"2026-04-23T19:30:00.000Z","659.66","660.65","659.36","659.77","0.0167","0.0268","80,589"
"2026-04-23T19:35:00.000Z","659.55","660.28","658.74","660.10","0.0500","0.0602","58,051"
"2026-04-23T19:40:00.000Z","660.22","660.41","658.92","659.47","-0.0954","-0.0853","81,126"
"2026-04-23T19:45:00.000Z","659.39","660.17","659.30","659.79","0.0485","0.0587","95,019"
"2026-04-23T19:50:00.000Z","659.77","659.77","657.83","659.20","-0.0894","-0.0793","166,710"
"2026-04-23T19:55:00.000Z","658.97","659.50","658.75","659.33","0.0197","0.0299","358,695"
"2026-04-24T13:30:00.000Z","660.50","660.50","653.84","656.38","-0.4474","-0.4373","456,193"
"2026-04-24T13:35:00.000Z","656.26","660.60","655.84","660.53","0.6322","0.6424","171,030"
"2026-04-24T13:40:00.000Z","660.35","662.01","660.29","661.81","0.1938","0.2040","195,152"
"2026-04-24T13:45:00.000Z","661.94","665.47","661.94","665.04","0.4881","0.4982","224,736"
"2026-04-24T13:50:00.000Z","665.07","665.43","662.95","663.60","-0.2173","-0.2071","166,190"
"2026-04-24T13:55:00.000Z","663.57","665.13","663.29","663.99","0.0595","0.0697","167,569"
"2026-04-24T14:00:00.000Z","663.94","664.88","662.97","664.62","0.0949","0.1050","124,090"
"2026-04-24T14:05:00.000Z","664.60","668.51","664.59","668.24","0.5447","0.5548","250,397"
"2026-04-24T14:10:00.000Z","668.12","669.21","667.63","667.83","-0.0613","-0.0512","171,421"
"2026-04-24T14:15:00.000Z","667.83","668.42","666.06","667.70","-0.0201","-0.0100","73,946"
"2026-04-24T14:20:00.000Z","667.75","668.70","666.25","666.68","-0.1521","-0.1419","67,434"
"2026-04-24T14:25:00.000Z","666.57","666.68","664.84","665.08","-0.2400","-0.2298","75,863"
"2026-04-24T14:30:00.000Z","665.16","665.40","664.00","664.81","-0.0406","-0.0304","100,293"
"2026-04-24T14:35:00.000Z","664.77","666.06","664.66","665.50","0.1038","0.1139","63,367"
"2026-04-24T14:40:00.000Z","665.50","666.54","665.13","666.28","0.1172","0.1274","70,420"
"2026-04-24T14:45:00.000Z","666.38","666.92","665.75","666.74","0.0683","0.0784","79,845"
"2026-04-24T14:50:00.000Z","666.74","667.27","666.30","667.13","0.0600","0.0701","41,154"
"2026-04-24T14:55:00.000Z","667.04","667.96","666.85","667.34","0.0300","0.0401","36,785"
"2026-04-24T15:00:00.000Z","667.45","668.04","667.03","667.82","0.0727","0.0828","54,034"
"2026-04-24T15:05:00.000Z","667.83","667.99","666.52","666.64","-0.1767","-0.1665","62,128"
"2026-04-24T15:10:00.000Z","666.64","668.02","666.34","667.96","0.1973","0.2074","65,748"
"2026-04-24T15:15:00.000Z","667.97","669.13","667.97","668.70","0.1115","0.1217","101,246"
"2026-04-24T15:20:00.000Z","668.63","671.73","668.52","670.66","0.2931","0.3033","162,019"
"2026-04-24T15:25:00.000Z","670.65","672.75","670.60","672.45","0.2669","0.2771","146,853"
"2026-04-24T15:30:00.000Z","672.45","674.26","672.38","672.66","0.0312","0.0414","166,463"
"2026-04-24T15:35:00.000Z","672.52","673.21","671.90","671.99","-0.0996","-0.0895","111,732"
"2026-04-24T15:40:00.000Z","672.08","674.47","671.80","674.07","0.3095","0.3197","81,534"
"2026-04-24T15:45:00.000Z","674.16","675.80","673.70","675.71","0.2426","0.2527","173,931"
"2026-04-24T15:50:00.000Z","675.80","676.53","675.00","675.34","-0.0540","-0.0439","115,512"
"2026-04-24T15:55:00.000Z","675.26","676.00","675.00","675.50","0.0237","0.0338","83,659"
"2026-04-24T16:00:00.000Z","675.47","676.38","675.01","676.38","0.1303","0.1404","81,498"
"2026-04-24T16:05:00.000Z","676.40","676.93","674.53","674.64","-0.2573","-0.2471","317,713"
"2026-04-24T16:10:00.000Z","674.77","675.77","674.57","674.70","0.0089","0.0190","54,903"
"2026-04-24T16:15:00.000Z","674.83","674.83","673.96","674.20","-0.0741","-0.0640","63,400"
"2026-04-24T16:20:00.000Z","674.21","675.24","674.21","675.20","0.1483","0.1585","53,704"
"2026-04-24T16:25:00.000Z","675.22","675.45","674.64","675.27","0.0104","0.0205","70,015"
"2026-04-24T16:30:00.000Z","675.26","676.65","675.21","676.20","0.1370","0.1471","101,906"
"2026-04-24T16:35:00.000Z","676.14","676.38","675.33","675.68","-0.0754","-0.0653","43,761"
"2026-04-24T16:40:00.000Z","675.68","676.17","675.17","675.75","0.0104","0.0205","44,634"
"2026-04-24T16:45:00.000Z","675.67","676.00","675.11","675.86","0.0148","0.0250","43,566"
"2026-04-24T16:50:00.000Z","675.97","677.54","675.73","677.48","0.2404","0.2506","126,913"
"2026-04-24T16:55:00.000Z","677.48","679.70","677.42","679.15","0.2465","0.2567","186,403"
"2026-04-24T17:00:00.000Z","679.18","680.57","679.12","680.27","0.1656","0.1758","199,317"
"2026-04-24T17:05:00.000Z","680.27","680.67","679.51","679.69","-0.0860","-0.0758","116,278"
"2026-04-24T17:10:00.000Z","679.69","680.29","679.37","680.03","0.0500","0.0602","114,924"
