"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2026-04-22T19:55:00.000Z","13.36","13.40","13.34","13.39","0.2996","0.2926","118,134"
"2026-04-23T13:30:00.000Z","13.17","13.23","12.83","12.83","-4.18","-4.19","87,115"
"2026-04-23T13:35:00.000Z","13.00","13.09","12.93","12.96","1.01","1.01","28,348"
"2026-04-23T13:40:00.000Z","12.96","13.01","12.86","12.91","-0.3858","-0.3928","26,846"
"2026-04-23T13:45:00.000Z","12.90","12.98","12.84","12.95","0.3098","0.3028","16,568"
"2026-04-23T13:50:00.000Z","12.95","12.95","12.81","12.85","-0.7722","-0.7792","46,401"
"2026-04-23T13:55:00.000Z","12.85","12.85","12.74","12.75","-0.7782","-0.7852","32,118"
"2026-04-23T14:00:00.000Z","12.75","12.81","12.72","12.77","0.1569","0.1498","28,634"
"2026-04-23T14:05:00.000Z","12.77","12.79","12.72","12.73","-0.3132","-0.3203","41,062"
"2026-04-23T14:10:00.000Z","12.72","12.75","12.69","12.74","0.0786","0.0715","18,782"
"2026-04-23T14:15:00.000Z","12.76","12.79","12.71","12.71","-0.2355","-0.2425","14,932"
"2026-04-23T14:20:00.000Z","12.71","12.84","12.70","12.84","1.02","1.02","24,681"
"2026-04-23T14:25:00.000Z","12.83","12.85","12.77","12.77","-0.5452","-0.5522","18,131"
"2026-04-23T14:30:00.000Z","12.78","12.80","12.76","12.79","0.1175","0.1104","8,439"
"2026-04-23T14:35:00.000Z","12.78","12.78","12.72","12.75","-0.2738","-0.2808","16,332"
"2026-04-23T14:40:00.000Z","12.75","12.79","12.74","12.79","0.2745","0.2675","4,409"
"2026-04-23T14:45:00.000Z","12.80","12.84","12.72","12.73","-0.4302","-0.4372","11,248"
"2026-04-23T14:50:00.000Z","12.72","12.84","12.71","12.84","0.8641","0.8571","10,766"
"2026-04-23T14:55:00.000Z","12.85","12.90","12.81","12.83","-0.0779","-0.0849","15,064"
"2026-04-23T15:00:00.000Z","12.83","12.88","12.83","12.85","0.1169","0.1099","10,969"
"2026-04-23T15:05:00.000Z","12.85","12.87","12.81","12.85","","-0.0070","9,064"
"2026-04-23T15:10:00.000Z","12.85","12.87","12.81","12.81","-0.2725","-0.2795","10,750"
"2026-04-23T15:15:00.000Z","12.80","12.86","12.78","12.83","0.1561","0.1491","16,654"
"2026-04-23T15:20:00.000Z","12.82","12.83","12.79","12.81","-0.1559","-0.1629","3,944"
"2026-04-23T15:25:00.000Z","12.81","12.83","12.79","12.79","-0.1561","-0.1632","4,858"
"2026-04-23T15:30:00.000Z","12.79","12.82","12.78","12.82","0.2346","0.2275","6,225"
"2026-04-23T15:35:00.000Z","12.81","12.81","12.77","12.79","-0.2730","-0.2801","4,734"
"2026-04-23T15:40:00.000Z","12.78","12.79","12.77","12.78","-0.0391","-0.0461","4,358"
"2026-04-23T15:45:00.000Z","12.78","12.78","12.73","12.73","-0.3521","-0.3592","11,894"
"2026-04-23T15:50:00.000Z","12.73","12.75","12.72","12.74","0.0393","0.0322","4,989"
"2026-04-23T15:55:00.000Z","12.75","12.79","12.75","12.77","0.2355","0.2284","26,488"
"2026-04-23T16:00:00.000Z","12.78","12.79","12.72","12.72","-0.3524","-0.3594","11,327"
"2026-04-23T16:05:00.000Z","12.73","12.78","12.72","12.76","0.2358","0.2287","6,730"
"2026-04-23T16:10:00.000Z","12.75","12.78","12.75","12.77","0.0784","0.0714","6,237"
"2026-04-23T16:15:00.000Z","12.76","12.77","12.72","12.75","-0.1175","-0.1245","6,927"
"2026-04-23T16:20:00.000Z","12.76","12.76","12.74","12.75","","-0.0070","2,600"
"2026-04-23T16:25:00.000Z","12.76","12.77","12.70","12.72","-0.2353","-0.2423","7,095"
"2026-04-23T16:30:00.000Z","12.72","12.73","12.71","12.73","0.0786","0.0716","10,361"
"2026-04-23T16:35:00.000Z","12.73","12.74","12.66","12.68","-0.4321","-0.4391","19,541"
"2026-04-23T16:40:00.000Z","12.68","12.70","12.67","12.70","0.1578","0.1508","5,099"
"2026-04-23T16:45:00.000Z","12.69","12.70","12.68","12.69","-0.0394","-0.0464","6,015"
"2026-04-23T16:50:00.000Z","12.69","12.70","12.66","12.69","-0.0394","-0.0464","15,752"
"2026-04-23T16:55:00.000Z","12.69","12.70","12.64","12.64","-0.3153","-0.3224","59,339"
"2026-04-23T17:00:00.000Z","12.64","12.65","12.56","12.56","-0.6327","-0.6397","31,838"
"2026-04-23T17:05:00.000Z","12.56","12.57","12.52","12.54","-0.1592","-0.1662","25,515"
"2026-04-23T17:10:00.000Z","12.54","12.55","12.46","12.46","-0.6776","-0.6846","38,707"
"2026-04-23T17:15:00.000Z","12.46","12.46","12.40","12.43","-0.2809","-0.2879","20,008"
"2026-04-23T17:20:00.000Z","12.43","12.43","12.36","12.38","-0.4024","-0.4095","22,513"
"2026-04-23T17:25:00.000Z","12.38","12.40","12.34","12.37","-0.0808","-0.0878","27,320"
"2026-04-23T17:30:00.000Z","12.37","12.43","12.37","12.41","0.4044","0.3973","12,490"
"2026-04-23T17:35:00.000Z","12.43","12.45","12.35","12.36","-0.4833","-0.4903","13,517"
"2026-04-23T17:40:00.000Z","12.36","12.37","12.29","12.29","-0.5666","-0.5736","21,927"
"2026-04-23T17:45:00.000Z","12.29","12.32","12.27","12.31","0.2035","0.1965","23,982"
"2026-04-23T17:50:00.000Z","12.30","12.45","12.30","12.45","1.10","1.09","29,603"
"2026-04-23T17:55:00.000Z","12.44","12.48","12.44","12.46","0.1205","0.1135","11,938"
"2026-04-23T18:00:00.000Z","12.48","12.61","12.47","12.60","1.08","1.08","17,698"
"2026-04-23T18:05:00.000Z","12.60","12.62","12.59","12.60","","-0.0070","5,375"
"2026-04-23T18:10:00.000Z","12.60","12.64","12.60","12.64","0.3573","0.3502","5,517"
"2026-04-23T18:15:00.000Z","12.63","12.65","12.61","12.63","-0.0396","-0.0466","7,169"
"2026-04-23T18:20:00.000Z","12.63","12.66","12.63","12.66","0.2374","0.2304","6,631"
"2026-04-23T18:25:00.000Z","12.67","12.68","12.66","12.66","-0.0395","-0.0465","6,720"
"2026-04-23T18:30:00.000Z","12.68","12.69","12.64","12.64","-0.1185","-0.1255","6,194"
"2026-04-23T18:35:00.000Z","12.64","12.65","12.63","12.63","-0.0791","-0.0861","6,853"
"2026-04-23T18:40:00.000Z","12.63","12.64","12.61","12.61","-0.2374","-0.2445","8,694"
"2026-04-23T18:45:00.000Z","12.61","12.65","12.60","12.64","0.3173","0.3103","46,093"
"2026-04-23T18:50:00.000Z","12.64","12.67","12.61","12.62","-0.1977","-0.2047","12,062"
"2026-04-23T18:55:00.000Z","12.62","12.63","12.57","12.58","-0.3170","-0.3240","37,123"
"2026-04-23T19:00:00.000Z","12.59","12.61","12.58","12.61","0.1987","0.1917","9,722"
"2026-04-23T19:05:00.000Z","12.61","12.64","12.61","12.62","0.0793","0.0723","10,781"
"2026-04-23T19:10:00.000Z","12.61","12.62","12.57","12.62","0.0396","0.0326","18,828"
"2026-04-23T19:15:00.000Z","12.62","12.63","12.57","12.57","-0.3566","-0.3636","17,719"
"2026-04-23T19:20:00.000Z","12.57","12.58","12.56","12.57","-0.0398","-0.0468","17,755"
