"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2026-04-22T19:55:00.000Z","433.21","433.70","432.65","432.68","-0.1223","-0.1181","1,222,746"
"2026-04-23T13:30:00.000Z","419.69","423.10","418.07","421.69","-2.54","-2.54","2,020,654"
"2026-04-23T13:35:00.000Z","421.59","422.50","420.36","421.44","-0.0593","-0.0550","714,512"
"2026-04-23T13:40:00.000Z","421.39","421.95","420.42","420.46","-0.2325","-0.2283","507,620"
"2026-04-23T13:45:00.000Z","420.47","421.68","419.91","420.40","-0.0143","-0.0100","599,728"
"2026-04-23T13:50:00.000Z","420.38","420.44","417.88","418.69","-0.4068","-0.4025","972,961"
"2026-04-23T13:55:00.000Z","418.69","419.45","417.23","417.44","-0.2986","-0.2943","639,184"
"2026-04-23T14:00:00.000Z","417.40","417.81","416.49","416.96","-0.1150","-0.1107","670,692"
"2026-04-23T14:05:00.000Z","416.93","417.64","416.66","416.95","-0.0012","0.0030","456,457"
"2026-04-23T14:10:00.000Z","416.93","417.22","415.80","417.18","0.0540","0.0582","603,291"
"2026-04-23T14:15:00.000Z","417.15","418.29","417.13","417.37","0.0455","0.0498","512,479"
"2026-04-23T14:20:00.000Z","417.37","419.69","417.35","419.56","0.5247","0.5290","415,012"
"2026-04-23T14:25:00.000Z","419.54","419.54","418.44","418.81","-0.1776","-0.1733","350,704"
"2026-04-23T14:30:00.000Z","418.85","419.42","418.32","419.19","0.0907","0.0950","278,684"
"2026-04-23T14:35:00.000Z","419.23","419.37","418.81","419.12","-0.0179","-0.0136","245,371"
"2026-04-23T14:40:00.000Z","419.15","420.15","418.92","419.98","0.2040","0.2082","279,235"
"2026-04-23T14:45:00.000Z","419.98","421.06","419.90","420.64","0.1583","0.1626","340,037"
"2026-04-23T14:50:00.000Z","420.67","421.22","420.47","421.00","0.0856","0.0898","251,659"
"2026-04-23T14:55:00.000Z","420.96","421.83","420.92","421.60","0.1425","0.1468","258,074"
"2026-04-23T15:00:00.000Z","421.56","422.00","421.12","421.22","-0.0899","-0.0857","255,752"
"2026-04-23T15:05:00.000Z","421.28","421.59","420.97","421.47","0.0591","0.0634","227,405"
"2026-04-23T15:10:00.000Z","421.50","421.95","420.95","421.00","-0.1115","-0.1073","200,418"
"2026-04-23T15:15:00.000Z","421.02","422.14","420.80","421.86","0.2043","0.2085","246,583"
"2026-04-23T15:20:00.000Z","421.86","422.70","421.81","422.38","0.1233","0.1275","270,548"
"2026-04-23T15:25:00.000Z","422.38","423.36","422.04","422.50","0.0284","0.0327","325,785"
"2026-04-23T15:30:00.000Z","422.47","423.66","421.90","422.37","-0.0302","-0.0259","268,643"
"2026-04-23T15:35:00.000Z","422.36","422.43","421.05","421.28","-0.2586","-0.2544","213,603"
"2026-04-23T15:40:00.000Z","421.28","421.58","421.06","421.39","0.0261","0.0303","112,319"
"2026-04-23T15:45:00.000Z","421.39","421.39","420.26","420.44","-0.2254","-0.2212","193,618"
"2026-04-23T15:50:00.000Z","420.41","420.41","419.28","419.29","-0.2735","-0.2693","362,488"
"2026-04-23T15:55:00.000Z","419.28","419.58","418.45","419.26","-0.0072","-0.0029","387,586"
"2026-04-23T16:00:00.000Z","419.19","419.67","418.64","418.70","-0.1336","-0.1293","191,807"
"2026-04-23T16:05:00.000Z","418.70","419.10","418.15","418.20","-0.1204","-0.1161","234,663"
"2026-04-23T16:10:00.000Z","418.19","419.09","418.19","418.91","0.1707","0.1750","170,250"
"2026-04-23T16:15:00.000Z","418.91","419.03","418.43","418.55","-0.0871","-0.0829","218,586"
"2026-04-23T16:20:00.000Z","418.56","418.83","418.18","418.75","0.0502","0.0544","154,264"
"2026-04-23T16:25:00.000Z","418.75","418.96","417.81","417.93","-0.1970","-0.1928","318,073"
"2026-04-23T16:30:00.000Z","417.91","417.91","417.17","417.50","-0.1017","-0.0974","230,026"
"2026-04-23T16:35:00.000Z","417.49","417.76","416.94","417.36","-0.0359","-0.0317","213,974"
"2026-04-23T16:40:00.000Z","417.39","417.58","417.04","417.25","-0.0252","-0.0209","191,229"
"2026-04-23T16:45:00.000Z","417.25","417.33","416.79","417.02","-0.0551","-0.0509","236,259"
"2026-04-23T16:50:00.000Z","417.02","417.50","417.02","417.47","0.1079","0.1122","187,590"
"2026-04-23T16:55:00.000Z","417.50","418.08","417.39","417.74","0.0647","0.0689","164,327"
"2026-04-23T17:00:00.000Z","417.67","417.94","416.21","416.38","-0.3255","-0.3213","236,168"
"2026-04-23T17:05:00.000Z","416.38","416.43","415.55","415.85","-0.1285","-0.1242","374,538"
"2026-04-23T17:10:00.000Z","415.85","415.95","415.21","415.50","-0.0830","-0.0787","242,560"
"2026-04-23T17:15:00.000Z","415.50","415.51","414.55","414.85","-0.1564","-0.1522","350,055"
"2026-04-23T17:20:00.000Z","414.88","415.20","414.50","414.99","0.0337","0.0380","248,944"
"2026-04-23T17:25:00.000Z","415.00","415.71","414.73","415.20","0.0506","0.0548","202,108"
"2026-04-23T17:30:00.000Z","415.20","415.54","414.97","415.48","0.0674","0.0717","158,518"
"2026-04-23T17:35:00.000Z","415.50","415.79","413.21","413.46","-0.4850","-0.4807","419,078"
"2026-04-23T17:40:00.000Z","413.47","413.47","411.68","412.05","-0.3422","-0.3380","580,119"
"2026-04-23T17:45:00.000Z","412.05","412.80","411.41","412.51","0.1116","0.1159","377,271"
"2026-04-23T17:50:00.000Z","412.47","414.84","412.12","413.76","0.3030","0.3073","330,580"
"2026-04-23T17:55:00.000Z","413.74","414.65","413.54","414.51","0.1813","0.1855","197,575"
"2026-04-23T18:00:00.000Z","414.51","415.33","414.27","414.61","0.0241","0.0284","249,956"
"2026-04-23T18:05:00.000Z","414.58","415.38","414.35","414.83","0.0531","0.0573","195,607"
"2026-04-23T18:10:00.000Z","414.86","415.41","414.78","414.89","0.0157","0.0199","182,716"
"2026-04-23T18:15:00.000Z","414.89","415.15","414.63","415.05","0.0373","0.0416","144,867"
"2026-04-23T18:20:00.000Z","415.02","415.37","414.86","415.02","-0.0072","-0.0030","156,198"
"2026-04-23T18:25:00.000Z","414.99","415.16","414.80","415.09","0.0169","0.0211","160,264"
"2026-04-23T18:30:00.000Z","415.10","415.80","415.07","415.72","0.1514","0.1557","183,483"
"2026-04-23T18:35:00.000Z","415.74","416.02","415.43","415.47","-0.0592","-0.0550","152,358"
"2026-04-23T18:40:00.000Z","415.47","415.60","414.75","414.95","-0.1258","-0.1215","206,051"
"2026-04-23T18:45:00.000Z","414.95","414.97","414.36","414.39","-0.1350","-0.1307","160,923"
"2026-04-23T18:50:00.000Z","414.42","415.03","414.17","414.94","0.1327","0.1370","164,932"
"2026-04-23T18:55:00.000Z","414.95","415.00","414.15","414.55","-0.0940","-0.0897","124,505"
"2026-04-23T19:00:00.000Z","414.50","414.84","414.35","414.67","0.0289","0.0332","115,202"
"2026-04-23T19:05:00.000Z","414.69","415.30","414.69","415.08","0.0989","0.1031","162,028"
"2026-04-23T19:10:00.000Z","415.09","416.08","415.04","416.08","0.2406","0.2448","175,133"
"2026-04-23T19:15:00.000Z","416.08","416.73","416.06","416.10","0.0051","0.0094","261,352"
"2026-04-23T19:20:00.000Z","416.20","416.25","415.81","415.90","-0.0481","-0.0438","123,299"
"2026-04-23T19:25:00.000Z","415.91","416.48","415.75","416.34","0.1049","0.1092","154,271"
"2026-04-23T19:30:00.000Z","416.36","416.66","415.57","415.57","-0.1829","-0.1786","193,678"
"2026-04-23T19:35:00.000Z","415.59","415.90","415.11","415.84","0.0638","0.0680","198,796"
"2026-04-23T19:40:00.000Z","415.82","415.93","415.21","415.25","-0.1419","-0.1376","179,898"
"2026-04-23T19:45:00.000Z","415.21","415.60","415.15","415.60","0.0843","0.0885","206,776"
"2026-04-23T19:50:00.000Z","415.61","416.70","415.01","416.56","0.2310","0.2352","445,337"
"2026-04-23T19:55:00.000Z","416.53","416.68","415.60","415.75","-0.1944","-0.1902","809,030"
"2026-04-24T13:30:00.000Z","416.95","420.21","415.80","419.82","0.9790","0.9832","1,140,331"
