"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2026-04-22T19:55:00.000Z","202.16","202.50","202.14","202.42","0.1237","0.1166","3,898,967"
"2026-04-23T13:30:00.000Z","202.46","202.88","201.10","201.31","-0.5459","-0.5529","3,345,331"
"2026-04-23T13:35:00.000Z","201.31","201.94","201.29","201.93","0.3030","0.2960","1,498,834"
"2026-04-23T13:40:00.000Z","201.92","203.14","201.82","202.66","0.3645","0.3575","2,750,543"
"2026-04-23T13:45:00.000Z","202.66","203.83","202.63","203.79","0.5571","0.5501","2,664,630"
"2026-04-23T13:50:00.000Z","203.78","203.80","203.15","203.57","-0.1080","-0.1150","1,859,795"
"2026-04-23T13:55:00.000Z","203.58","203.60","202.90","203.06","-0.2498","-0.2569","1,389,265"
"2026-04-23T14:00:00.000Z","203.07","203.09","202.22","202.97","-0.0425","-0.0496","1,752,684"
"2026-04-23T14:05:00.000Z","202.97","203.21","202.72","202.82","-0.0764","-0.0834","1,236,131"
"2026-04-23T14:10:00.000Z","202.84","202.85","202.01","202.23","-0.2909","-0.2979","1,058,172"
"2026-04-23T14:15:00.000Z","202.22","202.88","202.12","202.17","-0.0319","-0.0389","1,293,069"
"2026-04-23T14:20:00.000Z","202.16","202.28","201.88","202.01","-0.0769","-0.0840","1,262,408"
"2026-04-23T14:25:00.000Z","202.00","202.21","201.62","201.76","-0.1237","-0.1307","1,126,680"
"2026-04-23T14:30:00.000Z","201.79","202.33","201.76","202.04","0.1387","0.1317","1,311,594"
"2026-04-23T14:35:00.000Z","202.03","202.48","201.78","202.00","-0.0173","-0.0244","1,130,371"
"2026-04-23T14:40:00.000Z","202.00","202.12","201.78","202.02","0.0074","0.0004","710,082"
"2026-04-23T14:45:00.000Z","202.03","202.38","202.00","202.02","","-0.0070","942,090"
"2026-04-23T14:50:00.000Z","202.02","202.30","201.78","202.23","0.1035","0.0964","919,065"
"2026-04-23T14:55:00.000Z","202.24","202.75","202.24","202.56","0.1637","0.1566","1,083,967"
"2026-04-23T15:00:00.000Z","202.56","203.05","202.56","202.91","0.1728","0.1658","1,182,830"
"2026-04-23T15:05:00.000Z","202.91","203.02","202.70","202.97","0.0296","0.0225","671,929"
"2026-04-23T15:10:00.000Z","202.98","203.09","202.88","202.93","-0.0197","-0.0267","621,734"
"2026-04-23T15:15:00.000Z","202.93","203.03","202.80","202.98","0.0246","0.0176","620,787"
"2026-04-23T15:20:00.000Z","202.99","203.11","202.87","203.01","0.0148","0.0077","551,628"
"2026-04-23T15:25:00.000Z","203.01","203.01","202.48","202.51","-0.2463","-0.2533","864,398"
"2026-04-23T15:30:00.000Z","202.52","202.72","202.26","202.53","0.0123","0.0053","820,610"
"2026-04-23T15:35:00.000Z","202.53","202.55","202.23","202.35","-0.0914","-0.0984","712,900"
"2026-04-23T15:40:00.000Z","202.33","202.44","202.09","202.10","-0.1210","-0.1281","775,168"
"2026-04-23T15:45:00.000Z","202.10","202.13","201.49","201.54","-0.2796","-0.2866","1,402,069"
"2026-04-23T15:50:00.000Z","201.54","201.61","201.18","201.20","-0.1686","-0.1756","1,162,204"
"2026-04-23T15:55:00.000Z","201.21","201.57","201.18","201.49","0.1416","0.1346","871,832"
"2026-04-23T16:00:00.000Z","201.49","201.66","201.11","201.13","-0.1787","-0.1857","859,311"
"2026-04-23T16:05:00.000Z","201.13","201.32","200.97","201.11","-0.0075","-0.0145","980,878"
"2026-04-23T16:10:00.000Z","201.11","201.36","200.97","201.30","0.0931","0.0860","827,816"
"2026-04-23T16:15:00.000Z","201.29","201.50","201.11","201.19","-0.0508","-0.0578","684,559"
"2026-04-23T16:20:00.000Z","201.21","201.23","200.96","201.16","-0.0199","-0.0269","644,212"
"2026-04-23T16:25:00.000Z","201.16","201.34","200.99","201.11","-0.0242","-0.0312","665,782"
"2026-04-23T16:30:00.000Z","201.10","201.65","201.07","201.60","0.2480","0.2409","581,074"
"2026-04-23T16:35:00.000Z","201.60","201.73","201.50","201.60","","-0.0070","654,638"
"2026-04-23T16:40:00.000Z","201.60","201.71","201.59","201.66","0.0248","0.0178","446,291"
"2026-04-23T16:45:00.000Z","201.66","201.77","201.47","201.61","-0.0223","-0.0294","520,375"
"2026-04-23T16:50:00.000Z","201.60","201.91","201.53","201.70","0.0446","0.0376","555,815"
"2026-04-23T16:55:00.000Z","201.69","201.75","201.39","201.50","-0.0992","-0.1062","467,090"
"2026-04-23T17:00:00.000Z","201.52","201.63","200.76","200.87","-0.3127","-0.3197","948,012"
"2026-04-23T17:05:00.000Z","200.86","200.88","200.19","200.24","-0.3136","-0.3207","952,024"
"2026-04-23T17:10:00.000Z","200.21","200.31","199.89","200.18","-0.0310","-0.0380","1,339,650"
"2026-04-23T17:15:00.000Z","200.16","200.17","199.21","199.38","-0.3986","-0.4057","1,313,001"
"2026-04-23T17:20:00.000Z","199.37","199.86","199.25","199.53","0.0742","0.0672","1,146,709"
"2026-04-23T17:25:00.000Z","199.55","199.98","199.36","199.44","-0.0466","-0.0536","916,897"
"2026-04-23T17:30:00.000Z","199.45","199.97","199.04","199.96","0.2632","0.2562","1,166,997"
"2026-04-23T17:35:00.000Z","199.94","200.14","199.18","199.32","-0.3201","-0.3271","1,020,354"
"2026-04-23T17:40:00.000Z","199.33","199.37","197.93","198.11","-0.6071","-0.6141","2,091,151"
"2026-04-23T17:45:00.000Z","198.12","198.16","197.22","197.98","-0.0656","-0.0727","2,020,488"
"2026-04-23T17:50:00.000Z","197.97","198.78","197.44","198.35","0.1894","0.1824","1,689,839"
"2026-04-23T17:55:00.000Z","198.34","198.98","198.22","198.89","0.2697","0.2626","1,092,977"
"2026-04-23T18:00:00.000Z","198.88","199.42","198.66","199.01","0.0598","0.0527","1,011,031"
"2026-04-23T18:05:00.000Z","198.98","199.32","198.84","199.14","0.0659","0.0589","741,487"
"2026-04-23T18:10:00.000Z","199.16","199.45","199.03","199.16","0.0126","0.0055","712,990"
"2026-04-23T18:15:00.000Z","199.18","199.34","199.04","199.07","-0.0452","-0.0522","636,414"
"2026-04-23T18:20:00.000Z","199.07","199.21","198.79","199.06","-0.0075","-0.0146","733,766"
"2026-04-23T18:25:00.000Z","199.08","199.18","198.93","199.14","0.0402","0.0332","522,726"
"2026-04-23T18:30:00.000Z","199.14","199.45","199.13","199.38","0.1194","0.1123","588,486"
"2026-04-23T18:35:00.000Z","199.38","199.65","199.36","199.41","0.0162","0.0092","667,730"
"2026-04-23T18:40:00.000Z","199.41","199.44","199.10","199.36","-0.0251","-0.0321","437,176"
"2026-04-23T18:45:00.000Z","199.35","199.43","198.98","198.98","-0.1906","-0.1976","449,102"
"2026-04-23T18:50:00.000Z","198.99","198.99","198.60","198.84","-0.0705","-0.0775","686,199"
"2026-04-23T18:55:00.000Z","198.82","198.88","198.25","198.37","-0.2363","-0.2434","554,406"
"2026-04-23T19:00:00.000Z","198.38","198.55","198.19","198.41","0.0202","0.0131","598,238"
"2026-04-23T19:05:00.000Z","198.42","198.92","198.42","198.82","0.2066","0.1996","672,858"
"2026-04-23T19:10:00.000Z","198.82","198.88","198.65","198.83","0.0050","-0.0020","487,798"
"2026-04-23T19:15:00.000Z","198.84","199.12","198.81","199.00","0.0855","0.0785","629,273"
"2026-04-23T19:20:00.000Z","199.00","199.26","198.91","199.17","0.0855","0.0784","557,214"
"2026-04-23T19:25:00.000Z","199.18","199.29","199.08","199.11","-0.0302","-0.0372","576,646"
"2026-04-23T19:30:00.000Z","199.12","199.48","199.04","199.06","-0.0251","-0.0321","707,062"
"2026-04-23T19:35:00.000Z","199.05","199.05","198.69","198.95","-0.0553","-0.0623","781,231"
"2026-04-23T19:40:00.000Z","198.97","199.19","198.97","199.03","0.0402","0.0332","662,426"
"2026-04-23T19:45:00.000Z","199.03","199.47","199.00","199.47","0.2186","0.2115","618,485"
"2026-04-23T19:50:00.000Z","199.46","199.47","198.71","199.43","-0.0175","-0.0246","1,162,791"
"2026-04-23T19:55:00.000Z","199.41","199.71","199.32","199.71","0.1404","0.1334","2,324,572"
"2026-04-24T13:30:00.000Z","199.96","203.18","199.81","203.10","1.70","1.69","7,266,477"
"2026-04-24T13:35:00.000Z","203.10","203.22","201.65","202.92","-0.0910","-0.0981","3,470,706"
"2026-04-24T13:40:00.000Z","202.91","203.14","201.62","201.73","-0.5840","-0.5910","2,534,086"
"2026-04-24T13:45:00.000Z","201.75","202.71","201.73","202.71","0.4857","0.4787","1,846,952"
"2026-04-24T13:50:00.000Z","202.71","203.01","201.85","202.00","-0.3503","-0.3573","1,759,227"
"2026-04-24T13:55:00.000Z","202.00","202.25","201.14","202.00","","-0.0070","1,992,889"
"2026-04-24T14:00:00.000Z","202.01","202.63","201.92","202.31","0.1510","0.1440","1,537,401"
"2026-04-24T14:05:00.000Z","202.32","202.88","202.02","202.76","0.2249","0.2179","1,489,366"
"2026-04-24T14:10:00.000Z","202.75","203.12","202.34","202.42","-0.1666","-0.1736","1,758,241"
"2026-04-24T14:15:00.000Z","202.44","202.98","202.31","202.62","0.0952","0.0882","1,215,565"
"2026-04-24T14:20:00.000Z","202.61","202.86","202.28","202.78","0.0814","0.0744","1,182,185"
"2026-04-24T14:25:00.000Z","202.80","202.91","202.40","202.60","-0.0863","-0.0933","1,127,071"
"2026-04-24T14:30:00.000Z","202.61","203.55","202.47","203.39","0.3892","0.3821","2,326,240"
