"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2026-04-23T13:45:00.000Z","710.58","711.28","710.43","710.96","0.0549","0.0509","564,570"
"2026-04-23T13:50:00.000Z","710.97","711.00","710.16","710.61","-0.0492","-0.0532","519,215"
"2026-04-23T13:55:00.000Z","710.62","710.62","710.16","710.21","-0.0563","-0.0603","431,011"
"2026-04-23T14:00:00.000Z","710.19","710.31","709.15","709.96","-0.0352","-0.0392","940,210"
"2026-04-23T14:05:00.000Z","709.95","710.35","709.66","710.27","0.0444","0.0404","347,234"
"2026-04-23T14:10:00.000Z","710.27","710.33","709.97","710.09","-0.0260","-0.0300","318,405"
"2026-04-23T14:15:00.000Z","710.09","710.71","710.06","710.19","0.0140","0.0100","440,756"
"2026-04-23T14:20:00.000Z","710.19","710.89","710.12","710.83","0.0894","0.0854","332,227"
"2026-04-23T14:25:00.000Z","710.82","710.96","710.28","710.53","-0.0415","-0.0455","362,687"
"2026-04-23T14:30:00.000Z","710.51","711.13","710.51","710.74","0.0296","0.0255","430,320"
"2026-04-23T14:35:00.000Z","710.74","711.05","710.40","710.70","-0.0056","-0.0096","249,573"
"2026-04-23T14:40:00.000Z","710.69","711.02","710.46","710.94","0.0338","0.0298","218,941"
"2026-04-23T14:45:00.000Z","710.95","711.25","710.89","711.10","0.0225","0.0185","315,927"
"2026-04-23T14:50:00.000Z","711.11","711.49","710.96","711.48","0.0534","0.0494","432,178"
"2026-04-23T14:55:00.000Z","711.48","712.05","711.48","711.71","0.0323","0.0283","514,830"
"2026-04-23T15:00:00.000Z","711.70","711.99","711.66","711.71","-0.0007","-0.0047","333,946"
"2026-04-23T15:05:00.000Z","711.70","711.80","711.45","711.74","0.0049","0.0009","220,829"
"2026-04-23T15:10:00.000Z","711.73","711.97","711.59","711.63","-0.0148","-0.0188","302,498"
"2026-04-23T15:15:00.000Z","711.64","712.20","711.51","712.05","0.0590","0.0550","339,898"
"2026-04-23T15:20:00.000Z","712.05","712.23","711.87","712.14","0.0119","0.0079","234,368"
"2026-04-23T15:25:00.000Z","712.14","712.28","711.96","711.99","-0.0211","-0.0251","313,295"
"2026-04-23T15:30:00.000Z","711.99","712.36","711.80","712.17","0.0253","0.0213","241,607"
"2026-04-23T15:35:00.000Z","712.16","712.17","711.76","711.80","-0.0513","-0.0553","304,303"
"2026-04-23T15:40:00.000Z","711.80","711.99","711.50","711.58","-0.0323","-0.0363","295,764"
"2026-04-23T15:45:00.000Z","711.59","711.62","710.87","711.24","-0.0471","-0.0511","585,388"
"2026-04-23T15:50:00.000Z","711.24","711.25","710.71","710.78","-0.0647","-0.0687","367,797"
"2026-04-23T15:55:00.000Z","710.76","711.48","710.70","711.11","0.0457","0.0417","324,043"
"2026-04-23T16:00:00.000Z","711.11","711.24","710.39","710.42","-0.0963","-0.1003","368,135"
"2026-04-23T16:05:00.000Z","710.43","710.68","710.30","710.52","0.0141","0.0100","252,667"
"2026-04-23T16:10:00.000Z","710.51","710.99","710.50","710.90","0.0535","0.0495","249,002"
"2026-04-23T16:15:00.000Z","710.90","711.09","710.79","710.94","0.0056","0.0016","225,637"
"2026-04-23T16:20:00.000Z","710.97","711.00","710.40","710.83","-0.0155","-0.0195","215,492"
"2026-04-23T16:25:00.000Z","710.83","711.03","710.63","710.73","-0.0141","-0.0181","125,099"
"2026-04-23T16:30:00.000Z","710.75","711.09","710.63","711.03","0.0422","0.0382","213,268"
"2026-04-23T16:35:00.000Z","711.04","711.27","710.78","710.83","-0.0281","-0.0321","309,388"
"2026-04-23T16:40:00.000Z","710.83","711.00","710.75","710.95","0.0169","0.0129","107,705"
"2026-04-23T16:45:00.000Z","710.95","711.15","710.78","710.87","-0.0113","-0.0153","117,860"
"2026-04-23T16:50:00.000Z","710.86","711.07","710.73","710.93","0.0084","0.0044","69,834"
"2026-04-23T16:55:00.000Z","710.92","711.18","710.58","710.87","-0.0084","-0.0125","144,848"
"2026-04-23T17:00:00.000Z","710.88","711.08","709.01","709.30","-0.2209","-0.2249","886,568"
"2026-04-23T17:05:00.000Z","709.27","709.32","707.86","707.93","-0.1931","-0.1972","973,503"
"2026-04-23T17:10:00.000Z","707.91","708.20","707.33","707.74","-0.0268","-0.0309","952,557"
"2026-04-23T17:15:00.000Z","707.75","707.75","706.18","706.55","-0.1681","-0.1722","1,062,104"
"2026-04-23T17:20:00.000Z","706.53","706.97","705.97","706.28","-0.0382","-0.0422","744,659"
"2026-04-23T17:25:00.000Z","706.30","707.42","705.88","706.05","-0.0326","-0.0366","830,930"
"2026-04-23T17:30:00.000Z","706.04","707.43","705.79","707.33","0.1813","0.1773","691,255"
"2026-04-23T17:35:00.000Z","707.33","707.70","705.53","705.79","-0.2177","-0.2217","1,027,154"
"2026-04-23T17:40:00.000Z","705.85","705.89","703.31","703.76","-0.2876","-0.2916","1,642,466"
"2026-04-23T17:45:00.000Z","703.76","704.21","702.28","703.54","-0.0313","-0.0353","1,890,452"
"2026-04-23T17:50:00.000Z","703.52","706.78","702.79","705.61","0.2943","0.2903","2,064,596"
"2026-04-23T17:55:00.000Z","705.58","707.05","705.08","706.63","0.1453","0.1412","1,180,162"
"2026-04-23T18:00:00.000Z","706.67","707.93","706.22","707.26","0.0884","0.0844","1,113,415"
"2026-04-23T18:05:00.000Z","707.27","707.96","706.83","707.37","0.0156","0.0115","677,864"
"2026-04-23T18:10:00.000Z","707.38","708.25","707.14","707.80","0.0608","0.0568","653,949"
"2026-04-23T18:15:00.000Z","707.76","708.35","707.68","708.17","0.0523","0.0483","404,383"
"2026-04-23T18:20:00.000Z","708.14","708.54","707.59","708.26","0.0129","0.0089","556,389"
