"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2026-04-22T19:55:00.000Z","387.85","388.34","386.81","387.20","-0.1547","-0.1658","1,560,244"
"2026-04-23T13:30:00.000Z","375.28","380.00","371.20","378.95","-2.13","-2.14","4,523,816"
"2026-04-23T13:35:00.000Z","379.00","384.11","378.76","383.90","1.31","1.30","2,968,443"
"2026-04-23T13:40:00.000Z","383.88","386.00","378.61","379.83","-1.06","-1.07","2,917,890"
"2026-04-23T13:45:00.000Z","379.75","383.13","378.03","379.51","-0.0856","-0.0967","1,857,052"
"2026-04-23T13:50:00.000Z","379.54","379.54","376.00","376.72","-0.7352","-0.7463","1,741,566"
"2026-04-23T13:55:00.000Z","376.74","377.14","371.93","372.40","-1.15","-1.16","2,081,368"
"2026-04-23T14:00:00.000Z","372.35","375.59","371.20","374.71","0.6207","0.6096","1,990,325"
"2026-04-23T14:05:00.000Z","374.73","375.50","374.01","374.98","0.0720","0.0609","950,122"
"2026-04-23T14:10:00.000Z","374.96","375.26","370.50","370.79","-1.12","-1.13","1,767,351"
"2026-04-23T14:15:00.000Z","370.79","371.92","369.40","369.59","-0.3236","-0.3347","2,136,637"
"2026-04-23T14:20:00.000Z","369.63","370.65","369.00","370.62","0.2773","0.2662","1,656,476"
"2026-04-23T14:25:00.000Z","370.61","370.86","368.39","369.09","-0.4115","-0.4226","1,411,088"
"2026-04-23T14:30:00.000Z","369.08","371.90","368.72","371.75","0.7207","0.7096","1,347,343"
"2026-04-23T14:35:00.000Z","371.77","373.10","371.64","372.72","0.2610","0.2498","1,153,570"
"2026-04-23T14:40:00.000Z","372.76","373.70","371.42","373.65","0.2495","0.2384","1,339,388"
"2026-04-23T14:45:00.000Z","373.64","374.97","373.63","374.25","0.1606","0.1495","1,085,853"
"2026-04-23T14:50:00.000Z","374.27","374.95","373.70","374.61","0.0949","0.0838","1,003,656"
"2026-04-23T14:55:00.000Z","374.65","377.20","374.27","376.02","0.3791","0.3680","1,180,235"
"2026-04-23T15:00:00.000Z","376.01","376.80","375.40","376.31","0.0745","0.0634","833,545"
"2026-04-23T15:05:00.000Z","376.34","376.86","375.79","376.67","0.0970","0.0859","642,181"
"2026-04-23T15:10:00.000Z","376.69","377.58","376.06","376.27","-0.1062","-0.1173","828,135"
"2026-04-23T15:15:00.000Z","376.28","376.87","375.36","376.83","0.1502","0.1391","693,952"
"2026-04-23T15:20:00.000Z","376.84","378.75","376.27","377.92","0.2882","0.2771","1,059,139"
"2026-04-23T15:25:00.000Z","377.90","378.36","377.14","377.48","-0.1180","-0.1291","743,498"
"2026-04-23T15:30:00.000Z","377.50","378.00","377.08","377.68","0.0543","0.0432","525,506"
"2026-04-23T15:35:00.000Z","377.71","378.24","376.88","378.04","0.0953","0.0842","613,376"
"2026-04-23T15:40:00.000Z","378.02","378.95","377.72","378.39","0.0926","0.0815","647,854"
"2026-04-23T15:45:00.000Z","378.41","379.19","377.72","378.59","0.0529","0.0418","820,221"
"2026-04-23T15:50:00.000Z","378.62","379.83","378.52","379.25","0.1743","0.1632","821,596"
"2026-04-23T15:55:00.000Z","379.25","380.92","379.11","380.82","0.4140","0.4029","1,062,226"
"2026-04-23T16:00:00.000Z","380.84","380.95","379.40","379.44","-0.3637","-0.3748","664,340"
"2026-04-23T16:05:00.000Z","379.45","379.88","376.82","376.88","-0.6734","-0.6845","1,118,355"
"2026-04-23T16:10:00.000Z","376.87","379.10","376.72","379.03","0.5705","0.5594","750,841"
"2026-04-23T16:15:00.000Z","379.02","379.85","378.74","379.29","0.0673","0.0562","570,631"
"2026-04-23T16:20:00.000Z","379.29","379.37","377.75","378.36","-0.2439","-0.2550","545,722"
"2026-04-23T16:25:00.000Z","378.36","379.37","378.34","379.25","0.2352","0.2241","443,728"
"2026-04-23T16:30:00.000Z","379.25","380.84","378.92","380.61","0.3587","0.3476","700,400"
"2026-04-23T16:35:00.000Z","380.62","380.95","380.00","380.31","-0.0776","-0.0887","540,954"
"2026-04-23T16:40:00.000Z","380.36","380.48","377.80","377.80","-0.6613","-0.6724","584,512"
"2026-04-23T16:45:00.000Z","377.86","378.10","376.87","377.15","-0.1721","-0.1832","701,646"
"2026-04-23T16:50:00.000Z","377.09","377.21","375.80","376.40","-0.1989","-0.2100","863,004"
"2026-04-23T16:55:00.000Z","376.40","377.62","376.26","376.86","0.1222","0.1111","743,903"
"2026-04-23T17:00:00.000Z","376.83","377.14","374.66","375.06","-0.4763","-0.4874","969,571"
"2026-04-23T17:05:00.000Z","375.10","376.10","374.21","374.39","-0.1800","-0.1911","736,460"
"2026-04-23T17:10:00.000Z","374.34","374.65","373.67","374.27","-0.0321","-0.0432","691,593"
"2026-04-23T17:15:00.000Z","374.26","374.37","372.41","372.88","-0.3714","-0.3825","725,344"
"2026-04-23T17:20:00.000Z","372.86","373.18","372.33","372.53","-0.0938","-0.1049","604,471"
"2026-04-23T17:25:00.000Z","372.61","373.58","372.08","372.90","0.0992","0.0881","736,211"
"2026-04-23T17:30:00.000Z","372.95","374.49","372.31","374.43","0.4103","0.3992","640,123"
"2026-04-23T17:35:00.000Z","374.40","374.89","372.52","372.65","-0.4741","-0.4852","691,030"
"2026-04-23T17:40:00.000Z","372.62","372.76","370.83","371.10","-0.4173","-0.4284","985,680"
"2026-04-23T17:45:00.000Z","371.09","371.88","369.76","371.61","0.1374","0.1263","1,179,079"
"2026-04-23T17:50:00.000Z","371.58","374.50","370.75","373.60","0.5355","0.5244","870,077"
"2026-04-23T17:55:00.000Z","373.60","374.29","372.71","373.54","-0.0161","-0.0272","592,041"
"2026-04-23T18:00:00.000Z","373.54","375.05","373.34","374.28","0.1981","0.1870","556,854"
"2026-04-23T18:05:00.000Z","374.26","374.64","373.51","374.05","-0.0615","-0.0726","427,231"
"2026-04-23T18:10:00.000Z","374.07","375.03","373.86","374.18","0.0334","0.0223","450,219"
"2026-04-23T18:15:00.000Z","374.21","374.33","373.10","373.53","-0.1724","-0.1835","544,725"
"2026-04-23T18:20:00.000Z","373.54","374.35","373.35","373.74","0.0562","0.0451","361,784"
"2026-04-23T18:25:00.000Z","373.77","374.18","373.41","374.08","0.0909","0.0798","261,299"
"2026-04-23T18:30:00.000Z","374.08","374.79","374.08","374.71","0.1697","0.1586","388,273"
"2026-04-23T18:35:00.000Z","374.71","375.20","374.45","374.63","-0.0240","-0.0351","374,008"
"2026-04-23T18:40:00.000Z","374.65","374.87","374.23","374.35","-0.0734","-0.0845","319,595"
"2026-04-23T18:45:00.000Z","374.41","374.50","372.72","372.75","-0.4274","-0.4385","561,910"
"2026-04-23T18:50:00.000Z","372.75","373.63","372.37","373.30","0.1472","0.1361","419,351"
"2026-04-23T18:55:00.000Z","373.26","373.30","371.60","371.92","-0.3693","-0.3804","582,136"
"2026-04-23T19:00:00.000Z","371.93","372.93","371.82","372.70","0.2097","0.1986","424,981"
"2026-04-23T19:05:00.000Z","372.69","373.89","372.67","373.35","0.1731","0.1620","468,546"
"2026-04-23T19:10:00.000Z","373.36","373.79","373.04","373.75","0.1085","0.0974","300,561"
"2026-04-23T19:15:00.000Z","373.75","374.10","373.28","373.30","-0.1217","-0.1328","384,973"
"2026-04-23T19:20:00.000Z","373.30","373.65","372.91","373.42","0.0321","0.0210","335,004"
"2026-04-23T19:25:00.000Z","373.44","374.20","373.42","373.96","0.1460","0.1348","330,260"
"2026-04-23T19:30:00.000Z","373.97","374.26","372.96","373.07","-0.2380","-0.2491","387,193"
"2026-04-23T19:35:00.000Z","373.10","373.29","372.37","372.92","-0.0415","-0.0527","477,907"
"2026-04-23T19:40:00.000Z","372.92","373.11","372.33","372.54","-0.1006","-0.1117","361,870"
"2026-04-23T19:45:00.000Z","372.54","374.17","372.53","374.17","0.4375","0.4264","451,220"
"2026-04-23T19:50:00.000Z","374.04","374.10","372.61","373.60","-0.1523","-0.1634","668,522"
"2026-04-23T19:55:00.000Z","373.50","374.22","373.48","373.63","0.0080","-0.0031","1,110,093"
"2026-04-24T13:30:00.000Z","373.55","377.52","370.73","376.88","0.8698","0.8587","2,574,853"
