"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2026-04-22T19:55:00.000Z","130.22","130.32","129.95","129.96","-0.1843","-0.1846","1,077,120"
"2026-04-23T13:30:00.000Z","130.47","131.11","130.47","130.99","0.7887","0.7884","223,102"
"2026-04-23T13:35:00.000Z","130.93","131.04","130.52","131.03","0.0344","0.0341","122,530"
"2026-04-23T13:40:00.000Z","131.05","131.30","130.97","131.30","0.2061","0.2058","132,239"
"2026-04-23T13:45:00.000Z","131.31","131.51","131.26","131.39","0.0685","0.0683","134,153"
"2026-04-23T13:50:00.000Z","131.37","131.53","131.35","131.41","0.0152","0.0149","82,888"
"2026-04-23T13:55:00.000Z","131.41","131.79","131.39","131.76","0.2663","0.2661","121,908"
"2026-04-23T14:00:00.000Z","131.78","131.78","131.34","131.45","-0.2353","-0.2356","134,672"
"2026-04-23T14:05:00.000Z","131.47","131.61","131.33","131.39","-0.0456","-0.0459","106,918"
"2026-04-23T14:10:00.000Z","131.38","131.60","131.33","131.57","0.1370","0.1367","93,165"
"2026-04-23T14:15:00.000Z","131.54","131.74","131.38","131.70","0.0988","0.0985","100,460"
"2026-04-23T14:20:00.000Z","131.71","131.71","131.46","131.49","-0.1595","-0.1597","89,019"
"2026-04-23T14:25:00.000Z","131.52","131.56","131.25","131.30","-0.1445","-0.1448","145,377"
"2026-04-23T14:30:00.000Z","131.27","131.52","131.24","131.29","-0.0076","-0.0079","127,298"
"2026-04-23T14:35:00.000Z","131.26","131.41","131.04","131.41","0.0914","0.0911","73,931"
"2026-04-23T14:40:00.000Z","131.38","131.48","131.33","131.35","-0.0457","-0.0459","55,191"
"2026-04-23T14:45:00.000Z","131.33","131.60","131.27","131.57","0.1676","0.1673","99,166"
"2026-04-23T14:50:00.000Z","131.60","131.65","131.43","131.44","-0.0989","-0.0992","72,374"
"2026-04-23T14:55:00.000Z","131.44","131.44","131.06","131.13","-0.2358","-0.2361","145,124"
"2026-04-23T15:00:00.000Z","131.13","131.24","131.11","131.22","0.0686","0.0684","56,165"
"2026-04-23T15:05:00.000Z","131.24","131.31","131.14","131.20","-0.0152","-0.0155","55,891"
"2026-04-23T15:10:00.000Z","131.21","131.24","131.06","131.08","-0.0915","-0.0917","63,126"
"2026-04-23T15:15:00.000Z","131.07","131.07","130.74","130.75","-0.2556","-0.2558","54,016"
"2026-04-23T15:20:00.000Z","130.75","130.93","130.75","130.80","0.0421","0.0418","52,373"
"2026-04-23T15:25:00.000Z","130.81","131.16","130.81","131.16","0.2752","0.2750","84,648"
"2026-04-23T15:30:00.000Z","131.18","131.26","131.11","131.18","0.0114","0.0112","65,281"
"2026-04-23T15:35:00.000Z","131.16","131.27","131.16","131.23","0.0396","0.0394","48,724"
"2026-04-23T15:40:00.000Z","131.23","131.35","131.22","131.22","-0.0053","-0.0056","41,167"
"2026-04-23T15:45:00.000Z","131.20","131.56","131.19","131.55","0.2515","0.2512","54,822"
"2026-04-23T15:50:00.000Z","131.56","131.68","131.54","131.64","0.0684","0.0681","121,672"
"2026-04-23T15:55:00.000Z","131.65","131.84","131.63","131.82","0.1367","0.1365","194,297"
"2026-04-23T16:00:00.000Z","131.81","131.97","131.71","131.96","0.1062","0.1059","91,011"
"2026-04-23T16:05:00.000Z","131.97","132.06","131.85","132.05","0.0682","0.0679","122,111"
"2026-04-23T16:10:00.000Z","132.04","132.12","131.96","132.03","-0.0189","-0.0192","101,233"
"2026-04-23T16:15:00.000Z","132.03","132.14","132.02","132.14","0.0870","0.0868","71,998"
"2026-04-23T16:20:00.000Z","132.14","132.22","132.11","132.15","0.0076","0.0074","82,872"
"2026-04-23T16:25:00.000Z","132.14","132.29","132.14","132.28","0.1022","0.1019","73,923"
"2026-04-23T16:30:00.000Z","132.28","132.31","132.22","132.27","-0.0113","-0.0116","75,862"
"2026-04-23T16:35:00.000Z","132.27","132.35","132.20","132.31","0.0302","0.0300","58,101"
"2026-04-23T16:40:00.000Z","132.31","132.32","132.19","132.27","-0.0302","-0.0305","48,829"
"2026-04-23T16:45:00.000Z","132.28","132.32","132.21","132.23","-0.0302","-0.0305","52,978"
"2026-04-23T16:50:00.000Z","132.22","132.24","132.07","132.12","-0.0831","-0.0834","63,923"
"2026-04-23T16:55:00.000Z","132.14","132.21","132.11","132.17","0.0378","0.0375","52,251"
"2026-04-23T17:00:00.000Z","132.16","132.16","131.81","131.86","-0.2345","-0.2348","109,776"
"2026-04-23T17:05:00.000Z","131.87","131.89","131.69","131.82","-0.0303","-0.0306","57,607"
"2026-04-23T17:10:00.000Z","131.80","132.00","131.71","131.93","0.0834","0.0832","58,565"
"2026-04-23T17:15:00.000Z","131.91","131.94","131.78","131.79","-0.1061","-0.1064","85,401"
"2026-04-23T17:20:00.000Z","131.80","131.98","131.78","131.97","0.1364","0.1361","86,168"
