"Date", "Open", "High", "Low", "Close", "Volume"
2026-05-08T13:40:00Z,292.81,293.47,292.52,293.40,959760
2026-05-08T13:45:00Z,293.38,294.56,293.25,293.60,1216288
2026-05-08T13:50:00Z,293.60,293.86,293.20,293.32,497391
2026-05-08T13:55:00Z,293.36,293.99,293.18,293.94,508355
2026-05-08T14:05:00Z,293.67,293.75,292.70,292.96,565387
2026-05-08T14:10:00Z,292.96,293.26,292.52,293.24,363506
2026-05-08T14:15:00Z,293.28,293.55,292.75,293.31,429887
2026-05-08T14:20:00Z,293.32,293.85,293.14,293.79,405966
2026-05-08T14:25:00Z,293.77,293.95,293.39,293.79,466560
2026-05-08T14:30:00Z,293.77,294.46,293.69,294.09,705954
2026-05-08T15:20:00Z,292.76,293.42,292.69,293.20,307603
2026-05-08T15:25:00Z,293.19,293.22,292.71,292.85,296196
2026-05-08T15:30:00Z,292.85,292.89,292.45,292.63,426132
2026-05-08T15:35:00Z,292.65,292.86,292.55,292.75,295890
2026-05-08T15:40:00Z,292.75,293.04,292.58,292.70,208270
2026-05-08T15:45:00Z,292.72,293.02,292.61,292.78,204127
2026-05-08T15:50:00Z,292.79,292.79,292.30,292.51,217490
2026-05-08T15:55:00Z,292.53,292.65,292.18,292.31,214485
2026-05-08T16:00:00Z,292.30,292.57,292.28,292.52,174354
2026-05-08T16:05:00Z,292.52,292.64,292.40,292.48,192124
2026-05-08T16:10:00Z,292.47,292.86,292.46,292.84,259903
2026-05-08T16:15:00Z,292.85,292.92,292.65,292.71,125566
2026-05-08T16:20:00Z,292.74,292.80,292.48,292.64,142689
2026-05-08T16:25:00Z,292.64,292.91,292.48,292.80,271107
2026-05-08T16:30:00Z,292.80,292.80,292.44,292.68,191988
2026-05-08T16:35:00Z,292.70,292.73,292.20,292.22,231979
2026-05-08T16:40:00Z,292.23,292.28,291.93,291.98,225213
2026-05-08T16:45:00Z,292.01,292.33,291.88,292.30,266054
2026-05-08T16:50:00Z,292.29,292.31,292.08,292.25,206622
2026-05-08T16:55:00Z,292.26,292.60,292.08,292.14,207281
2026-05-08T17:00:00Z,292.14,292.42,291.87,291.95,246028
2026-05-08T17:05:00Z,291.95,292.04,291.86,291.94,160216
2026-05-08T17:10:00Z,291.91,292.63,291.91,292.52,260003
2026-05-08T17:15:00Z,292.52,292.59,292.38,292.51,154176
2026-05-08T17:20:00Z,292.50,292.51,291.75,291.91,167722
2026-05-08T17:25:00Z,291.90,292.18,291.81,292.15,153066
2026-05-08T17:30:00Z,292.14,292.58,292.10,292.54,168555
2026-05-08T17:35:00Z,292.54,292.63,292.40,292.53,226628
2026-05-08T17:40:00Z,292.53,292.54,292.23,292.28,143599
2026-05-08T17:45:00Z,292.28,292.43,292.18,292.33,109498
2026-05-08T17:50:00Z,292.33,292.50,292.26,292.50,119814
2026-05-08T17:55:00Z,292.49,292.50,292.13,292.13,119351
2026-05-08T18:00:00Z,292.13,292.47,292.07,292.25,172318
2026-05-08T18:05:00Z,292.26,292.32,292.17,292.23,126771
2026-05-08T18:10:00Z,292.23,292.75,292.23,292.62,172686
2026-05-08T18:15:00Z,292.62,292.74,292.57,292.58,132998
2026-05-08T18:20:00Z,292.57,292.69,292.44,292.64,136107
2026-05-08T18:25:00Z,292.65,292.86,292.57,292.72,220663
2026-05-08T18:30:00Z,292.77,292.95,292.72,292.86,150782
2026-05-08T18:35:00Z,292.85,292.90,292.62,292.70,155264
2026-05-08T18:40:00Z,292.71,292.77,292.61,292.64,183767
2026-05-08T18:45:00Z,292.67,292.79,292.39,292.77,227842
2026-05-08T18:50:00Z,292.77,292.85,292.63,292.74,204698
2026-05-08T18:55:00Z,292.75,292.96,292.63,292.88,266658
2026-05-08T19:00:00Z,292.89,293.08,292.61,292.77,250731
2026-05-08T19:05:00Z,292.77,292.97,292.64,292.81,174824
2026-05-08T19:10:00Z,292.81,293.05,292.65,293.02,526355
2026-05-08T19:15:00Z,293.05,293.60,292.93,293.51,557924
2026-05-08T19:20:00Z,293.50,293.55,293.03,293.06,367503
2026-05-08T19:25:00Z,293.05,293.46,292.98,293.44,307923
2026-05-08T19:30:00Z,293.45,293.60,293.30,293.58,345761
2026-05-08T19:35:00Z,293.58,293.73,293.52,293.62,302310
2026-05-08T19:40:00Z,293.62,293.86,293.51,293.74,399625
2026-05-08T19:45:00Z,293.73,294.00,293.65,293.86,460163
2026-05-08T19:50:00Z,293.85,294.30,293.76,294.08,703664
