"Date", "Open", "High", "Low", "Close", "Volume"
2026-05-08T13:40:00Z,23.91,23.98,23.82,23.85,121360
2026-05-08T13:45:00Z,23.86,23.97,23.84,23.94,70602
2026-05-08T13:50:00Z,23.93,24.02,23.93,23.98,38313
2026-05-08T13:55:00Z,23.98,24.03,23.95,23.96,36394
2026-05-08T14:05:00Z,24.02,24.03,23.97,24.01,32578
2026-05-08T14:10:00Z,24.00,24.13,24.00,24.13,54699
2026-05-08T14:15:00Z,24.13,24.15,24.05,24.11,129332
2026-05-08T14:20:00Z,24.11,24.11,24.02,24.07,50812
2026-05-08T14:25:00Z,24.07,24.10,24.01,24.02,59127
2026-05-08T14:30:00Z,24.03,24.09,24.01,24.08,30687
2026-05-08T14:35:00Z,24.09,24.17,24.05,24.15,107470
2026-05-08T15:20:00Z,24.13,24.18,24.11,24.11,32487
2026-05-08T15:25:00Z,24.12,24.20,24.12,24.20,33408
2026-05-08T15:30:00Z,24.21,24.29,24.21,24.28,67194
2026-05-08T15:35:00Z,24.27,24.32,24.27,24.30,52864
2026-05-08T15:40:00Z,24.30,24.30,24.23,24.26,45040
2026-05-08T15:45:00Z,24.25,24.28,24.24,24.28,17647
2026-05-08T15:50:00Z,24.28,24.28,24.21,24.23,24759
2026-05-08T15:55:00Z,24.23,24.23,24.18,24.18,44509
2026-05-08T16:00:00Z,24.17,24.20,24.10,24.10,79495
2026-05-08T16:05:00Z,24.11,24.12,24.10,24.11,24040
2026-05-08T16:10:00Z,24.11,24.14,24.09,24.11,46122
2026-05-08T16:15:00Z,24.11,24.13,24.10,24.13,11944
2026-05-08T16:20:00Z,24.13,24.14,24.11,24.13,15333
2026-05-08T16:25:00Z,24.13,24.14,24.11,24.12,12147
2026-05-08T16:30:00Z,24.12,24.13,24.10,24.10,14576
2026-05-08T16:35:00Z,24.10,24.12,24.08,24.09,34867
2026-05-08T16:40:00Z,24.09,24.10,24.05,24.09,76322
2026-05-08T16:45:00Z,24.08,24.08,24.05,24.05,22236
2026-05-08T16:50:00Z,24.05,24.06,24.03,24.03,17303
2026-05-08T16:55:00Z,24.04,24.05,23.95,23.96,43742
2026-05-08T17:00:00Z,23.95,24.01,23.95,23.96,36908
2026-05-08T17:05:00Z,23.96,23.97,23.95,23.95,21463
2026-05-08T17:10:00Z,23.95,23.98,23.95,23.98,13924
2026-05-08T17:15:00Z,23.98,24.02,23.98,24.00,39926
2026-05-08T17:20:00Z,24.00,24.05,23.98,24.05,34153
2026-05-08T17:25:00Z,24.06,24.09,24.05,24.08,37241
2026-05-08T17:30:00Z,24.09,24.13,24.08,24.12,14993
2026-05-08T17:35:00Z,24.13,24.17,24.07,24.07,91310
2026-05-08T17:40:00Z,24.07,24.08,24.05,24.07,10949
2026-05-08T17:45:00Z,24.07,24.11,24.05,24.09,49967
2026-05-08T17:50:00Z,24.09,24.10,24.07,24.09,31742
2026-05-08T17:55:00Z,24.09,24.23,24.09,24.18,67526
2026-05-08T18:00:00Z,24.18,24.36,24.18,24.29,77031
2026-05-08T18:05:00Z,24.28,24.33,24.27,24.27,35540
2026-05-08T18:10:00Z,24.28,24.40,24.28,24.39,42702
2026-05-08T18:15:00Z,24.39,24.39,24.32,24.36,42793
2026-05-08T18:20:00Z,24.36,24.41,24.34,24.40,47564
2026-05-08T18:25:00Z,24.39,24.42,24.35,24.38,43039
2026-05-08T18:30:00Z,24.38,24.38,24.32,24.33,48725
2026-05-08T18:35:00Z,24.33,24.37,24.32,24.32,50005
2026-05-08T18:40:00Z,24.32,24.32,24.23,24.23,43252
2026-05-08T18:45:00Z,24.22,24.24,24.20,24.21,37209
2026-05-08T18:50:00Z,24.20,24.25,24.14,24.14,40367
2026-05-08T18:55:00Z,24.14,24.18,24.11,24.12,29464
2026-05-08T19:00:00Z,24.11,24.17,24.11,24.16,28143
2026-05-08T19:05:00Z,24.16,24.16,24.10,24.13,35932
2026-05-08T19:10:00Z,24.12,24.13,24.08,24.09,53742
2026-05-08T19:15:00Z,24.09,24.18,24.09,24.15,43965
2026-05-08T19:20:00Z,24.15,24.20,24.14,24.20,57390
2026-05-08T19:25:00Z,24.20,24.28,24.20,24.23,71545
2026-05-08T19:30:00Z,24.23,24.23,24.02,24.07,82641
2026-05-08T19:35:00Z,24.07,24.15,24.05,24.14,56671
2026-05-08T19:40:00Z,24.14,24.23,24.13,24.21,92584
2026-05-08T19:45:00Z,24.21,24.24,24.20,24.21,68136
2026-05-08T19:50:00Z,24.21,24.21,24.16,24.19,83790
