"Date", "Open", "High", "Low", "Close", "Volume"
2026-05-08T13:40:00Z,615.26,615.32,612.78,613.83,148374
2026-05-08T13:45:00Z,613.88,616.30,613.54,616.10,172814
2026-05-08T13:50:00Z,616.10,616.13,612.88,613.80,128617
2026-05-08T13:55:00Z,613.90,614.39,613.10,614.12,108378
2026-05-08T14:00:00Z,613.93,614.13,612.31,613.92,434871
2026-05-08T14:05:00Z,613.82,615.10,613.00,614.84,138289
2026-05-08T14:10:00Z,614.83,616.52,614.36,615.91,155362
2026-05-08T14:15:00Z,616.07,616.09,615.10,615.19,80772
2026-05-08T14:20:00Z,615.04,615.66,613.68,615.53,127149
2026-05-08T14:25:00Z,615.58,616.02,612.75,612.85,163222
2026-05-08T14:30:00Z,612.87,613.08,612.01,612.72,160062
2026-05-08T15:20:00Z,609.35,610.38,608.75,608.81,135144
2026-05-08T15:25:00Z,608.75,609.11,608.10,608.90,234344
2026-05-08T15:30:00Z,608.89,609.05,607.49,608.00,180943
2026-05-08T15:35:00Z,608.12,609.15,607.70,608.28,153393
2026-05-08T15:40:00Z,608.38,608.50,607.30,607.56,85618
2026-05-08T15:45:00Z,607.56,608.01,607.07,607.31,99005
2026-05-08T15:50:00Z,607.40,607.45,606.06,607.00,163560
2026-05-08T15:55:00Z,607.12,607.70,606.65,607.32,110081
2026-05-08T16:00:00Z,607.35,608.76,607.26,608.76,101446
2026-05-08T16:05:00Z,608.76,609.77,608.62,609.40,115690
2026-05-08T16:10:00Z,609.52,610.30,609.38,609.94,142911
2026-05-08T16:15:00Z,609.93,610.28,608.09,608.20,126687
2026-05-08T16:20:00Z,608.32,609.43,608.21,608.94,69642
2026-05-08T16:25:00Z,609.06,609.38,608.10,608.10,86336
2026-05-08T16:30:00Z,608.22,608.72,607.90,608.22,87504
2026-05-08T16:35:00Z,608.24,608.57,608.00,608.33,49690
2026-05-08T16:40:00Z,608.38,608.54,607.50,607.85,61896
2026-05-08T16:45:00Z,607.86,609.33,607.78,609.12,77179
2026-05-08T16:50:00Z,609.16,609.18,608.65,608.87,41350
2026-05-08T16:55:00Z,608.87,609.01,608.13,608.88,49225
2026-05-08T17:00:00Z,608.85,609.18,608.70,608.96,48492
2026-05-08T17:05:00Z,608.87,609.21,608.55,608.94,48915
2026-05-08T17:10:00Z,608.98,609.62,608.79,609.40,60124
2026-05-08T17:15:00Z,609.45,609.99,609.38,609.84,51369
2026-05-08T17:20:00Z,609.84,609.98,609.24,609.87,54873
2026-05-08T17:25:00Z,609.87,610.25,609.40,609.91,70523
2026-05-08T17:30:00Z,609.87,610.00,609.04,609.46,31783
2026-05-08T17:35:00Z,609.55,609.59,608.85,608.92,51998
2026-05-08T17:40:00Z,608.95,609.22,608.70,608.76,50537
2026-05-08T17:45:00Z,608.73,609.39,608.70,609.28,40354
2026-05-08T17:50:00Z,609.21,609.92,609.03,609.82,34472
2026-05-08T17:55:00Z,609.82,610.85,609.79,610.38,90411
2026-05-08T18:00:00Z,610.50,611.45,610.22,611.19,86708
2026-05-08T18:05:00Z,611.08,611.21,610.34,610.51,43187
2026-05-08T18:10:00Z,610.52,611.00,610.39,610.61,35782
2026-05-08T18:15:00Z,610.50,611.00,610.37,610.66,40309
2026-05-08T18:20:00Z,610.63,610.72,610.00,610.25,35339
2026-05-08T18:25:00Z,610.19,611.50,610.07,611.36,73699
2026-05-08T18:30:00Z,611.40,611.50,610.59,610.83,50387
2026-05-08T18:35:00Z,610.87,611.00,609.86,609.95,57064
2026-05-08T18:40:00Z,609.90,610.01,609.70,609.90,39362
2026-05-08T18:45:00Z,609.91,610.23,609.70,609.99,53073
2026-05-08T18:50:00Z,610.05,610.05,609.04,609.08,56960
2026-05-08T18:55:00Z,609.08,609.90,608.73,609.41,71183
2026-05-08T19:00:00Z,609.57,609.69,609.25,609.56,39435
2026-05-08T19:05:00Z,609.56,610.38,609.03,609.80,73804
2026-05-08T19:10:00Z,609.80,610.00,609.45,609.73,51132
2026-05-08T19:15:00Z,609.74,610.14,609.66,609.88,71033
2026-05-08T19:20:00Z,609.88,610.45,609.70,610.09,95354
2026-05-08T19:25:00Z,610.09,610.43,610.08,610.24,59152
2026-05-08T19:30:00Z,610.25,610.84,610.09,610.54,73003
2026-05-08T19:35:00Z,610.52,610.62,609.90,610.20,78511
2026-05-08T19:40:00Z,610.20,610.88,610.16,610.65,89219
2026-05-08T19:45:00Z,610.62,610.92,610.43,610.72,74634
2026-05-08T19:50:00Z,610.64,611.00,609.50,610.65,154204
