"Date", "Open", "High", "Low", "Close", "Volume"
2026-05-08T13:40:00Z,215.80,216.78,215.05,216.77,3533686
2026-05-08T13:45:00Z,216.78,217.76,216.42,217.43,3602941
2026-05-08T13:50:00Z,217.45,217.63,216.56,217.60,3056363
2026-05-08T13:55:00Z,217.60,217.66,216.67,217.61,2324636
2026-05-08T14:05:00Z,216.54,216.65,215.98,216.26,1859031
2026-05-08T14:10:00Z,216.25,216.49,215.68,216.06,1955144
2026-05-08T14:15:00Z,216.03,216.21,215.13,215.88,1841241
2026-05-08T14:20:00Z,215.90,216.35,215.65,215.84,1639584
2026-05-08T14:25:00Z,215.84,216.30,215.20,215.29,1387119
2026-05-08T14:30:00Z,215.31,215.87,214.90,215.03,1643216
2026-05-08T15:20:00Z,215.72,216.24,215.70,216.00,934337
2026-05-08T15:25:00Z,216.00,216.35,215.90,216.26,821596
2026-05-08T15:30:00Z,216.28,216.85,215.90,216.83,1266689
2026-05-08T15:35:00Z,216.85,217.20,216.84,216.89,3172180
2026-05-08T15:40:00Z,216.88,216.96,216.20,216.35,896393
2026-05-08T15:45:00Z,216.36,216.55,216.00,216.29,923352
2026-05-08T15:50:00Z,216.28,216.49,216.01,216.08,690514
2026-05-08T15:55:00Z,216.08,216.10,215.49,215.52,779467
2026-05-08T16:00:00Z,215.49,215.92,215.45,215.57,649650
2026-05-08T16:05:00Z,215.57,215.66,215.25,215.38,808809
2026-05-08T16:10:00Z,215.38,215.64,215.16,215.48,896696
2026-05-08T16:15:00Z,215.47,215.67,215.33,215.35,551235
2026-05-08T16:20:00Z,215.35,215.79,215.28,215.79,756110
2026-05-08T16:25:00Z,215.80,216.18,215.79,215.89,1002680
2026-05-08T16:30:00Z,215.90,215.99,215.52,215.78,710484
2026-05-08T16:35:00Z,215.78,215.83,215.42,215.78,545792
2026-05-08T16:40:00Z,215.79,216.10,215.63,215.68,664603
2026-05-08T16:45:00Z,215.69,215.85,215.53,215.67,451109
2026-05-08T16:50:00Z,215.66,215.71,215.05,215.20,767437
2026-05-08T16:55:00Z,215.19,215.37,215.01,215.26,565004
2026-05-08T17:00:00Z,215.25,215.67,215.12,215.60,651018
2026-05-08T17:05:00Z,215.60,215.60,215.09,215.40,495454
2026-05-08T17:10:00Z,215.41,215.56,215.29,215.49,446536
2026-05-08T17:15:00Z,215.49,215.80,215.42,215.76,502229
2026-05-08T17:20:00Z,215.73,216.07,215.64,215.80,681762
2026-05-08T17:25:00Z,215.80,215.85,215.43,215.68,526815
2026-05-08T17:30:00Z,215.69,215.81,215.51,215.63,449793
2026-05-08T17:35:00Z,215.64,215.67,215.30,215.34,528736
2026-05-08T17:40:00Z,215.34,215.66,215.18,215.26,493052
2026-05-08T17:45:00Z,215.26,215.44,215.12,215.19,479851
2026-05-08T17:50:00Z,215.17,215.18,214.85,215.11,865648
2026-05-08T17:55:00Z,215.09,215.27,214.93,214.95,451134
2026-05-08T18:00:00Z,214.95,215.53,214.92,215.45,656194
2026-05-08T18:05:00Z,215.46,215.80,215.28,215.34,665211
2026-05-08T18:10:00Z,215.34,215.44,215.06,215.30,563160
2026-05-08T18:15:00Z,215.31,215.41,215.17,215.34,375241
2026-05-08T18:20:00Z,215.34,215.61,215.33,215.56,449377
2026-05-08T18:25:00Z,215.57,215.57,215.30,215.36,367296
2026-05-08T18:30:00Z,215.37,215.47,215.24,215.29,353766
2026-05-08T18:35:00Z,215.31,215.42,215.24,215.36,371348
2026-05-08T18:40:00Z,215.34,215.35,215.11,215.12,392622
2026-05-08T18:45:00Z,215.12,215.23,215.02,215.12,503793
2026-05-08T18:50:00Z,215.11,215.31,215.06,215.20,521257
2026-05-08T18:55:00Z,215.21,215.51,214.96,215.07,902151
2026-05-08T19:00:00Z,215.06,215.43,215.06,215.42,627426
2026-05-08T19:05:00Z,215.41,215.82,215.30,215.64,891800
2026-05-08T19:10:00Z,215.65,215.70,215.50,215.51,537981
2026-05-08T19:15:00Z,215.51,215.60,215.25,215.29,621701
2026-05-08T19:20:00Z,215.29,215.40,215.00,215.09,852592
2026-05-08T19:25:00Z,215.09,215.14,214.82,214.85,933851
2026-05-08T19:30:00Z,214.85,215.03,214.68,214.83,981769
2026-05-08T19:35:00Z,214.82,215.12,214.71,215.09,769330
2026-05-08T19:40:00Z,215.09,215.40,215.07,215.27,935564
2026-05-08T19:45:00Z,215.26,215.30,214.96,214.97,904343
2026-05-08T19:50:00Z,214.96,215.35,214.90,215.22,1338483
