"Date", "Open", "High", "Low", "Close", "Volume"
2026-05-08T13:40:00Z,421.91,422.45,418.86,422.20,1447375
2026-05-08T13:45:00Z,422.22,424.76,422.12,423.73,1906177
2026-05-08T13:50:00Z,423.73,426.30,423.21,424.34,1775583
2026-05-08T13:55:00Z,424.33,428.45,423.89,428.11,1723506
2026-05-08T14:00:00Z,428.04,429.85,427.14,429.11,1559287
2026-05-08T14:05:00Z,428.87,428.96,426.03,426.57,1049369
2026-05-08T14:10:00Z,426.62,427.72,425.72,425.86,853569
2026-05-08T14:15:00Z,425.89,427.39,425.29,427.05,803904
2026-05-08T14:20:00Z,427.10,429.40,426.51,428.88,1026946
2026-05-08T14:25:00Z,428.92,429.10,424.80,425.05,873200
2026-05-08T14:30:00Z,425.04,425.29,423.54,423.56,1003608
2026-05-08T15:20:00Z,427.69,428.68,427.13,427.17,459444
2026-05-08T15:25:00Z,427.20,428.72,427.10,428.70,463060
2026-05-08T15:30:00Z,428.72,430.10,427.90,430.09,569716
2026-05-08T15:35:00Z,430.07,430.46,428.72,428.87,635543
2026-05-08T15:40:00Z,428.90,429.45,428.00,428.85,451971
2026-05-08T15:45:00Z,428.85,431.20,428.76,429.70,937435
2026-05-08T15:50:00Z,429.69,429.77,427.75,428.52,583691
2026-05-08T15:55:00Z,428.48,428.88,427.39,428.88,456397
2026-05-08T16:00:00Z,428.84,429.50,428.66,429.29,347642
2026-05-08T16:05:00Z,429.25,429.54,428.65,429.04,369300
2026-05-08T16:10:00Z,429.04,429.30,428.70,429.08,220696
2026-05-08T16:15:00Z,429.05,429.16,427.36,427.42,376831
2026-05-08T16:20:00Z,427.44,428.24,426.98,428.07,398403
2026-05-08T16:25:00Z,428.05,428.67,427.64,428.53,323212
2026-05-08T16:30:00Z,428.53,428.55,427.77,428.28,310188
2026-05-08T16:35:00Z,428.23,429.20,427.95,428.85,301747
2026-05-08T16:40:00Z,428.87,429.00,427.52,427.62,288732
2026-05-08T16:45:00Z,427.65,428.00,427.36,427.70,263693
2026-05-08T16:50:00Z,427.71,427.80,426.98,427.06,299713
2026-05-08T16:55:00Z,427.08,427.85,426.85,427.51,283128
2026-05-08T17:00:00Z,427.55,428.70,427.24,428.65,314938
2026-05-08T17:05:00Z,428.64,428.84,427.61,428.13,270629
2026-05-08T17:10:00Z,428.13,428.13,426.52,426.78,303288
2026-05-08T17:15:00Z,426.79,427.50,426.67,427.46,250198
2026-05-08T17:20:00Z,427.47,427.50,426.72,426.81,265223
2026-05-08T17:25:00Z,426.80,427.33,426.33,426.99,366452
2026-05-08T17:30:00Z,426.99,427.77,426.80,427.70,214441
2026-05-08T17:35:00Z,427.70,427.97,427.33,427.44,235520
2026-05-08T17:40:00Z,427.44,427.50,426.46,426.65,268221
2026-05-08T17:45:00Z,426.66,427.79,426.65,427.27,255289
2026-05-08T17:50:00Z,427.27,427.60,426.78,427.55,209086
2026-05-08T18:00:00Z,426.55,427.60,426.50,427.31,297680
2026-05-08T18:05:00Z,427.28,427.48,426.25,426.41,247969
2026-05-08T18:10:00Z,426.44,426.55,425.48,425.87,401068
2026-05-08T18:15:00Z,425.87,427.16,425.82,426.98,332686
2026-05-08T18:20:00Z,426.95,428.60,426.95,428.38,467883
2026-05-08T18:25:00Z,428.40,428.95,428.22,428.64,485138
2026-05-08T18:30:00Z,428.60,429.31,428.15,429.23,453192
2026-05-08T18:35:00Z,429.25,429.46,428.60,428.73,330636
2026-05-08T18:40:00Z,428.68,428.72,427.80,427.80,327689
2026-05-08T18:45:00Z,427.82,428.33,427.73,428.01,306006
2026-05-08T18:50:00Z,428.06,428.40,426.76,426.93,346330
2026-05-08T18:55:00Z,426.94,427.45,425.98,426.01,410133
2026-05-08T19:00:00Z,426.01,426.65,425.92,426.47,351408
2026-05-08T19:05:00Z,426.45,426.98,426.01,426.06,309063
2026-05-08T19:10:00Z,426.03,426.67,425.90,426.44,291342
2026-05-08T19:15:00Z,426.42,426.85,425.90,426.14,261595
2026-05-08T19:20:00Z,426.13,426.62,425.66,426.56,314557
2026-05-08T19:25:00Z,426.56,427.00,425.31,425.34,374220
2026-05-08T19:30:00Z,425.37,425.78,424.87,425.31,440501
2026-05-08T19:35:00Z,425.35,425.69,424.82,425.30,390187
2026-05-08T19:40:00Z,425.27,425.50,424.80,425.01,337043
2026-05-08T19:45:00Z,425.00,425.41,424.37,425.27,526835
2026-05-08T19:50:00Z,425.25,426.50,424.97,426.25,728915
